"Pos","Player","Tm","Opp","FD Sal $","Projected Own%","Cash Odds","GPP Odds","Implied Own%","FD LEV"
"RB","Christian McCaffrey","CAR","WAS","11000","37.5%","77%","41%","43%","1.14"
"QB","Lamar Jackson","BAL","SF","8700","12.5%","58%","29%","11%","0.85"
"RB","Derrick Henry","TEN","@IND","8600","17.5%","55%","15%","16%","0.92"
"QB","Patrick Mahomes","KC","OAK","8600","12.5%","58%","28%","10%","0.81"
"WR","Tyreek Hill","KC","OAK","8300","27.5%","61%","22%","27%","0.97"
"WR","Chris Godwin","TB","@JAX","8200","17.5%","52%","15%","18%","1.02"
"RB","Nick Chubb","CLE","@PIT","8200","12.5%","47%","10%","10%","0.81"
"QB","Aaron Rodgers","GB","@NYG","8100","12.5%","45%","17%","6%","0.49"
"RB","Aaron Jones","GB","@NYG","8000","12.5%","56%","16%","16%","1.29"
"QB","Jimmy Garoppolo","SF","@BAL","8000","3.0%","34%","10%","4%","1.18"
"WR","Davante Adams","GB","@NYG","8000","17.5%","47%","11%","13%","0.74"
"QB","Jared Goff","LAR","@ARI","7900","7.5%","39%","12%","4%","0.57"
"WR","Cooper Kupp","LAR","@ARI","7800","7.5%","43%","9%","11%","1.42"
"RB","Josh Jacobs","OAK","@KC","7700","7.5%","53%","13%","13%","1.76"
"QB","Kyler Murray","ARI","LAR","7700","7.5%","50%","21%","8%","1.02"
"WR","Mike Evans","TB","@JAX","7700","22.5%","49%","12%","15%","0.64"
"QB","Baker Mayfield","CLE","@PIT","7600","3.0%","33%","9%","3%","1.16"
"RB","Saquon Barkley","NYG","GB","7600","12.5%","54%","12%","13%","1.02"
"QB","Jameis Winston","TB","@JAX","7600","7.5%","50%","20%","7%","0.97"
"QB","Sam Darnold","NYJ","@CIN","7600","7.5%","47%","18%","7%","0.87"
"RB","Leonard Fournette","JAX","TB","7600","22.5%","60%","17%","18%","0.79"
"RB","Mark Ingram","BAL","SF","7500","7.5%","41%","7%","7%","1.00"
"QB","Nick Foles","JAX","TB","7500","7.5%","42%","13%","5%","0.64"
"QB","Daniel Jones","NYG","GB","7400","3.0%","42%","15%","6%","1.86"
"RB","Todd Gurley","LAR","@ARI","7400","7.5%","50%","11%","12%","1.54"
"WR","Jarvis Landry","CLE","@PIT","7400","12.5%","41%","8%","9%","0.72"
"QB","Philip Rivers","LAC","@DEN","7300","0.5%","34%","8%","3%","6.21"
"QB","Ryan Tannehill","TEN","@IND","7300","3.0%","43%","15%","5%","1.83"
"RB","LeVeon Bell","NYJ","@CIN","7300","22.5%","62%","17%","17%","0.77"
"WR","Odell Beckham","CLE","@PIT","7300","12.5%","41%","8%","9%","0.75"
"QB","Carson Wentz","PHI","@MIA","7300","12.5%","42%","14%","5%","0.41"
"QB","Jacoby Brissett","IND","TEN","7200","3.0%","40%","13%","5%","1.58"
"QB","Kyle Allen","CAR","WAS","7200","3.0%","37%","10%","4%","1.28"
"QB","Derek Carr","OAK","@KC","7200","3.0%","34%","9%","3%","1.12"
"QB","Ryan Fitzpatrick","MIA","PHI","7100","0.5%","38%","12%","5%","9.04"
"WR","Robert Woods","LAR","@ARI","7100","7.5%","39%","7%","8%","1.03"
"TE","Travis Kelce","KC","OAK","7100","17.5%","55%","21%","15%","0.87"
"TE","George Kittle","SF","@BAL","7000","7.5%","47%","14%","10%","1.37"
"RB","Melvin Gordon","LAC","@DEN","7000","7.5%","46%","9%","9%","1.19"
"WR","T.Y. Hilton","IND","TEN","7000","7.5%","38%","7%","8%","1.05"
"WR","D.J. Chark","JAX","TB","6900","17.5%","51%","14%","16%","0.92"
"TE","Zach Ertz","PHI","@MIA","6900","17.5%","47%","15%","11%","0.62"
"QB","Devlin Hodges","PIT","CLE","6800","0.5%","31%","8%","3%","5.61"
"RB","Jonathan Williams","IND","TEN","6800","7.5%","45%","7%","7%","0.94"
"WR","D.J. Moore","CAR","WAS","6800","17.5%","52%","12%","14%","0.83"
"WR","Keenan Allen","LAC","@DEN","6800","12.5%","42%","8%","9%","0.72"
"WR","Brandin Cooks","LAR","@ARI","6700","3.0%","30%","4%","4%","1.49"
"RB","Austin Ekeler","LAC","@DEN","6700","3.0%","37%","4%","4%","1.27"
"WR","Courtland Sutton","DEN","LAC","6600","7.5%","44%","9%","10%","1.34"
"TE","Hunter Henry","LAC","@DEN","6600","7.5%","44%","12%","9%","1.17"
"QB","Dwayne Haskins","WAS","@CAR","6500","0.5%","26%","6%","2%","4.13"
"RB","Joe Mixon","CIN","NYJ","6500","3.0%","44%","7%","7%","2.43"
"WR","Alshon Jeffery","PHI","@MIA","6500","3.0%","29%","4%","4%","1.39"
"TE","Mark Andrews","BAL","SF","6500","7.5%","38%","9%","7%","0.89"
"WR","Emmanuel Sanders","SF","@BAL","6400","3.0%","32%","4%","5%","1.63"
"RB","Kenyan Drake","ARI","LAR","6400","7.5%","41%","5%","5%","0.73"
"WR","Darius Slayton","NYG","GB","6300","3.0%","30%","4%","4%","1.46"
"WR","Golden Tate","NYG","GB","6300","7.5%","40%","7%","8%","1.07"
"WR","Jamison Crowder","NYJ","@CIN","6300","7.5%","41%","7%","8%","1.05"
"RB","Phillip Lindsay","DEN","LAC","6300","7.5%","44%","6%","6%","0.85"
"TE","Gerald Everett","LAR","@ARI","6300","3.0%","16%","2%","1%","0.43"
"WR","Tyrell Williams","OAK","@KC","6200","3.0%","36%","6%","7%","2.25"
"RB","Ronald Jones","TB","@JAX","6200","7.5%","42%","6%","6%","0.77"
"WR","James Washington","PIT","CLE","6200","7.5%","35%","5%","6%","0.75"
"RB","Tevin Coleman","SF","@BAL","6100","3.0%","40%","5%","5%","1.68"
"WR","Robby Anderson","NYJ","@CIN","6100","3.0%","32%","4%","5%","1.64"
"TE","Darren Waller","OAK","@KC","6100","7.5%","46%","12%","8%","1.12"
"RB","Benny Snell Jr.","PIT","CLE","6100","3.0%","35%","3%","3%","1.10"
"WR","Christian Kirk","ARI","LAR","6100","12.5%","46%","9%","11%","0.89"
"WR","Sammy Watkins","KC","OAK","6100","7.5%","36%","5%","6%","0.82"
"QB","Andy Dalton","CIN","NYJ","6000","0.5%","39%","10%","4%","7.73"
"QB","Drew Lock","DEN","LAC","6000","0.5%","31%","7%","3%","5.11"
"WR","Chris Conley","JAX","TB","6000","3.0%","28%","3%","3%","1.14"
"WR","DeVante Parker","MIA","PHI","6000","12.5%","48%","10%","12%","0.93"
"RB","Damien Williams","KC","OAK","6000","3.0%","30%","2%","3%","0.87"
"WR","Tyler Boyd","CIN","NYJ","6000","12.5%","46%","8%","10%","0.78"
"RB","Kareem Hunt","CLE","@PIT","5900","0.5%","31%","2%","2%","4.58"
"WR","Sterling Shepard","NYG","GB","5900","3.0%","28%","3%","3%","1.08"
"RB","Adrian Peterson","WAS","@CAR","5800","0.5%","23%","1%","1%","2.48"
"WR","Curtis Samuel","CAR","WAS","5800","3.0%","36%","6%","7%","2.28"
"WR","Terry McLaurin","WAS","@CAR","5800","7.5%","41%","6%","8%","1.02"
"RB","Miles Sanders","PHI","@MIA","5800","7.5%","46%","7%","7%","0.92"
"TE","Jimmy Graham","GB","@NYG","5800","3.0%","23%","3%","2%","0.73"
"RB","LeSean McCoy","KC","OAK","5800","7.5%","24%","1%","2%","0.21"
"RB","David Johnson","ARI","LAR","5700","0.5%","21%","1%","1%","1.94"
"WR","Mike Williams","LAC","@DEN","5700","3.0%","34%","4%","5%","1.71"
"WR","Larry Fitzgerald","ARI","LAR","5700","3.0%","34%","4%","5%","1.66"
"WR","Dede Westbrook","JAX","TB","5700","7.5%","35%","5%","6%","0.75"
"TE","Ryan Griffin","NYJ","@CIN","5600","3.0%","35%","7%","5%","1.65"
"RB","Jamaal Williams","GB","@NYG","5600","3.0%","37%","4%","4%","1.25"
"WR","Marquise Brown","BAL","SF","5600","7.5%","40%","7%","8%","1.07"
"WR","Deebo Samuel","SF","@BAL","5600","7.5%","40%","6%","7%","0.98"
"WR","Mecole Hardman","KC","OAK","5600","3.0%","19%","1%","1%","0.40"
"RB","Jaylen Samuels","PIT","CLE","5500","0.5%","24%","1%","1%","2.46"
"RB","Nyheim Hines","IND","TEN","5500","0.5%","21%","1%","1%","1.72"
"TE","Tyler Higbee","LAR","@ARI","5500","3.0%","30%","5%","3%","1.10"
"WR","Zach Pascal","IND","TEN","5400","0.5%","26%","2%","3%","5.56"
"RB","Derrius Guice","WAS","@CAR","5400","0.5%","29%","2%","2%","3.61"
"WR","Allen Lazard","GB","@NYG","5400","0.5%","22%","1%","2%","3.25"
"WR","Marquez Valdes-Scantling","GB","@NYG","5400","0.5%","13%","0%","0%","0.83"
"RB","Peyton Barber","TB","@JAX","5400","0.5%","15%","0%","0%","0.75"
"RB","Gus Edwards","BAL","SF","5400","0.5%","12%","0%","0%","0.37"
"RB","Darrel Williams","KC","OAK","5400","0.5%","8%","0%","0%","0.13"
"RB","Darrell Henderson","LAR","@ARI","5400","0.5%","2%","0%","0%","0.00"
"WR","Diontae Johnson","PIT","CLE","5300","0.5%","31%","3%","4%","7.92"
"TE","Jonnu Smith","TEN","@IND","5300","0.5%","24%","3%","2%","4.20"
"RB","Royce Freeman","DEN","LAC","5300","0.5%","26%","1%","1%","2.96"
"WR","Adam Humphries","TEN","@IND","5300","0.5%","21%","1%","1%","2.78"
"RB","Kalen Ballage","MIA","PHI","5300","0.5%","21%","1%","1%","1.70"
"WR","A.J. Brown","TEN","@IND","5300","7.5%","39%","6%","7%","0.88"
"TE","Ross Dwelley","SF","@BAL","5300","0.5%","3%","0%","0%","0.06"
"WR","Greg Ward","PHI","@MIA","5300","0.5%","5%","0%","0%","0.05"
"WR","Josh Reynolds","LAR","@ARI","5300","0.5%","3%","0%","0%","0.02"
"WR","Demaryius Thomas","NYJ","@CIN","5200","0.5%","30%","3%","3%","6.74"
"WR","Corey Davis","TEN","@IND","5200","0.5%","28%","3%","3%","6.00"
"TE","Dallas Goedert","PHI","@MIA","5200","3.0%","38%","8%","6%","1.93"
"WR","Auden Tate","CIN","NYJ","5200","3.0%","36%","4%","5%","1.72"
"RB","Boston Scott","PHI","@MIA","5200","0.5%","12%","0%","0%","0.35"
"WR","Chester Rogers","IND","TEN","5200","0.5%","9%","0%","0%","0.27"
"WR","Tim Patrick","DEN","LAC","5100","0.5%","29%","3%","3%","6.49"
"WR","Allen Hurns","MIA","PHI","5100","0.5%","26%","2%","2%","4.84"
"TE","Noah Fant","DEN","LAC","5100","3.0%","36%","6%","4%","1.46"
"TE","Greg Olsen","CAR","WAS","5100","12.5%","40%","7%","5%","0.43"
"WR","Keelan Cole","JAX","TB","5100","0.5%","10%","0%","0%","0.34"
"WR","Tevin Jones","PIT","CLE","5100","0.5%","9%","0%","0%","0.28"
"WR","Pharoh Cooper","ARI","LAR","5100","0.5%","6%","0%","0%","0.10"
"TE","Mike Gesicki","MIA","PHI","5000","0.5%","36%","6%","4%","8.54"
"TE","Vance McDonald","PIT","CLE","5000","0.5%","34%","6%","4%","8.47"
"TE","Cameron Brate","TB","@JAX","5000","0.5%","16%","1%","1%","1.66"
"DEF","Philadelphia Eagles","PHI","@MIA","5000","12.5%","50%","10%","21%","1.65"
"TE","Jack Doyle","IND","TEN","5000","7.5%","38%","7%","5%","0.68"
"TE","Anthony Firkser","TEN","@IND","5000","0.5%","11%","0%","0%","0.60"
"RB","Jalen Richard","OAK","@KC","5000","0.5%","12%","0%","0%","0.29"
"RB","DeAndre Washington","OAK","@KC","5000","0.5%","11%","0%","0%","0.22"
"WR","Paul Richardson","WAS","@CAR","5000","0.5%","7%","0%","0%","0.12"
"RB","Jeff Wilson","SF","@BAL","5000","0.5%","8%","0%","0%","0.08"
"RB","Chase Edmonds","ARI","LAR","5000","0.5%","4%","0%","0%","0.01"
"DEF","New York Jets","NYJ","@CIN","4900","7.5%","44%","5%","11%","1.44"
"RB","Patrick Laird","MIA","PHI","4900","0.5%","16%","0%","0%","0.60"
"RB","Bilal Powell","NYJ","@CIN","4900","0.5%","14%","0%","0%","0.41"
"WR","Andy Isabella","ARI","LAR","4900","0.5%","9%","0%","0%","0.29"
"WR","Geronimo Allison","GB","@NYG","4900","0.5%","8%","0%","0%","0.20"
"WR","J.J. Arcega-Whiteside","PHI","@MIA","4900","0.5%","8%","0%","0%","0.18"
"WR","Breshad Perriman","TB","@JAX","4900","0.5%","7%","0%","0%","0.15"
"RB","Malcolm Brown","LAR","@ARI","4900","0.5%","7%","0%","0%","0.05"
"WR","Marcus Johnson","IND","TEN","4900","0.5%","4%","0%","0%","0.04"
"WR","Jake Kumerow","GB","@NYG","4900","0.5%","3%","0%","0%","0.01"
"WR","Kelvin Harmon","WAS","@CAR","4800","0.5%","25%","2%","2%","4.04"
"RB","Raheem Mostert","SF","@BAL","4800","0.5%","30%","2%","2%","3.13"
"TE","Nick Boyle","BAL","SF","4800","0.5%","20%","2%","1%","2.43"
"TE","Nick O'Leary","JAX","TB","4800","0.5%","20%","2%","1%","2.33"
"WR","Nelson Agholor","PHI","@MIA","4800","0.5%","20%","1%","1%","2.11"
"DEF","Green Bay Packers","GB","@NYG","4800","7.5%","46%","6%","12%","1.58"
"RB","Jay Ajayi","PHI","@MIA","4800","0.5%","21%","1%","1%","1.46"
"TE","O.J. Howard","TB","@JAX","4800","0.5%","16%","1%","1%","1.31"
"TE","Ricky Seals-Jones","CLE","@PIT","4800","0.5%","4%","0%","0%","0.06"
"TE","Tyler Eifert","CIN","NYJ","4700","0.5%","27%","3%","2%","4.58"
"DEF","Carolina Panthers","CAR","WAS","4700","12.5%","62%","20%","42%","3.36"
"WR","Zay Jones","OAK","@KC","4700","0.5%","23%","1%","1%","2.82"
"WR","Alex Erickson","CIN","NYJ","4700","0.5%","20%","1%","1%","2.19"
"WR","Albert Wilson","MIA","PHI","4700","0.5%","20%","1%","1%","2.08"
"TE","Foster Moreau","OAK","@KC","4700","0.5%","18%","1%","1%","1.90"
"RB","Giovani Bernard","CIN","NYJ","4700","0.5%","18%","0%","0%","0.84"
"WR","Tajae Sharpe","TEN","@IND","4700","0.5%","12%","0%","0%","0.56"
"WR","Kalif Raymond","TEN","@IND","4700","0.5%","12%","0%","0%","0.47"
"RB","Jordan Wilkins","IND","TEN","4700","0.5%","12%","0%","0%","0.25"
"RB","Dion Lewis","TEN","@IND","4700","0.5%","11%","0%","0%","0.22"
"WR","Miles Boykin","BAL","SF","4700","0.5%","8%","0%","0%","0.14"
"RB","Dare Ogunbowale","TB","@JAX","4700","0.5%","9%","0%","0%","0.10"
"WR","Seth Roberts","BAL","SF","4700","0.5%","6%","0%","0%","0.09"
"WR","Trey Quinn","WAS","@CAR","4700","0.5%","5%","0%","0%","0.05"
"WR","DaeSean Hamilton","DEN","LAC","4700","0.5%","4%","0%","0%","0.03"
"WR","Dante Pettis","SF","@BAL","4700","0.5%","2%","0%","0%","0.00"
"WR","Demarcus Robinson","KC","OAK","4600","0.5%","18%","1%","1%","1.62"
"WR","Kendrick Bourne","SF","@BAL","4600","0.5%","18%","1%","1%","1.62"
"WR","Willie Snead","BAL","SF","4600","0.5%","18%","1%","1%","1.48"
"DEF","Cleveland Browns","CLE","@PIT","4600","7.5%","38%","2%","4%","0.48"
