"","vs_cb_wr","vs_cb_tar ","vs_cb_c ","vs_cb_ypr","vs_cb_fpt","vs_cb_shad","vs_cb_matchup"
"1","Damiere Byrd",15,55.8,13.79,1.41,"N","neutral"
"2","Larry Fitzgerald",7.7,80,16.13,2.69,"N","plus"
"3","Christian Kirk",12.2,53.1,11.41,1.42,"N","neutral"
"4","Christian Blake",15.7,45.3,17.21,1.51,"N","neutral"
"5","Russell Gage",8.4,48,9.17,0.92,"N","minus"
"6","Julio Jones",15.5,64.8,14.37,1.83,"Y","plus"
"7","Seth Roberts",14.8,61.7,14.86,1.53,"N","neutral"
"8","Willie Snead",12.6,70.5,11.97,1.82,"N","plus"
"9","Marquise Brown",17.7,45.8,15.22,1.26,"N","minus"
"10","John Brown",16.1,44.2,12.06,0.97,"Y","minus"
"11","Cole Beasley",15.4,50,13.1,1.67,"N","plus"
"12","Isaiah McKenzie",12.9,38.6,8.71,0.72,"N","minus"
"13","DJ Moore",12.2,67.4,14.58,1.92,"N","plus"
"14","Jarius Wright",13.3,68.2,10.87,1.56,"N","neutral"
"15","Curtis Samuel",15.2,63.6,17.68,2.31,"N","plus"
"16","Allen Robinson",13,47.8,16.22,1.34,"N","minus"
"17","Anthony Miller",7.2,62.5,16.9,2.43,"N","plus"
"18","Riley Ridley",12,43.6,16.58,1.71,"N","plus"
"19","John Ross",20,100,12,4.2,"N","plus"
"20","Tyler Boyd",15.7,64,12.72,2.05,"N","plus"
"21","Alex Erickson",19.5,49.2,13.9,1.57,"N","neutral"
"22","Odell Beckham",15.4,48.6,12.24,1.25,"N","minus"
"23","Jarvis Landry",15.9,51.3,11.51,1.34,"N","minus"
"24","KhaDarel Hodge",14.3,54.2,13.44,1.52,"N","neutral"
"25","Michael Gallup",19.5,60,18.19,2.29,"N","plus"
"26","Randall Cobb",16.1,57.1,11.93,1.38,"N","minus"
"27","Amari Cooper",14.8,57.9,16.23,1.99,"N","plus"
"28","Courtland Sutton",14.7,50,15,1.45,"Y","neutral"
"29","DaeSean Hamilton",17.2,59.8,14.29,1.82,"N","plus"
"30","Tim Patrick",15.9,58.2,15.69,1.76,"N","plus"
"31","Kenny Golladay",10.2,60.8,18.39,2.2,"N","plus"
"32","Danny Amendola",9.1,50,14.25,1.71,"N","plus"
"33","Chris Lacy",13.1,72.4,12.67,1.64,"N","plus"
"34","Davante Adams",14.6,76.6,12.43,2.09,"Y","plus"
"35","Geronimo Allison",11.6,55.9,10.21,1.48,"N","neutral"
"36","Allen Lazard",18.1,65.8,11.22,1.79,"N","plus"
"37","DeAndre Hopkins",19.5,41.7,14.73,1.53,"N","neutral"
"38","Kenny Stills",13,63.3,12.03,1.88,"N","plus"
"39","Will Fuller",16.7,45.8,13.58,1.51,"N","neutral"
"40","TY Hilton",14,58.8,12.83,1.43,"Y","neutral"
"41","Zach Pascal",13.6,42.9,15.33,1.21,"N","minus"
"42","Marcus Johnson",13.8,55.8,19,2.19,"N","plus"
"43","Chris Conley",14.8,64.7,13.77,1.89,"N","plus"
"44","Dede Westbrook",11.1,64.1,12.24,1.58,"N","neutral"
"45","DJ Chark",14.4,47.6,13.2,1.1,"N","minus"
"46","Demarcus Robinson",10.7,52.9,16.11,1.62,"N","plus"
"47","Sammy Watkins",12.5,56.9,10.59,1.52,"N","neutral"
"48","Tyreek Hill",13.7,60,14.44,1.71,"N","plus"
"49","Mike Williams",14.6,47.6,18.5,1.74,"N","plus"
"50","Keenan Allen",10.8,68.4,10.46,1.87,"N","plus"
"51","Andre Patton",16.3,52,14.35,1.51,"N","neutral"
"52","Brandin Cooks",14.6,45.7,15.19,1.67,"N","plus"
"53","Cooper Kupp",10.9,66.7,11,1.4,"N","neutral"
"54","Robert Woods",10.7,62.8,8.89,1.33,"N","minus"
"55","DeVante Parker",11.5,50,15.59,1.42,"N","neutral"
"56","Albert Wilson",12.8,33.3,7,0.57,"N","minus"
"57","Allen Hurns",11.8,58.1,18.56,1.94,"N","plus"
"58","Stefon Diggs",16.3,59.1,18.41,1.95,"N","plus"
"59","Olabasi Johnson",8.1,51.5,18.59,1.84,"N","plus"
"60","Adam Thielen",17.5,44.4,15.15,1.38,"N","minus"
"61","NKeal Harry",19.2,63.9,10.75,1.61,"N","plus"
"62","Julian Edelman",9.3,52.2,10.17,1.31,"N","minus"
"63","Mohamed Sanu",15,46.8,11.58,1.01,"N","minus"
"64","Michael Thomas",12.7,61.4,12.44,1.51,"Y","neutral"
"65","TreQuan Smith",16.1,59.5,13.32,1.82,"N","plus"
"66","Ted Ginn",11.9,55.8,13.96,1.62,"N","plus"
"67","Darius Slayton",17.2,52.6,12.37,1.39,"N","minus"
"68","Golden Tate",9.3,72,9.5,1.4,"N","neutral"
"69","Sterling Shepard",11.2,73.2,12.67,2.1,"N","plus"
"70","Robby Anderson",12.3,50.9,14.38,1.24,"N","minus"
"71","Jamison Crowder",15.2,59.6,13.5,1.78,"N","plus"
"72","Demaryius Thomas",13.8,50,11.24,1.33,"N","minus"
"73","Tyrell Williams",13.9,52.6,12.25,1.33,"N","minus"
"74","Hunter Renfrow",8.3,63,11.47,1.57,"N","neutral"
"75","Zay Jones",10,57.1,11.54,1.66,"N","plus"
"76","Greg Ward",11.4,54.7,11.34,1.51,"N","neutral"
"77","Nelson Agholor",10.7,58.1,14.56,1.43,"N","neutral"
"78","JJ ArcegaWhiteside",16.1,55.4,14.48,1.65,"N","plus"
"79","Diontae Johnson",11.1,50,10.73,1.04,"N","minus"
"80","Juju SmithSchuster",12.6,54.2,9.38,1.18,"N","minus"
"81","James Washington",12.2,58.8,9.2,1.13,"N","minus"
"82","DK Metcalf",15.7,62.7,12.59,1.89,"Y","plus"
"83","Tyler Lockett",15.1,65.1,9.87,1.94,"N","plus"
"84","Malik Turner",13.5,52.9,18.89,1.88,"N","plus"
"85","Deebo Samuel",15.7,42.6,13.15,1.24,"N","minus"
"86","Kendrick Bourne",8.4,54.3,12.58,1.4,"N","neutral"
"87","Emmanuel Sanders",12.8,61.5,12.56,1.5,"Y","neutral"
"88","Breshad Perriman",14.7,51,13.42,1.43,"N","neutral"
"89","Justin Watson",15.5,68.9,13.65,1.95,"N","plus"
"90","Ishmael Hyman",18.1,61.5,14.38,1.68,"N","plus"
