"Day","Tm","WR","Pos","Opp","CB","M/U","Tar %","C %","YPR","YPT","FP/T","Shad","( /-)"
"Sun","ARI","Christian Kirk","LWR","NO","Marshon Lattimore","9","19.7%","54.7%","16.14","8.83","1.66","N"," "
"Sun","ARI","Larry Fitzgerald","SWR","NO","Patrick Robinson","9","12.5%","0.0%","-","-","-","N","-"
"Sun","ARI","Damiere Byrd","RWR","NO","Eli Apple","9","8.9%","45.8%","17.36","7.96","1.75","Y"," "
"Sun","ATL","Julio Jones","LWR","SEA","Tre Flowers","6","13.9%","61.1%","14.73","9.00","1.68","N"," "
"Sun","ATL","Justin Hardy","SWR","SEA","Jamar Taylor","6","26.3%","40.0%","11.25","4.50","0.85","N","-"
"Sun","ATL","Calvin Ridley","RWR","SEA","Shaquill Griffin","6","10.5%","55.6%","9.60","5.33","1.31","N","-"
"Sun","BUF","John Brown","LWR","PHI","Rasul Douglas","31","14.8%","51.4%","21.00","10.80","2.28","N"," "
"Sun","BUF","Cole Beasley","SWR","PHI","Avonte Maddox","31","19.4%","60.7%","12.76","7.75","1.38","N","-"
"Sun","BUF","Duke Williams","RWR","PHI","Jalen Mills","31","27.6%","75.0%","12.33","9.25","1.68","N"," "
"Sun","CAR","D.J. Moore","LWR","SF","Emmanuel Moseley","1","5.8%","33.3%","3.50","1.17","0.45","N","-"
"Sun","CAR","Jarius Wright","SWR","SF","K'Waun Williams","1","10.3%","63.6%","11.71","7.45","1.38","N","-"
"Sun","CAR","Curtis Samuel","RWR","SF","Richard Sherman","1","12.4%","61.9%","9.85","6.10","1.51","N","N"
"Sun","CHI","Allen Robinson","LWR","LAC","Casey Hayward Jr","14","12.8%","60.0%","12.00","7.20","1.56","Y","N"
"Sun","CHI","Anthony Miller","SWR","LAC","Desmond King II","14","7.7%","72.7%","12.50","9.09","2.18","N"," "
"Sun","CHI","Taylor Gabriel","RWR","LAC","Michael Davis","14","13.3%","64.3%","9.56","6.14","1.26","Y","-"
