team_id,week,year,opponent,home_team,line,total,favorite,implied_total
ARI,10,2020,BUF,1,-3,56,1,29.5
BAL,10,2020,NWE,1,-7,44,1,25.5
BUF,10,2020,ARI,0,3,56,0,26.5
CAR,10,2020,TAM,1,6,49.5,0,21.75
CHI,10,2020,MIN,1,3.5,44.5,0,20.5
CIN,10,2020,PIT,0,6.5,45.5,0,19.5
CLE,10,2020,HOU,1,-4.5,46,1,25.25
DEN,10,2020,LVR,0,0,50.5,0,25.25
DET,10,2020,WAS,1,0,45.5,1,22.75
GNB,10,2020,JAX,1,-13.5,47,1,30.25
HOU,10,2020,CLE,0,4.5,46,0,20.75
IND,10,2020,TEN,0,-1,48.5,1,24.75
JAX,10,2020,GNB,0,13.5,47,0,16.75
LAC,10,2020,MIA,0,2.5,49,0,23.25
LAR,10,2020,SEA,1,-2.5,55,1,28.75
LVR,10,2020,DEN,1,0,50.5,1,25.25
MIA,10,2020,LAC,1,-2.5,49,1,25.75
MIN,10,2020,CHI,0,-3.5,44.5,1,24
NOR,10,2020,SFO,1,-9.5,49.5,1,29.5
NWE,10,2020,BAL,1,7,44,0,18.5
NYG,10,2020,PHI,1,4.5,46,0,20.75
PHI,10,2020,NYG,0,-4.5,46,1,25.25
PIT,10,2020,CIN,1,-6.5,45.5,1,26
SEA,10,2020,LAR,0,2.5,55,0,26.25
SFO,10,2020,NOR,0,9.5,49.5,0,20
TAM,10,2020,CAR,0,-6,49.5,1,27.75
TEN,10,2020,IND,1,1,48.5,0,23.75
WAS,10,2020,DET,0,0,45.5,0,22.75
ARI,9,2020,MIA,1,-6,49,1,27.5
ATL,9,2020,DEN,1,-4.5,50,1,27.25
BAL,9,2020,IND,0,1,48,0,23.5
BUF,9,2020,SEA,1,3,55,0,26
CAR,9,2020,KAN,0,10,51.5,0,20.75
CHI,9,2020,TEN,0,6,46.5,0,20.25
DAL,9,2020,PIT,1,14,44,0,15
DEN,9,2020,ATL,0,4.5,50,0,22.75
DET,9,2020,MIN,0,3,51.5,0,24.25
GNB,9,2020,SFO,0,-7,48,1,27.5
HOU,9,2020,JAX,0,0,49,1,24.5
IND,9,2020,BAL,1,-1,48,1,24.5
JAX,9,2020,HOU,1,0,49,0,24.5
KAN,9,2020,CAR,1,-10,51.5,1,30.75
LAC,9,2020,LVR,1,1,52.5,0,25.75
LVR,9,2020,LAC,0,-1,52.5,1,26.75
MIA,9,2020,ARI,0,6,49,0,21.5
MIN,9,2020,DET,1,-3,51.5,1,27.25
NOR,9,2020,TAM,0,3,51.5,0,24.25
NWE,9,2020,NYJ,0,-10,42,1,26
NYG,9,2020,WAS,0,3,43,0,20
NYJ,9,2020,NWE,1,10,42,0,16
PIT,9,2020,DAL,0,-14,44,1,29
SEA,9,2020,BUF,0,-3,55,1,29
SFO,9,2020,GNB,1,7,48,0,20.5
TAM,9,2020,NOR,1,-3,51.5,1,27.25
TEN,9,2020,CHI,1,-6,46.5,1,26.25
WAS,9,2020,NYG,1,-3,43,1,23
ATL,8,2020,CAR,0,1.5,52,0,25.25
BAL,8,2020,PIT,1,-4,46.5,1,25.25
BUF,8,2020,NWE,1,-4.5,40.5,1,22.5
CAR,8,2020,ATL,1,-1.5,52,1,26.75
CHI,8,2020,NOR,1,4.5,42.5,0,19
CIN,8,2020,TEN,1,7,51,0,22
CLE,8,2020,LVR,1,-2.5,49,1,25.75
DAL,8,2020,PHI,0,10,43,0,16.5
DEN,8,2020,LAC,1,3,44.5,0,20.75
DET,8,2020,IND,1,0,50,0,25
GNB,8,2020,MIN,1,-6,50,1,28
IND,8,2020,DET,0,0,50,1,25
KAN,8,2020,NYJ,1,-20,49,1,34.5
LAC,8,2020,DEN,0,-3,44.5,1,23.75
LAR,8,2020,MIA,0,-3.5,45.5,1,24.5
LVR,8,2020,CLE,0,2.5,49,0,23.25
MIA,8,2020,LAR,1,3.5,45.5,0,21
MIN,8,2020,GNB,0,6,50,0,22
NOR,8,2020,CHI,0,-4.5,42.5,1,23.5
NWE,8,2020,BUF,0,4.5,40.5,0,18
NYG,8,2020,TAM,1,12.5,46.5,0,17
NYJ,8,2020,KAN,0,20,49,0,14.5
