"Pos","Player","Tm","Opp","FD Sal $","Projected Own%","Cash Odds","GPP Odds","Implied Own%","FD LEV"
"RB","Saquon Barkley","NYG","@DAL","9200","17.5%","55%","16%","20%","1.13"
"RB","Ezekiel Elliott","DAL","NYG","9100","12.5%","47%","11%","14%","1.15"
"RB","Christian McCaffrey","CAR","LAR","8900","22.5%","58%","17%","22%","0.96"
"QB","Patrick Mahomes","KC","@JAX","8700","7.5%","54%","24%","7%","0.99"
"WR","Julio Jones","ATL","@MIN","8500","17.5%","43%","9%","10%","0.59"
"QB","Russell Wilson","SEA","CIN","8200","7.5%","48%","19%","6%","0.77"
"WR","Odell Beckham","CLE","TEN","8200","27.5%","53%","16%","19%","0.68"
"RB","David Johnson","ARI","DET","8100","7.5%","49%","10%","13%","1.72"
"QB","Matt Ryan","ATL","@MIN","8000","3.0%","39%","13%","4%","1.27"
"RB","LeVeon Bell","NYJ","BUF","7900","7.5%","47%","9%","11%","1.49"
"QB","Cam Newton","CAR","LAR","7900","7.5%","51%","22%","7%","0.88"
"QB","Baker Mayfield","CLE","TEN","7900","7.5%","50%","20%","6%","0.80"
"WR","Mike Evans","TB","SF","7900","12.5%","39%","7%","8%","0.68"
"RB","Joe Mixon","CIN","@SEA","7800","3.0%","40%","6%","7%","2.41"
"TE","Travis Kelce","KC","@JAX","7800","12.5%","46%","16%","12%","0.94"
"QB","Jared Goff","LAR","@CAR","7800","7.5%","48%","17%","5%","0.69"
"WR","T.Y. Hilton","IND","@LAC","7700","3.0%","33%","5%","6%","1.93"
"WR","Keenan Allen","LAC","IND","7700","17.5%","46%","10%","11%","0.65"
"RB","Todd Gurley","LAR","@CAR","7600","7.5%","45%","9%","11%","1.51"
"WR","Tyreek Hill","KC","@JAX","7600","22.5%","53%","15%","18%","0.80"
"QB","Carson Wentz","PHI","WAS","7600","7.5%","50%","19%","6%","0.76"
"QB","Philip Rivers","LAC","IND","7500","3.0%","44%","14%","4%","1.39"
"WR","Amari Cooper","DAL","NYG","7500","12.5%","45%","10%","12%","0.98"
"QB","Dak Prescott","DAL","NYG","7500","7.5%","50%","20%","6%","0.81"
"QB","Jameis Winston","TB","SF","7500","12.5%","52%","21%","6%","0.52"
"QB","Kirk Cousins","MIN","ATL","7400","3.0%","47%","17%","5%","1.70"
