"Pos","Player","Tm","Opp","FD Sal $","Projected Own%","Cash Odds","GPP Odds","Implied Own%","FD LEV"
"RB","Christian McCaffrey","CAR","@NO","10500","27.5%","58%","21%","28%","1.01"
"WR","Michael Thomas","NO","CAR","9200","27.5%","72%","31%","34%","1.22"
"QB","Drew Brees","NO","CAR","8500","7.5%","48%","18%","6%","0.84"
"RB","Derrick Henry","TEN","JAX","8400","17.5%","55%","15%","21%","1.17"
"WR","Julio Jones","ATL","TB","8400","27.5%","63%","22%","24%","0.87"
"RB","Alvin Kamara","NO","CAR","8300","27.5%","65%","21%","28%","1.02"
"RB","Nick Chubb","CLE","MIA","8200","22.5%","58%","17%","23%","1.02"
"QB","Russell Wilson","SEA","@PHI","8200","12.5%","53%","24%","8%","0.68"
"QB","Dak Prescott","DAL","@NE","8100","3.0%","42%","16%","6%","1.90"
"RB","Ezekiel Elliott","DAL","@NE","8100","7.5%","48%","10%","13%","1.73"
"RB","Josh Jacobs","OAK","@NYJ","8000","12.5%","52%","13%","17%","1.35"
"WR","Mike Evans","TB","@ATL","8000","27.5%","63%","22%","23%","0.85"
"RB","Saquon Barkley","NYG","@CHI","7900","17.5%","55%","13%","17%","0.98"
"QB","Matt Ryan","ATL","TB","7900","17.5%","59%","26%","9%","0.54"
"WR","Kenny Golladay","DET","@WAS","7800","7.5%","38%","8%","8%","1.09"
"QB","Josh Allen","BUF","DEN","7800","7.5%","44%","17%","6%","0.81"
"WR","Chris Godwin","TB","@ATL","7800","22.5%","48%","12%","13%","0.57"
"RB","Chris Carson","SEA","@PHI","7700","7.5%","41%","7%","9%","1.19"
"WR","Amari Cooper","DAL","@NE","7700","7.5%","39%","7%","8%","1.03"
"QB","Tom Brady","NE","DAL","7700","7.5%","42%","13%","5%","0.64"
"QB","Jameis Winston","TB","@ATL","7600","12.5%","52%","21%","7%","0.59"
"QB","Daniel Jones","NYG","@CHI","7500","0.5%","34%","10%","4%","7.53"
"WR","Allen Robinson","CHI","NYG","7500","7.5%","41%","7%","8%","1.07"
"WR","Julian Edelman","NE","DAL","7500","12.5%","47%","11%","12%","0.96"
"QB","Baker Mayfield","CLE","MIA","7500","7.5%","44%","16%","6%","0.75"
"QB","Sam Darnold","NYJ","OAK","7400","3.0%","42%","14%","5%","1.66"
"QB","Derek Carr","OAK","@NYJ","7400","3.0%","42%","13%","5%","1.54"
"WR","Tyler Lockett","SEA","@PHI","7400","12.5%","48%","11%","12%","0.94"
"RB","LeVeon Bell","NYJ","OAK","7300","12.5%","50%","10%","13%","1.07"
"QB","Jeff Driskel","DET","@WAS","7300","7.5%","45%","17%","6%","0.80"
"QB","Carson Wentz","PHI","SEA","7300","7.5%","40%","13%","5%","0.63"
"QB","Nick Foles","JAX","@TEN","7200","0.5%","37%","10%","3%","6.86"
"WR","Marvin Jones","DET","@WAS","7200","7.5%","39%","7%","8%","1.05"
"QB","Ryan Fitzpatrick","MIA","@CLE","7100","0.5%","37%","11%","4%","7.99"
"QB","Ryan Tannehill","TEN","JAX","7100","3.0%","39%","13%","5%","1.51"
"QB","Mitch Trubisky","CHI","NYG","7000","0.5%","33%","9%","3%","6.20"
"WR","D.J. Chark","JAX","@TEN","7000","12.5%","51%","14%","15%","1.16"
"WR","Odell Beckham","CLE","MIA","7000","17.5%","51%","13%","14%","0.78"
"RB","Leonard Fournette","JAX","@TEN","7000","22.5%","54%","10%","13%","0.60"
