Pos,Player,Tm,Opp,FD Sal $,Projected Own%,Cash Odds,GPP Odds,Implied Own%,FD LEV
RB,Saquon Barkley,NYG,BUF,9200,17.50%,60%,20%,17%,0.96
WR,DeAndre Hopkins,HOU,JAX,9000,17.50%,55%,18%,17%,0.96
QB,Patrick Mahomes,KC,#NAME?,9000,12.50%,54%,24%,7%,0.54
RB,Alvin Kamara,NO,#NAME?,8700,22.50%,61%,20%,17%,0.76
WR,Michael Thomas,NO,#NAME?,8500,22.50%,53%,15%,14%,0.62
RB,Ezekiel Elliott,DAL,#NAME?,8500,17.50%,54%,14%,12%,0.7
QB,Deshaun Watson,HOU,JAX,8500,7.50%,51%,23%,7%,0.89
WR,Davante Adams,GB,MIN,8200,7.50%,52%,15%,14%,1.91
QB,Lamar Jackson,BAL,ARI,8200,12.50%,56%,26%,8%,0.6
WR,JuJu Smith-Schuster,PIT,SEA,8100,7.50%,47%,12%,11%,1.48
TE,Travis Kelce,KC,#NAME?,8000,17.50%,47%,17%,11%,0.63
QB,Aaron Rodgers,GB,MIN,8000,3.00%,48%,19%,5%,1.79
QB,Drew Brees,NO,#NAME?,8000,7.50%,44%,15%,4%,0.57
RB,Dalvin Cook,MIN,#NAME?,7900,12.50%,53%,12%,10%,0.82
WR,Antonio Brown,NE,#NAME?,7800,3.00%,35%,6%,6%,1.93
WR,Amari Cooper,DAL,#NAME?,7800,12.50%,45%,10%,10%,0.78
QB,Tom Brady,NE,#NAME?,7800,12.50%,54%,21%,6%,0.49
WR,Keenan Allen,LAC,#NAME?,7700,7.50%,53%,14%,13%,1.76
RB,James Conner,PIT,SEA,7700,7.50%,54%,13%,11%,1.49
QB,Philip Rivers,LAC,#NAME?,7700,3.00%,43%,13%,4%,1.25
QB,Dak Prescott,DAL,#NAME?,7700,7.50%,51%,21%,6%,0.81
WR,T.Y. Hilton,IND,#NAME?,7600,7.50%,39%,7%,6%,0.85
QB,Russell Wilson,SEA,#NAME?,7600,3.00%,43%,15%,4%,1.46
QB,Ben Roethlisberger,PIT,SEA,7600,3.00%,44%,15%,4%,1.4
QB,Jared Goff,LAR,NO,7600,7.50%,54%,21%,6%,0.79
RB,Derrick Henry,TEN,IND,7500,7.50%,55%,14%,12%,1.58
RB,Austin Ekeler,LAC,#NAME?,7500,12.50%,55%,13%,11%,0.89
RB,Mark Ingram,BAL,ARI,7500,17.50%,57%,15%,13%,0.74
QB,Josh Allen,BUF,#NAME?,7500,3.00%,52%,22%,6%,2.11
WR,Sammy Watkins,KC,#NAME?,7400,27.50%,57%,18%,17%,0.61
RB,Chris Carson,SEA,#NAME?,7400,7.50%,56%,14%,12%,1.58
RB,Marlon Mack,IND,#NAME?,7400,7.50%,47%,8%,7%,0.93
QB,Marcus Mariota,TEN,IND,7400,3.00%,40%,14%,4%,1.31
WR,Adam Thielen,MIN,#NAME?,7300,7.50%,43%,9%,8%,1.11
WR,Robert Woods,LAR,NO,7300,17.50%,43%,9%,8%,0.48
RB,David Johnson,ARI,#NAME?,7300,3.00%,55%,11%,10%,3.22
QB,Kirk Cousins,MIN,#NAME?,7300,0.50%,37%,11%,3%,6.37
WR,Allen Robinson,CHI,#NAME?,7200,7.50%,37%,6%,6%,0.74
WR,Julian Edelman,NE,#NAME?,7100,17.50%,41%,8%,7%,0.43
TE,George Kittle,SF,#NAME?,7100,12.50%,56%,22%,14%,1.12
QB,Andy Dalton,CIN,SF,7100,3.00%,42%,13%,4%,1.29
WR,Brandin Cooks,LAR,NO,7000,12.50%,45%,9%,8%,0.66
RB,Todd Gurley,LAR,NO,7000,7.50%,56%,14%,12%,1.55
QB,Jimmy Garoppolo,SF,#NAME?,7000,3.00%,43%,13%,4%,1.28
QB,Matthew Stafford,DET,LAC,7000,3.00%,40%,11%,3%,1.08
WR,Stefon Diggs,MIN,#NAME?,6900,3.00%,34%,5%,5%,1.63
RB,Leonard Fournette,JAX,#NAME?,6900,7.50%,56%,13%,11%,1.46
QB,Case Keenum,WAS,DAL,6900,0.50%,37%,10%,3%,5.8
WR,Cooper Kupp,LAR,NO,6800,7.50%,44%,9%,9%,1.14
RB,Sony Michel,NE,#NAME?,6800,17.50%,48%,9%,8%,0.44
QB,Mitch Trubisky,CHI,#NAME?,6800,0.50%,39%,12%,3%,6.77
WR,Tyler Lockett,SEA,#NAME?,6700,7.50%,43%,8%,8%,1.06
WR,Kenny Golladay,DET,LAC,6600,7.50%,40%,7%,7%,0.87
RB,Phillip Lindsay,DEN,CHI,6600,0.50%,36%,4%,3%,6.58
RB,Damien Williams,KC,#NAME?,6600,7.50%,56%,13%,11%,1.48
RB,Kerryon Johnson,DET,LAC,6600,3.00%,38%,5%,4%,1.3
QB,Derek Carr,OAK,KC,6600,7.50%,47%,15%,4%,0.57
RB,Josh Jacobs,OAK,KC,6500,27.50%,60%,14%,12%,0.43
QB,Kyler Murray,ARI,#NAME?,6500,3.00%,44%,15%,4%,1.42
WR,John Ross,CIN,SF,6400,7.50%,35%,5%,5%,0.68
TE,Evan Engram,NYG,BUF,6400,7.50%,51%,16%,10%,1.38
RB,Aaron Jones,GB,MIN,6400,3.00%,46%,7%,6%,1.95
QB,Eli Manning,NYG,BUF,6400,0.50%,33%,8%,2%,4.38
QB,Joe Flacco,DEN,CHI,6400,0.50%,29%,6%,2%,3.51
QB,Gardner Minshew,JAX,#NAME?,6400,3.00%,32%,7%,2%,0.72
WR,Tyler Boyd,CIN,SF,6300,7.50%,45%,9%,8%,1.12
WR,John Brown,BUF,#NAME?,6300,7.50%,45%,9%,8%,1.1
WR,Josh Gordon,NE,#NAME?,6300,12.50%,41%,8%,7%,0.56
RB,James White,NE,#NAME?,6300,3.00%,32%,3%,3%,0.9
WR,Michael Gallup,DAL,#NAME?,6200,3.00%,40%,7%,6%,2.06
TE,Hunter Henry,LAC,#NAME?,6200,7.50%,42%,11%,7%,0.95
QB,Ryan Fitzpatrick,MIA,NE,6200,0.50%,25%,5%,1%,2.61
WR,Will Fuller,HOU,JAX,6100,3.00%,39%,6%,6%,2.01
WR,DK Metcalf,SEA,#NAME?,6100,7.50%,37%,5%,5%,0.68
TE,Mark Andrews,BAL,ARI,6100,12.50%,47%,14%,9%,0.71
RB,Duke Johnson,HOU,JAX,6100,0.50%,39%,4%,3%,6.69
RB,Tarik Cohen,CHI,#NAME?,6100,0.50%,25%,2%,1%,2.56
RB,Justin Jackson,LAC,#NAME?,6100,3.00%,35%,3%,3%,0.99
WR,Sterling Shepard,NYG,BUF,6000,3.00%,32%,4%,4%,1.3
TE,T.J. Hockenson,DET,LAC,6000,7.50%,39%,9%,6%,0.77
TE,Jared Cook,NO,#NAME?,6000,7.50%,36%,8%,5%,0.68
QB,Jacoby Brissett,IND,#NAME?,6000,0.50%,43%,13%,4%,7.54
WR,Courtland Sutton,DEN,CHI,5900,3.00%,37%,5%,5%,1.59
WR,Dede Westbrook,JAX,#NAME?,5900,3.00%,34%,5%,4%,1.46
WR,Tyrell Williams,OAK,KC,5900,12.50%,47%,10%,9%,0.73
TE,Delanie Walker,TEN,IND,5900,7.50%,42%,10%,6%,0.85
RB,Royce Freeman,DEN,CHI,5900,0.50%,28%,2%,2%,3.22
RB,Latavius Murray,NO,#NAME?,5900,3.00%,28%,2%,2%,0.57
RB,David Montgomery,CHI,#NAME?,5800,0.50%,34%,3%,3%,5.31
RB,LeSean McCoy,KC,#NAME?,5800,3.00%,41%,5%,4%,1.37
WR,Corey Davis,TEN,IND,5700,3.00%,37%,5%,5%,1.63
WR,Marquise Brown,BAL,ARI,5700,3.00%,35%,5%,5%,1.54
WR,Marvin Jones,DET,LAC,5700,3.00%,34%,5%,4%,1.41
TE,Eric Ebron,IND,#NAME?,5700,0.50%,26%,4%,3%,5.27
