Pos,Player,Tm,Opp,FD Sal $,Projected Own%,Cash Odds,GPP Odds,Implied Own%,FD LEV
RB,Christian McCaffrey,CAR,LV,10000,27.50%,52%,16%,27%,0.98
QB,Lamar Jackson,BAL,CLE,9400,17.50%,63%,35%,11%,0.63
WR,Michael Thomas,NO,TB,8800,22.50%,51%,13%,16%,0.7
RB,Dalvin Cook,MIN,GB,8700,12.50%,44%,10%,17%,1.34
QB,Russell Wilson,SEA,@ATL,8400,7.50%,44%,17%,5%,0.71
RB,Alvin Kamara,NO,TB,8300,17.50%,40%,7%,11%,0.64
WR,Julio Jones,ATL,SEA,8200,17.50%,46%,10%,12%,0.69
RB,Josh Jacobs,LV,@CAR,8200,22.50%,42%,8%,14%,0.63
QB,Drew Brees,NO,TB,8100,7.50%,49%,18%,6%,0.75
TE,George Kittle,SF,ARI,8000,12.50%,42%,13%,11%,0.85
WR,Davante Adams,GB,@MIN,8000,22.50%,51%,13%,16%,0.7
QB,Josh Allen,BUF,NYJ,7900,7.50%,46%,18%,6%,0.77
RB,Aaron Jones,GB,@MIN,7800,7.50%,43%,8%,13%,1.74
WR,DeAndre Hopkins,ARI,@SF,7800,7.50%,40%,8%,9%,1.19
QB,Matt Ryan,ATL,SEA,7800,7.50%,44%,15%,5%,0.64
QB,Kyler Murray,ARI,@SF,7700,3.00%,43%,16%,5%,1.65
WR,Chris Godwin,TB,@NO,7700,12.50%,46%,11%,13%,1.01
RB,Austin Ekeler,LAC,@CIN,7700,17.50%,45%,8%,13%,0.74
QB,Carson Wentz,PHI,@WAS,7700,7.50%,45%,16%,5%,0.66
QB,Tom Brady,TB,@NO,7600,7.50%,43%,14%,4%,0.57
QB,Aaron Rodgers,GB,@MIN,7500,3.00%,42%,14%,4%,1.43
WR,Mike Evans,TB,@NO,7500,7.50%,42%,9%,10%,1.33
RB,Nick Chubb,CLE,@BAL,7500,7.50%,35%,4%,7%,0.96
QB,Jimmy Garoppolo,SF,ARI,7400,3.00%,44%,14%,5%,1.5
TE,Mark Andrews,BAL,CLE,7400,12.50%,43%,14%,11%,0.86
QB,Matthew Stafford,DET,CHI,7300,3.00%,42%,13%,4%,1.4
WR,Kenny Golladay,DET,CHI,7300,12.50%,44%,9%,11%,0.88
RB,Joe Mixon,CIN,LAC,7300,17.50%,46%,9%,15%,0.84
QB,Cam Newton,NE,MIA,7300,7.50%,49%,19%,6%,0.8
WR,Allen Robinson,CHI,@DET,7200,7.50%,48%,11%,14%,1.8
QB,Kirk Cousins,MIN,GB,7200,3.00%,42%,13%,4%,1.37
RB,Chris Carson,SEA,@ATL,7200,12.50%,38%,5%,9%,0.75
RB,Todd Gurley,ATL,SEA,7100,7.50%,39%,6%,10%,1.36
WR,D.J. Moore,CAR,LV,7100,7.50%,43%,9%,10%,1.34
QB,Derek Carr,LV,@CAR,7100,3.00%,41%,13%,4%,1.32
QB,Philip Rivers,IND,@JAX,7100,3.00%,42%,12%,4%,1.26
RB,Mark Ingram,BAL,CLE,7000,3.00%,37%,5%,9%,2.84
QB,Tyrod Taylor,LAC,@CIN,7000,3.00%,44%,15%,5%,1.63
QB,Baker Mayfield,CLE,@BAL,7000,3.00%,37%,11%,3%,1.15
WR,Keenan Allen,LAC,@CIN,7000,7.50%,40%,7%,8%,1.07
QB,Mitch Trubisky,CHI,@DET,6900,3.00%,43%,14%,4%,1.45
WR,Odell Beckham,CLE,@BAL,6900,7.50%,38%,6%,7%,0.99
RB,Leonard Fournette,TB,@NO,6900,0.50%,7%,0%,0%,0.29
QB,Sam Darnold,NYJ,@BUF,6800,0.50%,29%,7%,2%,4.24
QB,Teddy Bridgewater,CAR,LV,6800,3.00%,43%,13%,4%,1.35
WR,Adam Thielen,MIN,GB,6800,12.50%,40%,7%,9%,0.69
WR,Tyler Lockett,SEA,@ATL,6800,12.50%,40%,7%,8%,0.68
TE,Darren Waller,LV,@CAR,6800,7.50%,31%,6%,5%,0.63
RB,Miles Sanders,PHI,@WAS,6800,27.50%,48%,9%,15%,0.53
WR,DeVante Parker,MIA,@NE,6700,3.00%,31%,4%,5%,1.67
QB,Gardner Minshew,JAX,IND,6700,3.00%,46%,15%,5%,1.62
WR,Julian Edelman,NE,MIA,6700,7.50%,38%,6%,7%,0.99
RB,Kenyan Drake,ARI,@SF,6600,3.00%,41%,6%,10%,3.17
QB,Joe Burrow,CIN,LAC,6600,3.00%,47%,16%,5%,1.71
WR,Stefon Diggs,BUF,NYJ,6600,7.50%,39%,7%,8%,1.04
TE,Zach Ertz,PHI,@WAS,6600,12.50%,45%,13%,10%,0.82
WR,D.J. Chark,JAX,IND,6600,12.50%,41%,7%,8%,0.66
WR,Calvin Ridley,ATL,SEA,6600,17.50%,42%,9%,10%,0.57
QB,Dwayne Haskins,WAS,PHI,6500,0.50%,36%,10%,3%,6.21
RB,Le'Veon Bell,NYJ,@BUF,6500,3.00%,35%,3%,6%,1.93
WR,Terry McLaurin,WAS,PHI,6500,17.50%,43%,8%,10%,0.55
QB,Ryan Fitzpatrick,MIA,@NE,6400,0.50%,40%,12%,4%,7.77
WR,T.Y. Hilton,IND,@JAX,6400,7.50%,39%,6%,7%,0.98
WR,DK Metcalf,SEA,@ATL,6400,17.50%,41%,7%,9%,0.5
WR,Jarvis Landry,CLE,@BAL,6300,3.00%,37%,6%,6%,2.16
RB,Devin Singletary,BUF,NYJ,6300,3.00%,28%,2%,3%,1.13
WR,Marvin Jones,DET,CHI,6200,3.00%,37%,6%,7%,2.42
WR,A.J. Green,CIN,LAC,6200,3.00%,38%,6%,7%,2.27
RB,Raheem Mostert,SF,ARI,6200,7.50%,39%,5%,8%,1.11
WR,Tyler Boyd,CIN,LAC,6100,3.00%,37%,5%,6%,2.05
WR,John Brown,BUF,NYJ,6100,3.00%,36%,5%,6%,2.03
RB,Marlon Mack,IND,@JAX,6100,3.00%,27%,2%,3%,1.07
QB,Justin Herbert,LAC,@CIN,6100,3.00%,1%,0%,0%,0
WR,Deebo Samuel,SF,ARI,6000,0.50%,32%,4%,5%,10.13
RB,Sony Michel,NE,MIA,6000,0.50%,31%,3%,5%,9.29
TE,Hunter Henry,LAC,@CIN,6000,3.00%,40%,10%,8%,2.5
WR,Jamison Crowder,NYJ,@BUF,6000,3.00%,33%,4%,5%,1.56
TE,Jared Cook,NO,TB,5900,3.00%,38%,8%,7%,2.2
WR,Marquise Brown,BAL,CLE,5900,17.50%,41%,7%,8%,0.47
WR,Breshad Perriman,NYJ,@BUF,5800,0.50%,19%,1%,1%,2.72
WR,Christian Kirk,ARI,@SF,5800,3.00%,28%,3%,4%,1.18
RB,Kareem Hunt,CLE,@BAL,5800,3.00%,30%,2%,4%,1.17
WR,Kendrick Bourne,SF,ARI,5700,0.50%,21%,1%,2%,3.31
TE,Austin Hooper,CLE,@BAL,5700,3.00%,25%,4%,3%,0.97
RB,Ronald Jones,TB,@NO,5700,7.50%,37%,3%,6%,0.8
WR,DeSean Jackson,PHI,@WAS,5700,17.50%,45%,8%,10%,0.57
WR,Robby Anderson,CAR,LV,5600,0.50%,29%,3%,4%,7.37
WR,Emmanuel Sanders,NO,TB,5600,3.00%,37%,5%,6%,2.12
RB,Kerryon Johnson,DET,CHI,5600,0.50%,16%,0%,1%,1.61
RB,Jordan Howard,MIA,@NE,5500,0.50%,23%,1%,2%,3.27
WR,Allen Lazard,GB,@MIN,5500,3.00%,33%,4%,5%,1.59
WR,Curtis Samuel,CAR,LV,5500,3.00%,32%,4%,5%,1.57
TE,Rob Gronkowski,TB,@NO,5500,7.50%,37%,7%,6%,0.77
WR,Cole Beasley,BUF,NYJ,5400,0.50%,25%,2%,2%,4.76
RB,Tevin Coleman,SF,ARI,5400,0.50%,24%,1%,2%,4.36
WR,Zach Pascal,IND,@JAX,5400,0.50%,21%,1%,2%,3.01
WR,Anthony Miller,CHI,@DET,5400,3.00%,38%,6%,6%,2.17
