"pos","player","tm","fd_sal","projected_own","cash_odds","gpp_odds","implied_own","fd_lev"
"RB","Dalvin Cook","MIN",10200,17.5,42,10,12,0.71
"RB","Derrick Henry","TEN",9600,32.5,60,21,25,0.78
"WR","Davante Adams","GNB",9600,32.5,59,21,16,0.5
"QB","Aaron Rodgers","GNB",9100,12.5,57,27,7,0.55
"WR","Tyreek Hill","KAN",9000,17.5,57,20,16,0.91
"QB","Russell Wilson","SEA",9000,12.5,62,31,8,0.64
"QB","Patrick Mahomes","KAN",8900,12.5,60,29,7,0.59
"RB","Aaron Jones","GNB",8700,17.5,55,16,20,1.12
"WR","DK Metcalf","SEA",8600,17.5,52,15,12,0.69
"WR","Keenan Allen","LAC",8500,12.5,50,14,11,0.85
"QB","Justin Herbert","LAC",8300,7.5,52,23,6,0.76
"TE","Travis Kelce","KAN",8200,17.5,51,21,12,0.7
"WR","DeAndre Hopkins","ARI",8200,7.5,42,8,7,0.88
"WR","Calvin Ridley","ATL",8100,12.5,50,13,10,0.84
"QB","Kyler Murray","ARI",8100,3,47,20,5,1.67
"RB","James Robinson","JAX",8000,22.5,55,15,18,0.79
"WR","AJ Brown","TEN",8000,12.5,52,15,12,0.93
"QB","Deshaun Watson","HOU",8000,7.5,51,22,6,0.73
"QB","Ryan Tannehill","TEN",7900,12.5,54,23,6,0.47
"WR","Tyler Lockett","SEA",7900,12.5,42,9,7,0.58
"WR","Justin Jefferson","MIN",7800,12.5,49,12,9,0.73
"RB","Alvin Kamara","NOR",7800,7.5,44,9,10,1.38
"QB","Tom Brady","TAM",7800,7.5,49,18,5,0.6
"RB","Chris Carson","SEA",7700,12.5,46,10,12,0.96
"WR","Adam Thielen","MIN",7700,12.5,49,13,10,0.79
"QB","Taysom Hill","NOR",7700,7.5,51,22,6,0.74
"RB","Ezekiel Elliott","DAL",7600,7.5,42,7,9,1.19
"RB","Austin Ekeler","LAC",7500,17.5,46,7,9,0.51
"QB","Kirk Cousins","MIN",7500,3,46,16,4,1.34
"WR","Chris Godwin","TAM",7400,7.5,40,7,5,0.72
"RB","Josh Jacobs","LVR",7400,3,38,6,7,2.32
