"Pos","Player","Tm","Opp","FD Sal $","Projected Own%","Cash Odds","GPP Odds","Implied Own%","FD LEV"
"RB","Christian McCaffrey","CAR","@TB","10500","12.5%","41%","10%","13%","1.03"
"QB","Lamar Jackson","BAL","@HOU","9500","12.5%","69%","41%","12%","0.99"
"RB","Saquon Barkley","NYG","@CHI","9000","7.5%","43%","9%","11%","1.46"
"QB","Patrick Mahomes","KC","@LAC","9000","7.5%","50%","21%","6%","0.85"
"RB","Dalvin Cook","MIN","@IND","8800","12.5%","45%","10%","12%","0.97"
"RB","Ezekiel Elliott","DAL","ATL","8600","27.5%","60%","19%","24%","0.86"
"WR","Davante Adams","GB","DET","8600","32.5%","61%","22%","22%","0.66"
"RB","Derrick Henry","TEN","JAX","8300","27.5%","61%","19%","23%","0.85"
"WR","DeAndre Hopkins","ARI","WAS","8300","17.5%","47%","12%","12%","0.68"
"QB","Dak Prescott","DAL","ATL","8300","12.5%","54%","24%","7%","0.58"
"QB","Josh Allen","BUF","@MIA","8200","7.5%","52%","23%","7%","0.92"
"WR","Julio Jones","ATL","@DAL","8200","17.5%","50%","12%","12%","0.70"
"RB","Clyde Edwards-Helaire","KC","@LAC","8000","17.5%","47%","10%","13%","0.73"
"QB","Kyler Murray","ARI","WAS","8000","12.5%","53%","23%","7%","0.56"
"WR","Tyreek Hill","KC","@LAC","8000","17.5%","42%","9%","9%","0.50"
"QB","Deshaun Watson","HOU","BAL","7900","7.5%","49%","20%","6%","0.81"
"QB","Aaron Rodgers","GB","DET","7900","7.5%","48%","18%","5%","0.71"
"WR","Chris Godwin","TB","CAR","7800","17.5%","52%","15%","14%","0.82"
"TE","Travis Kelce","KC","@LAC","7800","12.5%","39%","11%","8%","0.65"
"RB","Aaron Jones","GB","DET","7700","7.5%","44%","9%","11%","1.50"
"QB","Matt Ryan","ATL","@DAL","7700","7.5%","49%","18%","5%","0.71"
"QB","Tom Brady","TB","CAR","7600","7.5%","49%","17%","5%","0.69"
"QB","Ben Roethlisberger","PIT","DEN","7500","3.0%","42%","13%","4%","1.30"
"TE","Mark Andrews","BAL","@HOU","7500","17.5%","43%","14%","10%","0.58"
"TE","George Kittle","SF","@NYJ","7400","7.5%","42%","12%","9%","1.17"
"QB","Kirk Cousins","MIN","@IND","7400","3.0%","39%","11%","3%","1.14"
"WR","Mike Evans","TB","CAR","7400","3.0%","27%","3%","3%","1.08"
"QB","Jared Goff","LAR","@PHI","7300","3.0%","41%","12%","4%","1.24"
"QB","Carson Wentz","PHI","LAR","7300","3.0%","40%","12%","4%","1.24"
"WR","Adam Thielen","MIN","@IND","7300","7.5%","44%","9%","9%","1.21"
"RB","David Johnson","HOU","BAL","7200","3.0%","40%","5%","7%","2.21"
"QB","Mitch Trubisky","CHI","NYG","7200","3.0%","41%","13%","4%","1.34"
"QB","Matthew Stafford","DET","@GB","7200","3.0%","42%","13%","4%","1.27"
"WR","Cooper Kupp","LAR","@PHI","7200","7.5%","39%","8%","8%","1.01"
"QB","Jimmy Garoppolo","SF","@NYJ","7100","3.0%","42%","13%","4%","1.26"
"WR","JuJu Smith-Schuster","PIT","DEN","7100","7.5%","45%","9%","9%","1.22"
"QB","Philip Rivers","IND","MIN","7100","3.0%","42%","12%","4%","1.20"
"WR","Calvin Ridley","ATL","@DAL","7100","22.5%","44%","10%","9%","0.42"
"WR","Allen Robinson","CHI","NYG","7000","7.5%","47%","10%","10%","1.38"
