"pos","player","tm","mu","fd_sal","projected_own","cash_odds","gpp_odds","implied_own","fd_lev"
"RB","Ezekiel Elliott","DAL",16,9500,7.5,49,13,13,1.76
"RB","Alvin Kamara","NOR",31,9300,37.5,75,35,34,0.9
"WR","DeAndre Hopkins","ARI",32,9000,12.5,57,19,15,1.19
"QB","Patrick Mahomes","KAN",25,9000,7.5,59,30,7,0.89
"WR","Davante Adams","GNB",20,8900,17.5,59,20,15,0.87
"RB","Derrick Henry","TEN",11,8900,12.5,50,13,13,1.04
"QB","Josh Allen","BUF",14,8800,12.5,60,31,7,0.56
"QB","Russell Wilson","SEA",18,8700,12.5,61,31,7,0.56
"WR","Calvin Ridley","ATL",25,8400,17.5,54,17,13,0.74
"QB","Kyler Murray","ARI",31,8400,12.5,63,33,8,0.6
"WR","Julio Jones","ATL",25,8300,17.5,55,16,12,0.7
"QB","Aaron Rodgers","GNB",13,8100,7.5,56,25,6,0.74
"WR","Tyreek Hill","KAN",23,8000,12.5,54,17,13,1.06
"QB","Deshaun Watson","HOU",11,8000,7.5,57,26,6,0.8
"TE","Travis Kelce","KAN",16,7900,12.5,49,18,11,0.89
"QB","Matt Ryan","ATL",10,7800,7.5,57,24,5,0.72
"WR","Amari Cooper","DAL",5,7800,3,42,8,7,2.18
"RB","Mike Davis","CAR",2,7700,12.5,55,13,13,1.02
"QB","Drew Brees","NOR",1,7700,3,47,16,4,1.18
"WR","Kenny Golladay","DET",22,7600,17.5,57,18,14,0.8
"RB","Chris Carson","SEA",14,7600,12.5,51,12,12,0.93
"QB","Cam Newton","NWE",19,7600,3,52,23,5,1.71
"WR","Stefon Diggs","BUF",19,7500,17.5,54,15,11,0.65
"QB","Justin Herbert","LAC",20,7500,7.5,55,24,5,0.72
"WR","Tyler Lockett","SEA",8,7400,17.5,49,12,9,0.53
"QB","Ben Roethlisberger","PIT",27,7400,3,53,20,4,1.48
"WR","DK Metcalf","SEA",8,7300,22.5,54,14,11,0.5
"QB","Matthew Stafford","DET",32,7300,7.5,57,23,5,0.7
"QB","Ryan Tannehill","TEN",16,7300,3,51,20,4,1.5
"RB","James Conner","PIT",26,7200,7.5,52,11,11,1.5
"QB","Gardner Minshew","JAX",29,7200,0.5,51,20,4,8.97
"QB","Andy Dalton","DAL",24,7200,0.5,49,17,4,7.75
"RB","Kareem Hunt","CLE",19,7100,27.5,68,22,22,0.8
"TE","George Kittle","SFO",1,7100,12.5,55,20,13,1.01
