"pricing_position","pricing_player","pricing_team","pricing_open","pricing_current","pricing_season_change","pricing_week_change"
"RB","Ameer Abdullah","MIN",4700,4500,-200,0
"WR","Davante Adams","GNB",8000,9200,1200,-300
"RB","Josh Adams","NYJ",4500,4600,100,-100
"WR","Quincy Adeboyejo","NWE",4500,4500,0,0
"WR","Nelson Agholor","LVR",4900,5900,1000,300
"RB","Salvon Ahmed","MIA",4500,6700,2200,1600
"WR","Brandon Aiyuk","SFO",5200,7800,2600,900
"RB","Cam Akers","LAR",5800,6700,900,0
"TE","Jordan Akins","HOU",4300,5100,800,100
"TE","Mo AlieCox","IND",4000,4400,400,-100
"QB","Brandon Allen","CIN",6000,6600,600,100
"QB","Josh Allen","BUF",7900,8800,900,400
"WR","Keenan Allen","LAC",7000,8000,1000,-400
"QB","Kyle Allen","WAS",6000,6100,100,0
"WR","Geronimo Allison","DET",4500,4500,0,0
"WR","Danny Amendola","DET",5100,5200,100,-100
"WR","Robby Anderson","CAR",5600,6600,1000,-100
"TE","Stephen Anderson","LAC",4000,4000,0,0
"TE","Mark Andrews","BAL",7400,7000,-400,200
"WR","JJ ArcegaWhiteside","PHI",5300,4500,-800,0
"RB","Ryquell Armstead","JAX",4800,4700,-100,200
"TE","Dan Arnold","ARI",4200,5100,900,-100
"TE","Devin Asiasi","NWE",4100,4000,-100,0
"TE","Antony Auclair","TAM",4000,4000,0,0
"WR","Tavon Austin","GNB",4800,4600,-200,0
"RB","Kalen Ballage","LAC",4700,5000,300,100
"RB","Peyton Barber","WAS",4900,5200,300,200
"QB","Matt Barkley","BUF",6000,6100,100,0
"RB","Saquon Barkley","NYG",9000,4500,-4500,0
"RB","Kenjon Barner","TAM",4500,4500,0,0
"WR","Cameron Batson","TEN",4500,4500,0,-100
"TE","Marcus Baugh","WAS",4000,4000,0,0
"RB","Nick Bawden","DET",4500,4500,0,0
"WR","Omar Bayless","CAR",4500,4500,0,0
"WR","Cole Beasley","BUF",5400,6100,700,300
"QB","CJ Beathard","SFO",6000,6800,800,600
"TE","Andrew Beck","DEN",4000,4000,0,0
