Season,Week,PID,Player,Pos,Team,Opp,aFPA,aFPA Rk,FFPts,Comp,Pass Att,Pass Yds,Pass TD,INT,Rush Att,Rush Yds,Rush TD,Rec,Rec Yds,Rec TD,Pa1D,Ru1D,Rec1D,Fum,XP,FG,Grade
2019,13,jacksl1,Lamar Jackson,QB,BAL,SF,10.8,2,23.0,18.8,29.8,231.3,1.5,0.8,11.4,62.4,0.4,0.0,0.0,0.0,11.0,4.1,0.0,0.3,0.0,0.0,A-Game
2019,13,mahomp1,Patrick Mahomes,QB,KC,OAK,21.7,29,22.4,25.5,38.7,310.9,2.3,0.6,3.3,17.6,0.0,0.0,0.0,0.0,14.8,1.1,0.0,0.2,0.0,0.0,A-Game
2019,13,wilsor1,Russell Wilson,QB,SEA,MIN,17.5,18,20.8,23.2,35.3,271.9,1.9,0.9,4.4,22.0,0.3,0.0,0.0,0.0,13.1,1.4,0.0,0.3,0.0,0.0,A-Game
2019,13,murrak1,Kyler Murray,QB,ARI,LAR,18.0,20,19.6,22.0,35.3,241.6,1.4,1.0,9.1,41.9,0.3,0.0,0.0,0.0,11.8,2.7,0.0,0.3,0.0,0.0,A-Game
2019,13,breesd1,Drew Brees,QB,NO,@ATL,20.9,26,19.5,26.0,37.1,300.2,2.0,0.5,0.4,1.2,0.0,0.0,0.0,0.0,14.5,0.1,0.0,0.2,0.0,0.0,A-Game
2019,13,winstj1,Jameis Winston,QB,TB,@JAX,19.1,22,19.4,23.1,37.0,273.9,1.8,1.0,3.4,21.0,0.1,0.0,0.0,0.0,13.2,1.4,0.0,0.2,0.0,0.0,A-Game
2019,13,rodgea1,Aaron Rodgers,QB,GB,@NYG,18.4,21,18.9,23.3,34.8,261.1,1.8,0.1,2.6,13.0,0.1,0.0,0.0,0.0,12.7,0.8,0.0,0.2,0.0,0.0,A-Game
2019,13,darnos1,Sam Darnold,QB,NYJ,@CIN,20.9,27,18.4,20.8,31.9,279.7,1.4,0.8,3.2,12.2,0.3,0.0,0.0,0.0,13.0,0.8,0.0,0.3,0.0,0.0,A-Game
2019,13,prescd1,Dak Prescott,QB,DAL,BUF,14.4,11,18.3,22.6,35.2,246.7,1.4,0.7,3.8,17.1,0.3,0.0,0.0,0.0,12.1,1.1,0.0,0.2,0.0,0.0,A-Game
2019,13,ryanm1,Matt Ryan,QB,ATL,NO,15.0,14,18.0,25.9,40.6,279.7,1.7,0.9,2.0,7.5,0.1,0.0,0.0,0.0,13.8,0.5,0.0,0.3,0.0,0.0,A-Game
2019,13,watsod1,Deshaun Watson,QB,HOU,NE,7.4,1,17.8,19.9,33.7,232.6,1.4,1.0,4.5,24.7,0.4,0.0,0.0,0.0,11.2,1.6,0.0,0.3,0.0,0.0,A-Game
2019,13,allenj3,Josh Allen,QB,BUF,@DAL,13.1,6,17.5,19.9,33.0,219.7,1.2,1.0,5.4,32.9,0.4,0.0,0.0,0.0,10.7,2.1,0.0,0.3,0.0,0.0,A-Game
2019,13,folesn1,Nick Foles,QB,JAX,TB,23.3,31,17.2,23.6,37.8,268.4,1.8,0.6,2.0,5.2,0.0,0.0,0.0,0.0,13.0,0.3,0.0,0.3,0.0,0.0,A-Game
2019,13,cousik1,Kirk Cousins,QB,MIN,@SEA,15.0,12,17.1,22.7,34.6,260.0,1.7,0.5,1.9,6.2,0.1,0.0,0.0,0.0,12.6,0.4,0.0,0.2,0.0,0.0,A-Game
2019,13,bradyt1,Tom Brady,QB,NE,@HOU,19.5,24,17.0,23.4,36.5,261.7,1.7,0.6,0.5,1.6,0.1,0.0,0.0,0.0,12.7,0.1,0.0,0.2,0.0,0.0,A-Game
