Season,Week,PID,Player,Pos,Team,Opp,aFPA,aFPA Rk,FFPts,Comp,Pass Att,Pass Yds,Pass TD,INT,Rush Att,Rush Yds,Rush TD,Rec,Rec Yds,Rec TD,Pa1D,Ru1D,Rec1D,Fum,XP,FG,Grade
2020,19,mahomp1,Patrick Mahomes,QB,KC,CLE,19.4,24,24.9,27.0,38.8,328.6,2.4,0.4,3.9,19.9,0.2,0.0,0.0,0.0,15.7,1.3,0.0,0.2,0.0,0.0,A-Game
2020,19,allenj3,Josh Allen,QB,BUF,BAL,16.6,10,22.5,23.5,36.1,270.2,1.9,0.8,7.0,27.6,0.6,0.0,0.0,0.0,13.1,1.8,0.0,0.3,0.0,0.0,A-Game
2020,19,jacksl1,Lamar Jackson,QB,BAL,@BUF,17.8,16,21.0,19.8,30.0,232.3,1.4,0.8,8.1,56.6,0.4,0.0,0.0,0.0,11.2,3.7,0.0,0.3,0.0,0.0,A-Game
2020,19,rodgea1,Aaron Rodgers,QB,GB,LAR,10.3,1,18.3,22.4,33.5,255.0,1.8,0.3,2.2,7.8,0.2,0.0,0.0,0.0,12.4,0.5,0.0,0.2,0.0,0.0,A-Game
2020,19,breesd1,Drew Brees,QB,NO,TB,22.9,30,17.3,23.4,33.9,272.9,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,13.2,0.0,0.0,0.2,0.0,0.0,A-Game
2020,19,bradyt1,Tom Brady,QB,TB,@NO,10.9,2,16.9,24.7,37.4,284.5,1.7,0.8,0.3,0.9,0.1,0.0,0.0,0.0,13.8,0.1,0.0,0.3,0.0,0.0,A-Game
2020,19,mayfib1,Baker Mayfield,QB,CLE,@KC,22.4,28,15.9,22.3,34.0,263.8,1.6,0.9,2.5,8.8,0.0,0.0,0.0,0.0,12.7,0.6,0.0,0.3,0.0,0.0,B-Game
2020,19,goffj1,Jared Goff,QB,LAR,@GB,15.3,5,13.3,22.3,34.4,242.9,1.3,1.0,1.7,5.3,0.0,0.0,0.0,0.0,11.9,0.3,0.0,0.3,0.0,0.0,C-Game
2020,19,hillt2,Taysom Hill,QB,NO,TB,22.9,30,2.5,0.1,0.2,1.4,0.0,0.0,3.7,16.6,0.1,0.0,0.0,0.0,0.1,1.1,0.0,0.0,0.0,0.0,C-Game
2020,19,kamara1,Alvin Kamara,RB,NO,TB,13.5,4,19.1,0.0,0.0,0.0,0.0,0.0,16.3,65.2,0.7,4.5,42.5,0.4,0.0,3.3,1.9,0.1,0.0,0.0,A-Game
2020,19,jonesa2,Aaron Jones,RB,GB,LAR,14.5,7,15.7,0.0,0.0,0.0,0.0,0.0,15.3,68.4,0.7,3.1,24.2,0.1,0.0,3.4,1.1,0.1,0.0,0.0,A-Game
2020,19,chubbn1,Nick Chubb,RB,CLE,@KC,20.7,24,15.2,0.0,0.0,0.0,0.0,0.0,15.8,79.4,0.7,2.2,18.5,0.1,0.0,4.0,0.8,0.1,0.0,0.0,A-Game
2020,19,akersc1,Cam Akers,RB,LAR,@GB,16.7,13,13.3,0.0,0.0,0.0,0.0,0.0,18.6,74.5,0.5,2.2,17.0,0.1,0.0,3.7,0.8,0.2,0.0,0.0,B-Game
2020,19,fournl1,Leonard Fournette,RB,TB,@NO,13.9,5,13.2,0.0,0.0,0.0,0.0,0.0,17.2,69.3,0.6,2.5,17.1,0.0,0.0,3.5,0.8,0.1,0.0,0.0,B-Game
2020,19,dobbij1,J.K. Dobbins,RB,BAL,@BUF,19.4,20,12.2,0.0,0.0,0.0,0.0,0.0,15.2,59.9,0.7,1.5,11.6,0.1,0.0,3.0,0.5,0.1,0.0,0.0,B-Game
