"Pos","Player","Tm","Opp","FD Sal $","Projected Own%","Cash Odds","GPP Odds","Implied Own%","FD LEV"
"RB","Derrick Henry","TEN","HOU","9000","17.5%","57%","18%","18%","1.04"
"QB","Lamar Jackson","BAL","@PHI","9000","7.5%","52%","24%","7%","0.95"
"WR","Davante Adams","GB","@TB","9000","17.5%","52%","15%","13%","0.75"
"WR","Calvin Ridley","ATL","@MIN","8600","12.5%","53%","16%","13%","1.08"
"RB","Aaron Jones","GB","@TB","8500","12.5%","52%","14%","14%","1.13"
"QB","Aaron Rodgers","GB","@TB","8400","7.5%","50%","20%","6%","0.80"
"WR","Julio Jones","ATL","@MIN","8200","7.5%","44%","10%","8%","1.09"
"QB","Deshaun Watson","HOU","@TEN","8200","12.5%","57%","27%","8%","0.65"
"QB","Cam Newton","NE","DEN","8000","7.5%","53%","24%","7%","0.94"
"WR","Chris Godwin","TB","GB","7700","7.5%","45%","10%","9%","1.15"
"RB","Miles Sanders","PHI","BAL","7600","3.0%","47%","9%","9%","2.92"
"QB","Ben Roethlisberger","PIT","CLE","7600","3.0%","52%","19%","6%","1.94"
"WR","Mike Evans","TB","GB","7600","12.5%","49%","13%","11%","0.88"
"TE","Mark Andrews","BAL","@PHI","7600","12.5%","43%","15%","10%","0.83"
"RB","Mike Davis","CAR","CHI","7500","22.5%","60%","16%","17%","0.75"
"QB","Tom Brady","TB","GB","7500","7.5%","51%","18%","5%","0.73"
"QB","Matt Ryan","ATL","@MIN","7400","3.0%","51%","19%","6%","1.91"
"WR","Adam Thielen","MIN","ATL","7400","22.5%","62%","21%","18%","0.82"
"QB","Ryan Fitzpatrick","MIA","NYJ","7400","12.5%","53%","22%","7%","0.53"
"RB","Jonathan Taylor","IND","CIN","7300","17.5%","65%","21%","21%","1.21"
"QB","Matthew Stafford","DET","@JAX","7300","7.5%","57%","23%","7%","0.91"
"QB","Ryan Tannehill","TEN","HOU","7300","12.5%","56%","24%","7%","0.58"
"QB","Gardner Minshew","JAX","DET","7200","7.5%","54%","22%","6%","0.87"
"WR","Kenny Golladay","DET","@JAX","7200","22.5%","55%","16%","14%","0.61"
"QB","Joe Burrow","CIN","@IND","7100","3.0%","43%","15%","4%","1.48"
"RB","James Conner","PIT","CLE","7100","7.5%","50%","10%","10%","1.38"
"WR","JuJu Smith-Schuster","PIT","CLE","7100","7.5%","45%","10%","9%","1.15"
"QB","Kirk Cousins","MIN","ATL","7100","7.5%","55%","21%","6%","0.84"
"QB","Carson Wentz","PHI","BAL","7000","0.5%","41%","14%","4%","8.12"
"RB","Kareem Hunt","CLE","@PIT","7000","7.5%","55%","13%","14%","1.81"
"QB","Baker Mayfield","CLE","@PIT","7000","3.0%","40%","12%","4%","1.18"
"WR","Allen Robinson","CHI","@CAR","7000","12.5%","58%","16%","14%","1.10"
"RB","Alexander Mattison","MIN","ATL","7000","32.5%","66%","20%","21%","0.64"
"QB","Teddy Bridgewater","CAR","CHI","6900","3.0%","49%","18%","5%","1.81"
"RB","Joe Mixon","CIN","@IND","6900","7.5%","51%","9%","9%","1.24"
"WR","Terry McLaurin","WAS","@NYG","6900","7.5%","48%","10%","8%","1.12"
"QB","Nick Foles","CHI","@CAR","6900","3.0%","36%","10%","3%","0.96"
"RB","Todd Gurley","ATL","@MIN","6800","7.5%","49%","10%","10%","1.37"
"WR","D.J. Moore","CAR","CHI","6800","7.5%","48%","11%","10%","1.28"
"QB","Philip Rivers","IND","CIN","6800","3.0%","41%","11%","3%","1.15"
"QB","Drew Lock","DEN","@NE","6700","0.5%","28%","6%","2%","3.47"
"QB","Daniel Jones","NYG","WAS","6700","3.0%","50%","19%","6%","1.93"
"WR","Odell Beckham","CLE","@PIT","6700","7.5%","48%","11%","10%","1.29"
"WR","Will Fuller","HOU","@TEN","6700","12.5%","52%","14%","12%","0.94"
"WR","Jamison Crowder","NYJ","@MIA","6600","7.5%","48%","10%","9%","1.17"
"QB","Joe Flacco","NYJ","@MIA","6500","0.5%","35%","9%","3%","5.24"
"RB","James Robinson","JAX","DET","6500","22.5%","67%","20%","21%","0.92"
"WR","Robby Anderson","CAR","CHI","6500","12.5%","51%","11%","10%","0.78"
"WR","A.J. Brown","TEN","HOU","6500","22.5%","54%","14%","12%","0.52"
"QB","Kyle Allen","WAS","@NYG","6400","0.5%","38%","11%","3%","6.31"
"RB","David Johnson","HOU","@TEN","6400","3.0%","49%","8%","9%","2.90"
"WR","DeVante Parker","MIA","NYJ","6400","12.5%","49%","11%","10%","0.76"
"WR","Marquise Brown","BAL","@PHI","6300","12.5%","52%","12%","10%","0.82"
"WR","Julian Edelman","NE","DEN","6200","3.0%","40%","6%","5%","1.77"
"TE","Robert Tonyan","GB","@TB","6200","7.5%","32%","7%","5%","0.62"
"WR","Tyler Boyd","CIN","@IND","6100","3.0%","50%","10%","9%","2.95"
"WR","Darius Slayton","NYG","WAS","6000","7.5%","51%","12%","10%","1.36"
"TE","Zach Ertz","PHI","BAL","6000","7.5%","38%","8%","6%","0.75"
"RB","Mark Ingram","BAL","@PHI","6000","3.0%","27%","2%","2%","0.68"
"WR","Justin Jefferson","MIN","ATL","5900","17.5%","52%","12%","10%","0.57"
"RB","David Montgomery","CHI","@CAR","5900","22.5%","58%","12%","12%","0.54"
"RB","Antonio Gibson","WAS","@NYG","5800","3.0%","52%","8%","8%","2.74"
"WR","T.Y. Hilton","IND","CIN","5800","3.0%","42%","7%","6%","2.03"
"WR","Laviska Shenault","JAX","DET","5800","7.5%","49%","11%","9%","1.24"
"RB","Ronald Jones","TB","GB","5800","7.5%","52%","8%","9%","1.15"
"WR","Marvin Jones","DET","@JAX","5800","3.0%","32%","4%","3%","1.05"
"TE","Jonnu Smith","TEN","HOU","5800","17.5%","56%","19%","13%","0.77"
"WR","Jerry Jeudy","DEN","@NE","5700","0.5%","39%","6%","5%","10.03"
"TE","T.J. Hockenson","DET","@JAX","5700","12.5%","51%","15%","11%","0.85"
"WR","Brandin Cooks","HOU","@TEN","5700","7.5%","40%","6%","5%","0.68"
"RB","Myles Gaskin","MIA","NYJ","5700","12.5%","50%","8%","8%","0.64"
"RB","Damien Harris","NE","DEN","5600","0.5%","28%","2%","2%","3.66"
"RB","Rex Burkhead","NE","DEN","5600","0.5%","22%","1%","1%","2.36"
"WR","Jarvis Landry","CLE","@PIT","5600","3.0%","43%","7%","6%","2.07"
"RB","Devonta Freeman","NYG","WAS","5600","3.0%","45%","5%","5%","1.83"
"WR","Keelan Cole","JAX","DET","5600","3.0%","38%","6%","5%","1.75"
"TE","Evan Engram","NYG","WAS","5600","3.0%","36%","7%","5%","1.66"
"WR","Marquez Valdes-Scantling","GB","@TB","5600","3.0%","34%","4%","4%","1.28"
"TE","Mike Gesicki","MIA","NYJ","5600","12.5%","36%","7%","5%","0.40"
"WR","Tee Higgins","CIN","@IND","5500","3.0%","40%","7%","6%","2.02"
"RB","Adrian Peterson","DET","@JAX","5500","3.0%","36%","3%","3%","1.00"
"WR","Russell Gage","ATL","@MIN","5500","3.0%","29%","3%","3%","0.85"
"WR","Chase Claypool","PIT","CLE","5500","27.5%","53%","14%","12%","0.43"
"RB","Leonard Fournette","TB","GB","5500","3.0%","16%","0%","0%","0.15"
"WR","Golden Tate","NYG","WAS","5400","0.5%","33%","4%","4%","7.07"
"TE","Hayden Hurst","ATL","@MIN","5400","3.0%","36%","7%","5%","1.68"
"WR","Preston Williams","MIA","NYJ","5400","3.0%","37%","6%","5%","1.63"
"WR","Tim Patrick","DEN","@NE","5400","3.0%","38%","5%","5%","1.54"
"TE","Jimmy Graham","CHI","@CAR","5400","3.0%","35%","7%","5%","1.54"
"RB","D'Andre Swift","DET","@JAX","5400","3.0%","36%","4%","4%","1.24"
"WR","N'Keal Harry","NE","DEN","5400","3.0%","32%","4%","3%","1.04"
"WR","Greg Ward","PHI","BAL","5300","0.5%","33%","4%","3%","6.68"
"WR","Travis Fulgham","PHI","BAL","5300","3.0%","39%","6%","5%","1.59"
"TE","Austin Hooper","CLE","@PIT","5200","0.5%","37%","7%","5%","9.45"
"RB","James White","NE","DEN","5200","0.5%","32%","2%","2%","4.08"
"WR","A.J. Green","CIN","@IND","5200","0.5%","27%","2%","2%","3.87"
"WR","Chris Conley","JAX","DET","5200","0.5%","24%","2%","2%","3.13"
"WR","Anthony Miller","CHI","@CAR","5200","0.5%","22%","1%","1%","2.40"
"WR","Scott Miller","TB","GB","5200","0.5%","21%","1%","1%","2.16"
"RB","Jamaal Williams","GB","@TB","5200","0.5%","23%","1%","1%","2.04"
"TE","Eric Ebron","PIT","CLE","5200","7.5%","41%","9%","6%","0.79"
"WR","Curtis Samuel","CAR","CHI","5100","0.5%","35%","5%","4%","7.86"
"WR","Damiere Byrd","NE","DEN","5100","0.5%","31%","3%","3%","5.83"
"WR","Zach Pascal","IND","CIN","5100","0.5%","27%","2%","2%","3.84"
"RB","J.K. Dobbins","BAL","@PHI","5100","0.5%","27%","2%","2%","3.18"
