"pos","player","tm","fd_sal","projected_own","cash_odds","gpp_odds","implied_own","fd_lev"
"RB","Christian McCaffrey","CAR",9500,12.5,45,11,15,1.16
"RB","Dalvin Cook","MIN",9300,32.5,63,23,30,0.92
"QB","Patrick Mahomes","KAN",9300,12.5,61,32,9,0.71
"QB","Russell Wilson","SEA",9000,12.5,59,29,8,0.65
"RB","Derrick Henry","TEN",8900,7.5,50,13,17,2.28
"WR","DeAndre Hopkins","ARI",8800,17.5,52,14,13,0.73
"QB","Kyler Murray","ARI",8600,7.5,60,30,8,1.12
"WR","Tyreek Hill","KAN",8300,12.5,53,17,15,1.19
"QB","Deshaun Watson","HOU",8300,12.5,61,30,8,0.67
"RB","James Conner","PIT",8200,17.5,52,13,17,0.98
"QB","Josh Allen","BUF",8200,12.5,60,29,8,0.65
"WR","Julio Jones","ATL",8200,27.5,59,19,17,0.62
"QB","Lamar Jackson","BAL",8100,7.5,51,22,6,0.81
"WR","DK Metcalf","SEA",8100,17.5,50,13,12,0.66
"TE","Travis Kelce","KAN",8000,12.5,51,20,12,1
"RB","Ezekiel Elliott","DAL",8000,3,20,1,2,0.65
"QB","Justin Herbert","LAC",7900,7.5,60,29,8,1.09
"RB","Mike Davis","CAR",7800,0.5,3,0,0,0.07
"RB","Josh Jacobs","LVR",7700,12.5,48,11,14,1.1
"WR","Adam Thielen","MIN",7700,12.5,49,14,12,0.95
"QB","Ben Roethlisberger","PIT",7700,7.5,50,19,5,0.69
"WR","AJ Brown","TEN",7600,7.5,49,13,11,1.47
"QB","Matt Ryan","ATL",7600,7.5,51,20,6,0.74
"WR","Stefon Diggs","BUF",7600,22.5,58,17,15,0.66
"QB","Matthew Stafford","DET",7500,3,48,17,5,1.59
"WR","Keenan Allen","LAC",7500,27.5,51,12,11,0.39
"QB","Ryan Tannehill","TEN",7400,3,48,18,5,1.64
"WR","Tyler Lockett","SEA",7400,22.5,56,16,14,0.63
"RB","James Robinson","JAX",7300,12.5,57,15,19,1.53
"QB","Teddy Bridgewater","CAR",7300,3,44,15,4,1.42
"WR","Terry McLaurin","WAS",7200,7.5,52,12,11,1.45
"QB","Drew Lock","DEN",7200,3,42,13,4,1.21
"WR","Will Fuller","HOU",7100,17.5,51,14,12,0.7
"QB","Kirk Cousins","MIN",7100,7.5,49,17,5,0.64
