"pricing_position","pricing_player","pricing_team","pricing_open","pricing_current","pricing_season_change","pricing_week_change"
"RB","Ameer Abdullah","MIN",4700,4500,-200,0
"WR","Davante Adams","GNB",8000,9500,1500,0
"RB","Josh Adams","NYJ",4500,4500,0,NA
"WR","Quincy Adeboyejo","NWE",4500,4500,0,0
"WR","Nelson Agholor","LVR",4900,5300,400,200
"RB","Salvon Ahmed","MIA",4500,5600,1100,700
"RB","Cam Akers","LAR",5800,5400,-400,300
"TE","Jordan Akins","HOU",4300,4900,600,0
"TE","Mo AlieCox","IND",4000,4900,900,-100
"WR","Keenan Allen","LAC",7000,8000,1000,200
"QB","Kyle Allen","WAS",6000,6000,0,-500
"WR","Geronimo Allison","DET",4500,4500,0,0
"WR","Danny Amendola","DET",5100,5200,100,0
"WR","Robby Anderson","CAR",5600,6300,700,-100
"TE","Stephen Anderson","LAC",4000,4000,0,0
"TE","Mark Andrews","BAL",7400,6500,-900,100
"WR","JJ ArcegaWhiteside","PHI",5300,4600,-700,0
"RB","Ryquell Armstead","JAX",4800,4500,-300,0
"TE","Dan Arnold","ARI",4200,4500,300,200
"TE","Devin Asiasi","NWE",4100,4000,-100,0
"TE","Antony Auclair","TAM",4000,4000,0,0
"RB","Kalen Ballage","LAC",4700,5800,1100,500
"RB","Peyton Barber","WAS",4900,4500,-400,0
"RB","Kenjon Barner","TAM",4500,4500,0,0
"WR","Cameron Batson","TEN",4500,4500,0,0
"RB","Nick Bawden","DET",4500,4500,0,0
"WR","Omar Bayless","CAR",4500,4500,0,0
"TE","Andrew Beck","DEN",4000,4000,0,0
"WR","Odell Beckham","CLE",6900,4500,-2400,0
"WR","Chad Beebe","MIN",4500,4500,0,0
"TE","Blake Bell","DAL",4000,4000,0,NA
"RB","LeVeon Bell","KAN",6500,5500,-1000,NA
"RB","Nick Bellore","SEA",4500,4500,0,0
"RB","Eno Benjamin","ARI",4600,4500,-100,0
"RB","Giovani Bernard","CIN",4800,6300,1500,100
"WR","Braxton Berrios","NYJ",4500,4900,400,NA
"WR","Christian Blake","ATL",4700,4700,0,NA
"RB","Khari Blasingame","TEN",4500,4500,0,0
"QB","David Blough","DET",6000,6000,0,0
"RB","Brandon Bolden","NWE",4500,4500,0,0
"RB","Reggie Bonnafon","CAR",4800,4600,-200,0
"RB","Devontae Booker","LVR",4600,5200,600,0
"RB","Mike Boone","MIN",4600,4600,0,0
"WR","Tyler Boyd","CIN",6100,6600,500,-100
"WR","Miles Boykin","BAL",4900,4800,-100,-200
"TE","Nick Boyle","BAL",4600,4300,-300,200
"QB","Tim Boyle","GNB",6000,6000,0,0
"QB","Tom Brady","TAM",7500,7900,400,100
"TE","Cameron Brate","TAM",4400,4800,400,200
"QB","Drew Brees","NOR",8100,8200,100,600
"RB","Matt Breida","MIA",5200,4600,-600,0
"QB","Teddy Bridgewater","CAR",6800,7200,400,200
"QB","Jacoby Brissett","IND",6000,6000,0,0
"WR","AJ Brown","TEN",6700,7500,800,-200
"TE","Daniel Brown","NYJ",4000,4000,0,NA
"WR","Fred Brown","DEN",4500,4500,0,0
"RB","Malcolm Brown","LAR",5000,5700,700,200
"WR","Marquise Brown","BAL",5800,5900,100,200
"WR","Noah Brown","DAL",4500,4600,100,NA
"TE","Pharaoh Brown","HOU",4100,4200,100,100
"TE","Hunter Bryant","DET",4000,4000,0,0
"TE","Harrison Bryant","CLE",4000,4700,700,-100
"RB","Rex Burkhead","NWE",5100,5900,800,300
"WR","Deontay Burnett","PHI",4500,4600,100,0
"QB","Joe Burrow","CIN",6600,7700,1100,500
"RB","Michael Burton","NOR",4500,4500,0,0
"TE","Trey Burton","IND",4800,5200,400,-300
"TE","Jake Butt","DEN",4000,4100,100,0
"WR","Damiere Byrd","NWE",4600,5300,700,-100
"WR","Deon Cain","PIT",4600,4500,-100,0
"RB","Raymond Calais","LAR",4500,4500,0,0
"WR","Marquez Callaway","NOR",4500,4900,400,200
"WR","Parris Campbell","IND",5100,4500,-600,0
"RB","Trenton Cannon","CAR",4500,4700,200,0
"TE","Stephen Carlson","CLE",4000,4000,0,0
"WR","Austin Carr","NOR",4500,4500,0,0
"QB","Derek Carr","LVR",7100,7000,-100,100
"TE","Derek Carrier","LVR",4000,4000,0,0
"RB","Chris Carson","SEA",7200,7800,600,0
"TE","Cethan Carter","CIN",4000,4000,0,0
"WR","Quintez Cephus","DET",4500,4700,200,100
"WR","DJ Chark","JAX",6600,6200,-400,-400
"WR","Dan Chisena","MIN",4500,4500,0,0
"RB","Nick Chubb","CLE",7400,8100,700,-100
"WR","Chase Claypool","PIT",4500,6400,1900,300
"RB","Corey Clement","PHI",4500,4700,200,-300
"WR","Tyrie Cleveland","DEN",4500,4500,0,0
"WR","Randall Cobb","HOU",5000,5100,100,0
"WR","Keelan Cole","JAX",4600,5300,700,200
"TE","Tyler Conklin","MIN",4000,4000,0,0
"WR","Chris Conley","JAX",5100,4900,-200,100
"RB","James Conner","PIT",6800,7000,200,-600
"RB","Dalvin Cook","MIN",8700,10500,1800,1000
"TE","Jared Cook","NOR",5900,6100,200,100
"WR","Brandin Cooks","HOU",5700,6100,400,-200
"WR","Amari Cooper","DAL",7100,6900,-200,NA
"WR","Pharoh Cooper","CAR",4800,4500,-300,0
"WR","Isaiah Coulter","HOU",4500,4500,0,0
"QB","Kirk Cousins","MIN",7200,7100,-100,0
"WR","Keke Coutee","HOU",4700,4500,-200,0
"RB","Chandler Cox","MIA",4500,4500,0,0
"WR","Jamison Crowder","NYJ",6000,6600,600,NA
"RB","DeeJay Dallas","SEA",4500,5500,1000,-100
"QB","Andy Dalton","DAL",6000,6900,900,NA
"QB","Chase Daniel","DET",6000,6000,0,0
"TE","Darrell Daniels","ARI",4000,4300,300,-200
"QB","Sam Darnold","NYJ",6800,6600,-200,NA
"WR","Corey Davis","TEN",5000,5900,900,100
"RB","Mike Davis","CAR",4600,7400,2800,2000
"TE","Josiah Deguara","GNB",4000,4000,0,0
"WR","Gehrig Dieter","KAN",4500,4500,0,NA
"RB","AJ Dillon","GNB",4700,4900,200,0
"QB","Ben DiNucci","DAL",6000,6400,400,NA
"TE","Will Dissly","SEA",4900,4600,-300,100
"RB","JK Dobbins","BAL",5200,5500,300,100
"WR","Josh Doctson","NYJ",4500,4500,0,NA
"WR","Phillip Dorsett","SEA",5000,4500,-500,0
"WR","Keelan Doss","LVR",4500,4500,0,0
"RB","Rico Dowdle","DAL",4500,4500,0,NA
"TE","Jack Doyle","IND",5300,4700,-600,0
"RB","Kenyan Drake","ARI",6600,6300,-300,300
"QB","Jeff Driskel","DEN",6000,6100,100,0
"WR","Ashton Dulin","IND",4500,4500,0,0
"WR","Devin Duvernay","BAL",4700,4800,100,-100
"QB","Jacob Eason","IND",6000,6000,0,0
"TE","Eric Ebron","PIT",5000,5400,400,0
"WR","Julian Edelman","NWE",6700,5500,-1200,-100
"RB","Chase Edmonds","ARI",5000,5900,900,-1200
"RB","Trey Edmunds","PIT",4500,4500,0,0
"WR","Bryan Edwards","LVR",4500,4600,100,0
"RB","Clyde EdwardsHelaire","KAN",7200,6700,-500,NA
"RB","Gus Edwards","BAL",4900,5500,600,0
"TE","Tyler Eifert","JAX",4600,4600,0,0
"RB","Austin Ekeler","LAC",7700,6500,-1200,0
"RB","Ezekiel Elliott","DAL",8700,8000,-700,NA
"WR","Alex Erickson","CIN",4600,4600,0,0
"TE","Zach Ertz","PHI",6700,6000,-700,0
"RB","Tyler Ervin","GNB",4600,4600,0,-300
"RB","Darrynton Evans","TEN",4600,4600,0,0
"WR","Mike Evans","TAM",7500,7100,-400,-200
"TE","Gerald Everett","LAR",4600,4500,-100,0
"TE","Noah Fant","DEN",5400,5700,300,0
"TE","Darren Fells","HOU",4500,5000,500,0
"QB","Ryan Finley","CIN",6000,6000,0,0
"TE","Anthony Firkser","TEN",4200,4800,600,0
"WR","Larry Fitzgerald","ARI",5300,5200,-100,200
"QB","Ryan Fitzpatrick","MIA",6400,6200,-200,0
"QB","Joe Flacco","NYJ",6000,6100,100,NA
"WR","Isaiah Ford","NWE",4600,4700,100,-100
"RB","DJ Foster","ARI",4500,4500,0,0
"WR","Robert Foster","WAS",4500,4500,0,0
"RB","Leonard Fournette","TAM",6900,5800,-1100,-600
"WR","Bennie Fowler","NOR",4700,4500,-200,0
"TE","Jordan Franks","CIN",4000,4000,0,0
"RB","Royce Freeman","DEN",4800,4800,0,0
"WR","Travis Fulgham","PHI",4600,6800,2200,0
"WR","Will Fuller","HOU",6000,7100,1100,0
"TE","Troy Fumagalli","DEN",4100,4000,-100,0
"WR","Devin Funchess","GNB",4500,4500,0,0
"QB","Blaine Gabbert","TAM",6000,6000,0,0
"WR","Russell Gage","ATL",4800,5100,300,NA
"WR","Michael Gallup","DAL",6200,5400,-800,NA
"WR","Antonio GandyGolden","WAS",5000,4500,-500,0
"RB","Myles Gaskin","MIA",4600,5700,1100,0
"TE","Zach Gentry","PIT",4000,4000,0,0
"TE","Mike Gesicki","MIA",5400,5300,-100,0
"RB","Antonio Gibson","WAS",4600,6500,1900,400
"QB","Garrett Gilbert","DAL",6000,6500,500,NA
"RB","Cullen Gillaspia","HOU",4500,4500,0,0
"QB","Mike Glennon","JAX",6000,6200,200,-100
"WR","Chris Godwin","TAM",7700,7200,-500,-300
"WR","Terry Godwin","JAX",4500,4500,0,0
"TE","Dallas Goedert","PHI",5200,5800,600,0
"QB","Jared Goff","LAR",7400,7200,-200,-200
"WR","Kenny Golladay","DET",7300,7000,-300,0
"WR","Marquise Goodwin","PHI",4500,4500,0,0
"WR","Josh Gordon","SEA",5500,5000,-500,0
"RB","Melvin Gordon","DEN",6600,6400,-200,-200
"RB","Frank Gore","NYJ",4800,5000,200,NA
"TE","Jaeden Graham","ATL",4200,4000,-200,NA
"WR","Jakeem Grant","MIA",4500,4600,100,0
"WR","AJ Green","CIN",6200,5500,-700,-100
"TE","Virgil Green","LAC",4100,4000,-100,0
"QB","Will Grier","CAR",6000,6000,0,0
"TE","Garrett Griffin","NOR",4000,4000,0,0
"QB","Robert Griffin III","BAL",6000,6000,0,0
"TE","Ryan Griffin","NYJ",4300,4100,-200,NA
"QB","Ryan Griffin","TAM",6000,6000,0,0
"TE","Rob Gronkowski","TAM",5500,6200,700,100
"RB","Todd Gurley","ATL",7100,6700,-400,NA
"WR","Jalen Guyton","LAC",4500,4900,400,0
"WR","Emanuel Hall","WAS",4500,4500,0,0
"WR","Marvin Hall","DET",4700,5100,400,500
"RB","CJ Ham","MIN",4500,4500,0,0
"WR","DaeSean Hamilton","DEN",4800,4800,0,100
"WR","KJ Hamler","DEN",4700,5200,500,0
"WR","Mecole Hardman","KAN",5000,5600,600,NA
"WR","Kelvin Harmon","WAS",4500,4500,0,0
"RB","Damien Harris","NWE",4500,5800,1300,0
"WR","Deonte Harris","NOR",4600,5000,400,100
"WR","NKeal Harry","NWE",5100,5300,200,-200
"WR","Penny Hart","SEA",4500,4500,0,0
"QB","Dwayne Haskins","WAS",6500,6500,0,0
"TE","Temarrick Hemingway","WAS",4000,4000,0,0
"RB","Darrell Henderson","LAR",5200,6000,800,200
"QB","Chad Henne","KAN",6000,6000,0,NA
"RB","Derrick Henry","TEN",8400,8200,-200,-400
"TE","Hunter Henry","LAC",6000,5500,-500,0
"QB","Justin Herbert","LAC",6100,8500,2400,500
"TE","Chris Herndon","NYJ",4700,4300,-400,NA
"TE","Tyler Higbee","LAR",5800,5300,-500,100
"WR","Rashard Higgins","CLE",4600,5400,800,-100
"WR","Tee Higgins","CIN",4900,6500,1600,400
"WR","John Hightower","PHI",4500,4600,100,-300
"TE","Cole Hikutini","DAL",4000,4000,0,NA
"RB","Brian Hill","ATL",4800,5000,200,NA
"RB","Dontrell Hilliard","CLE",4500,4500,0,-100
"TE","Josh Hill","NOR",4200,4200,0,0
"RB","Justice Hill","BAL",4800,4500,-300,0
"WR","KJ Hill","LAC",4500,4500,0,0
"WR","Tyreek Hill","KAN",8100,8500,400,NA
"WR","TY Hilton","IND",6500,5400,-1100,100
"RB","Nyheim Hines","IND",4900,6100,1200,600
"TE","TJ Hockenson","DET",5300,6000,700,-200
"WR","KhaDarel Hodge","CLE",4700,4500,-200,0
"WR","Chris Hogan","NYJ",4600,4700,100,NA
"WR","Cody Hollister","TEN",4500,4500,0,0
"TE","Jacob Hollister","SEA",4200,4700,500,0
"WR","Mack Hollins","MIA",4500,4900,400,100
"RB","Travis Homer","SEA",4600,5100,500,-200
"TE","Austin Hooper","CLE",5700,5100,-600,0
"TE","Brycen Hopkins","LAR",4000,4000,0,0
"WR","DeAndre Hopkins","ARI",7800,8800,1000,200
"TE","OJ Howard","TAM",4700,4000,-700,0
"RB","Buddy Howell","HOU",4500,4600,100,100
"QB","Brian Hoyer","NWE",6000,6300,300,-200
