"Position","Player","Team","Vs","M/U","Open $","Current $","% of Cap","SeasonChange","Last Week","WeekChange"
"RB","Mike Davis","CAR","@ATL","22","4600","6800","11.33","2200","6300","500"
"RB","James Robinson","JAX","@HOU","31","4500","6600","11.00","2100","6600","0"
"RB","Jonathan Taylor","IND","@CLE","13","5300","7100","11.83","1800","7500","-400"
"WR","Calvin Ridley","ATL","CAR","8","6600","8300","13.83","1700","8100","200"
"RB","Jeff Wilson","SF","MIA","23","4600","6200","10.33","1600","5900","300"
"TE","Mo Alie-Cox","IND","@CLE","31","4000","5400","9.00","1400","5300","100"
"RB","Joshua Kelley","LAC","@NO","3","4500","5900","9.83","1400","5300","600"
"RB","Jerick McKinnon","SF","MIA","23","5000","6400","10.67","1400","6000","400"
"DEF","Los Angeles Rams","LAR","@WAS","22","3700","5000","8.33","1300","4800","200"
"TE","Dalton Schultz","DAL","NYG","2","4000","5300","8.83","1300","4900","400"
"RB","Antonio Gibson","WAS","LAR","28","4600","5800","9.67","1200","5500","300"
"RB","Kareem Hunt","CLE","IND","4","5800","7000","11.67","1200","5900","1100"
"WR","Davante Adams","GB","BYE","0","8000","--","15.00","1000","9000","--"
"DEF","Arizona Cardinals","ARI","@NYJ","31","3300","4200","7.00","900","3800","400"
"RB","Chase Edmonds","ARI","@NYJ","24","5000","5900","9.83","900","5300","600"
"RB","Myles Gaskin","MIA","@SF","11","4600","5500","9.17","900","5400","100"
"QB","Justin Herbert","LAC","@NO","20","6100","7000","11.67","900","6700","300"
"RB","Justin Jackson","LAC","@NO","3","4500","5400","9.00","900","4800","600"
"WR","DeAndre Hopkins","ARI","@NYJ","18","7800","8700","14.50","900","8700","0"
"TE","Jonnu Smith","TEN","BUF","27","4900","5800","9.67","900","5800","0"
"TE","Logan Thomas","WAS","LAR","18","4000","4900","8.17","900","4900","0"
"TE","Robert Tonyan","GB","BYE","0","4200","--","8.50","900","5100","--"
"DEF","Cleveland Browns","CLE","IND","5","3000","3800","6.33","800","3900","-100"
"DEF","Indianapolis Colts","IND","@CLE","6","3700","4500","7.50","800","4900","-400"
"WR","Keelan Cole","JAX","@HOU","12","4600","5400","9.00","800","5600","-200"
"QB","Nick Foles","CHI","TB","12","6300","7100","11.83","800","7100","0"
"WR","Russell Gage","ATL","CAR","8","4800","5600","9.33","800","5800","-200"
"RB","Darrell Henderson","LAR","@WAS","12","5200","6000","10.00","800","6400","-400"
"RB","D'Ernest Johnson","CLE","IND","4","4500","5300","8.83","800","4500","800"
"RB","Alexander Mattison","MIN","@SEA","1","4900","5700","9.50","800","5500","200"
"WR","Scott Miller","TB","@CHI","7","4500","5300","8.83","800","5000","300"
"QB","Nick Mullens","SF","MIA","11","6000","6800","11.33","800","6600","200"
"DEF","Houston Texans","HOU","JAX","10","3000","3700","6.17","700","3700","0"
"QB","Joe Burrow","CIN","@BAL","23","6600","7300","12.17","700","7400","-100"
"WR","Amari Cooper","DAL","NYG","19","7100","7800","13.00","700","7100","700"
"WR","Braxton Berrios","NYJ","ARI","11","4500","5200","8.67","700","5900","-700"
"RB","Clyde Edwards-Helaire","KC","LV","29","7200","7900","13.17","700","7400","500"
"QB","Ryan Fitzpatrick","MIA","@SF","16","6400","7100","11.83","700","7100","0"
"QB","Brian Hoyer","NE","BYE","0","6000","6700","11.17","700","6000","700"
"WR","Justin Jefferson","MIN","@SEA","32","5000","5700","9.50","700","5400","300"
"WR","CeeDee Lamb","DAL","NYG","19","5200","5900","9.83","700","5600","300"
"WR","Allen Lazard","GB","BYE","0","5500","--","10.33","700","6200","--"
"WR","Tre'Quan Smith","NO","LAC","9","4900","5600","9.33","700","5300","300"
"WR","Laviska Shenault","JAX","@HOU","12","4600","5300","8.83","700","5200","100"
"RB","Miles Sanders","PHI","@PIT","15","6800","7500","12.50","700","7600","-100"
"WR","Marquez Valdes-Scantling","GB","BYE","0","4700","--","9.00","700","5400","--"
"DEF","Tampa Bay Buccaneers","TB","@CHI","12","3800","4400","7.33","600","4700","-300"
"WR","Robby Anderson","CAR","@ATL","2","5600","6200","10.33","600","6200","0"
"RB","Rex Burkhead","NE","BYE","0","5100","5700","9.50","600","5600","100"
"RB","Chris Carson","SEA","MIN","21","7200","7800","13.00","600","7900","-100"
"RB","Nick Chubb","CLE","IND","4","7400","8000","13.33","600","8300","-300"
"WR","Will Fuller","HOU","JAX","15","6000","6600","11.00","600","6100","500"
"RB","Alvin Kamara","NO","LAC","7","8300","8900","14.83","600","8800","100"
"RB","Aaron Jones","GB","BYE","0","7800","--","14.00","600","8400","--"
"WR","Tyler Lockett","SEA","MIN","31","6800","7400","12.33","600","7500","-100"
"QB","Kyler Murray","ARI","@NYJ","13","7700","8300","13.83","600","8400","-100"
"WR","Tim Patrick","DEN","BYE","0","4600","5200","8.67","600","5300","-100"
"TE","Jordan Akins","HOU","JAX","22","4300","4800","8.00","500","4900","-100"
"QB","Josh Allen","BUF","@TEN","28","7900","8400","14.00","500","8600","-200"
"TE","Jake Butt","DEN","BYE","0","4000","4500","7.50","500","4200","300"
"RB","Dalvin Cook","MIN","@SEA","1","8700","9200","15.33","500","8700","500"
"WR","Corey Davis","TEN","BUF","26","5000","5500","9.17","500","5500","0"
"WR","Stefon Diggs","BUF","@TEN","21","6600","7100","11.83","500","7000","100"
"RB","Frank Gore","NYJ","ARI","17","4800","5300","8.83","500","5300","0"
"WR","Jalen Guyton","LAC","@NO","4","4500","5000","8.33","500","4800","200"
"WR","Tee Higgins","CIN","@BAL","17","4900","5400","9.00","500","5300","100"
"WR","Dontrelle Inman","WAS","LAR","1","4500","5000","8.33","500","5000","0"
"WR","Chris Hogan","NYJ","ARI","11","4600","5100","8.50","500","5600","-500"
"TE","Albert Okwuegbunam","DEN","BYE","0","4000","4500","7.50","500","4000","500"
"WR","Damion Ratley","NYG","@DAL","28","4500","5000","8.33","500","4500","500"
"QB","Gardner Minshew","JAX","@HOU","8","6700","7200","12.00","500","7400","-200"
"WR","Darius Slayton","NYG","@DAL","28","5300","5800","9.67","500","5500","300"
"QB","Brett Rypien","DEN","BYE","0","6000","6500","10.83","500","6500","0"
"WR","Adam Thielen","MIN","@SEA","32","6800","7300","12.17","500","7100","200"
"TE","Jordan Reed","SF","MIA","11","4000","4500","7.50","500","5000","-500"
"WR","Brandon Aiyuk","SF","MIA","6","5200","5600","9.33","400","5100","500"
"DEF","Washington Football Team","WAS","LAR","7","3400","3800","6.33","400","3500","300"
"RB","Malcolm Brown","LAR","@WAS","12","5000","5400","9.00","400","5300","100"
"WR","D.J. Chark","JAX","@HOU","12","6600","7000","11.67","400","6800","200"
"WR","Chase Claypool","PIT","PHI","23","4500","4900","8.17","400","4900","0"
"QB","Jeff Driskel","DEN","BYE","0","6000","6400","10.67","400","6500","-100"
"TE","Jimmy Graham","CHI","TB","14","5000","5400","9.00","400","5300","100"
"RB","Wayne Gallman","NYG","@DAL","9","4500","4900","8.17","400","4900","0"
"RB","Dontrell Hilliard","CLE","IND","4","4500","4900","8.17","400","4500","400"
"TE","Hayden Hurst","ATL","CAR","4","5300","5700","9.50","400","5700","0"
"QB","Cam Newton","NE","BYE","0","7400","7800","13.00","400","7900","-100"
"RB","Adrian Peterson","DET","BYE","0","5100","--","9.17","400","5500","--"
"WR","Jeff Smith","NYJ","ARI","11","4500","4900","8.17","400","4500","400"
"WR","Emmanuel Sanders","NO","LAC","9","5400","5800","9.67","400","5800","0"
"QB","Aaron Rodgers","GB","BYE","0","7600","--","13.33","400","8000","--"
"TE","Drew Sample","CIN","@BAL","23","4200","4600","7.67","400","4700","-100"
"TE","Cameron Brate","TB","@CHI","21","4400","4700","7.83","300","4000","700"
"QB","Teddy Bridgewater","CAR","@ATL","32","6800","7100","11.83","300","6800","300"
