Season,Week,PID,Player,Pos,Team,Opp,aFPA,aFPA Rk,FFPts,Comp,Pass Att,Pass Yds,Pass TD,INT,Rush Att,Rush Yds,Rush TD,Rec,Rec Yds,Rec TD,Pa1D,Ru1D,Rec1D,Fum,XP,FG,Grade
2020,7,wilsor1,Russell Wilson,QB,SEA,@ARI,19.1,18,23.5,24.9,36.1,297.7,2.2,0.4,5.9,30.2,0.2,0.0,0.0,0.0,14.3,2.0,0.0,0.2,0.0,0.0,A-Game
2020,7,murrak1,Kyler Murray,QB,ARI,SEA,24.6,31,23.4,23.5,34.8,278.0,1.9,0.9,8.5,49.1,0.4,0.0,0.0,0.0,13.4,3.2,0.0,0.3,0.0,0.0,A-Game
2020,7,mahomp1,Patrick Mahomes,QB,KC,@DEN,21.5,25,23.2,24.4,35.7,291.0,2.0,0.4,4.6,27.3,0.3,0.0,0.0,0.0,14.0,1.8,0.0,0.2,0.0,0.0,A-Game
2020,7,allenj3,Josh Allen,QB,BUF,@NYJ,18.5,14,23.1,23.5,36.2,265.7,2.1,0.7,5.8,25.5,0.5,0.0,0.0,0.0,12.9,1.7,0.0,0.2,0.0,0.0,A-Game
2020,7,rodgea1,Aaron Rodgers,QB,GB,@HOU,18.4,13,21.4,24.3,36.1,295.5,2.2,0.3,3.0,12.8,0.1,0.0,0.0,0.0,14.1,0.8,0.0,0.2,0.0,0.0,A-Game
2020,7,watsod1,Deshaun Watson,QB,HOU,GB,17.9,11,21.1,24.4,36.8,292.9,1.9,0.9,4.1,23.7,0.3,0.0,0.0,0.0,14.0,1.5,0.0,0.3,0.0,0.0,A-Game
2020,7,ryanm1,Matt Ryan,QB,ATL,DET,17.3,10,20.7,26.2,38.8,314.1,2.2,0.7,1.1,4.5,0.1,0.0,0.0,0.0,15.0,0.3,0.0,0.2,0.0,0.0,A-Game
2020,7,staffm1,Matthew Stafford,QB,DET,@ATL,28.8,32,20.3,23.7,36.2,307.0,2.0,0.6,2.7,10.3,0.1,0.0,0.0,0.0,14.4,0.7,0.0,0.3,0.0,0.0,A-Game
2020,7,herbej1,Justin Herbert,QB,LAC,JAX,20.1,20,20.2,23.2,35.2,275.8,2.0,0.6,3.0,13.5,0.2,0.0,0.0,0.0,13.2,0.9,0.0,0.2,0.0,0.0,A-Game
2020,7,roethb1,Ben Roethlisberger,QB,PIT,@TEN,21.9,27,19.5,23.6,34.4,276.5,2.2,0.3,1.4,4.3,0.1,0.0,0.0,0.0,13.3,0.3,0.0,0.2,0.0,0.0,A-Game
2020,7,newtoc1,Cam Newton,QB,NE,SF,19.6,19,19.2,19.5,30.4,213.8,1.3,0.9,9.1,39.4,0.6,0.0,0.0,0.0,10.5,2.6,0.0,0.3,0.0,0.0,A-Game
2020,7,bradyt1,Tom Brady,QB,TB,@LV,17.2,9,18.9,24.8,37.1,296.9,2.0,0.6,0.6,1.8,0.1,0.0,0.0,0.0,14.2,0.1,0.0,0.2,0.0,0.0,A-Game
2020,7,tanner1,Ryan Tannehill,QB,TEN,PIT,18.9,16,18.8,23.5,34.5,279.5,1.8,0.6,2.7,11.6,0.1,0.0,0.0,0.0,13.4,0.8,0.0,0.2,0.0,0.0,A-Game
2020,7,burroj1,Joe Burrow,QB,CIN,CLE,20.4,21,18.5,24.3,37.4,277.6,1.7,0.9,2.5,12.1,0.3,0.0,0.0,0.0,13.5,0.8,0.0,0.3,0.0,0.0,A-Game
2020,7,breesd1,Drew Brees,QB,NO,CAR,11.3,1,18.4,24.1,35.0,270.0,2.1,0.4,0.2,0.6,0.0,0.0,0.0,0.0,13.2,0.0,0.0,0.2,0.0,0.0,A-Game
2020,7,minshg1,Gardner Minshew,QB,JAX,@LAC,23.9,29,18.4,23.1,36.4,273.8,1.6,0.6,3.6,20.7,0.1,0.0,0.0,0.0,13.1,1.4,0.0,0.3,0.0,0.0,A-Game
2020,7,wentzc1,Carson Wentz,QB,PHI,NYG,16.4,8,17.9,22.0,35.4,229.0,1.6,0.8,5.8,29.3,0.3,0.0,0.0,0.0,11.4,1.9,0.0,0.2,0.0,0.0,A-Game
2020,7,bridgt1,Teddy Bridgewater,QB,CAR,@NO,23.9,30,17.7,22.7,34.6,263.7,1.7,0.6,5.0,17.1,0.1,0.0,0.0,0.0,12.7,1.1,0.0,0.3,0.0,0.0,A-Game
2020,7,daltoa1,Andy Dalton,QB,DAL,@WAS,21.0,24,17.7,26.2,39.4,287.8,1.8,0.8,2.3,6.7,0.1,0.0,0.0,0.0,14.1,0.4,0.0,0.2,0.0,0.0,A-Game
2020,7,goffj1,Jared Goff,QB,LAR,CHI,13.6,4,17.4,22.5,33.5,259.8,1.9,0.8,2.4,7.0,0.1,0.0,0.0,0.0,12.6,0.5,0.0,0.2,0.0,0.0,A-Game
2020,7,carrd2,Derek Carr,QB,LV,TB,12.6,3,17.1,24.2,35.3,276.4,1.8,0.7,1.6,4.1,0.0,0.0,0.0,0.0,13.4,0.3,0.0,0.3,0.0,0.0,A-Game
2020,7,jonesd4,Daniel Jones,QB,NYG,@PHI,22.0,28,16.4,20.2,33.5,225.4,1.5,1.0,3.8,28.8,0.2,0.0,0.0,0.0,11.0,1.9,0.0,0.3,0.0,0.0,B-Game
2020,7,allenk2,Kyle Allen,QB,WAS,DAL,21.0,23,16.2,22.2,35.5,263.6,1.6,0.9,1.8,6.9,0.1,0.0,0.0,0.0,12.6,0.4,0.0,0.2,0.0,0.0,B-Game
2020,7,garopj1,Jimmy Garoppolo,QB,SF,@NE,12.0,2,16.2,22.1,34.0,285.1,1.7,0.9,1.4,4.1,0.0,0.0,0.0,0.0,13.4,0.3,0.0,0.2,0.0,0.0,B-Game
2020,7,mayfib1,Baker Mayfield,QB,CLE,@CIN,18.8,15,15.7,21.8,32.9,229.8,1.9,1.0,1.0,4.4,0.1,0.0,0.0,0.0,11.4,0.3,0.0,0.2,0.0,0.0,B-Game
