"team","home_or_away","line","total","favorite","implied_total"
"CHI","home",-3,44,1,23.5
"MIA","home",-10,43,1,26.5
"HOU","home",3,50.5,0,23.75
"MIN","home",-10,51.5,1,30.75
"NYJ","home",0,48.5,0,24.25
"ATL","home",0,46,0,23
"TEN","home",-4,54,1,29
"SEA","home",-11,48,1,29.5
"ARI","home",0,48.5,0,24.25
"GNB","home",-8.5,50,1,29.25
"LAC","home",-2,46.5,1,24.25
"DET","away",3,44,0,20.5
"CIN","away",10,43,0,16.5
"IND","away",-3,50.5,1,26.75
"JAX","away",10,51.5,0,20.75
"LVR","away",0,48.5,1,24.25
"NOR","away",0,46,1,23
"CLE","away",4,54,0,25
"NYG","away",11,48,0,18.5
"LAR","away",0,48.5,1,24.25
"PHI","away",8.5,50,0,20.75
"NWE","away",2,46.5,0,22.25
