"","vs_cb_wr","vs_cb_pos","vs_cb_tar ","vs_cb_c ","vs_cb_ypr","vs_cb_fpt","vs_cb_shad","vs_cb_matchup"
"1","DeAndre Hopkins","Right Corner",6.3,42.9,"9.00","0.81","Y","minus"
"2","Larry Fitzgerald","Slot Corner",7.8,50,"10.50","1.03","N","minus"
"3","Christian Kirk","Left Corner",12.5,50,"10.75","1.79","Y","plus"
"4","Julio Jones","Right Corner",9.7,60,"16.00","2.16","N","plus"
"5","Russell Gage","Slot Corner",10.1,55.6,"10.80","1.16","N","minus"
"6","Calvin Ridley","Left Corner",12,58.3,"11.57","1.76","N","plus"
"7","Miles Boykin","Right Corner",7.7,0,"0.00","0.00","N","minus"
"8","Willie Snead","Slot Corner",12.6,61.5,"10.38","1.25","N","minus"
"9","Marquise Brown","Left Corner",11,61.5,"21.75","1.95","N","plus"
"10","John Brown","Right Corner",8.3,50,"7.00","0.85","N","minus"
"11","Cole Beasley","Slot Corner",12.9,58.3,"9.29","1.13","N","minus"
"12","Stefon Diggs","Left Corner",10.9,45.5,"11.20","1.51","N","neutral"
"13","DJ Moore","Right Corner",12.2,66.7,"9.50","1.30","Y","minus"
"14","Curtis Samuel","Slot Corner",10.3,45.5,"13.40","1.06","N","minus"
"15","Robby Anderson","Left Corner",8,33.3,"20.67","1.69","N","plus"
"16","Allen Robinson","Right Corner",13.4,44.4,"11.00","1.60","N","plus"
"17","Anthony Miller","Slot Corner",8.6,71.4,"15.20","1.80","N","plus"
"18","Darnell Mooney","Left Corner",3.6,100,"12.00","2.20","N","plus"
"19","AJ Green","Right Corner",9.5,60,"13.17","1.39","Y","minus"
"20","Tyler Boyd","Slot Corner",9.2,100,"11.14","2.97","N","plus"
"21","Tee Higgins","Left Corner",20.6,65,"12.31","2.05","Y","plus"
"22","KhaDarel Hodge","Right Corner",5.3,75,"9.33","1.45","N","neutral"
"23","Jarvis Landry","Slot Corner",10.8,77.8,"5.71","2.56","N","plus"
"24","Odell Beckham","Left Corner",15.7,65,"16.31","2.01","N","plus"
"25","Michael Gallup","Right Corner",NA,NA,"-","-","N","plus"
"26","CeeDee Lamb","Slot Corner",10.8,90,"8.00","2.22","N","plus"
"27","Amari Cooper","Left Corner",12.7,40,"9.50","1.58","N","plus"
"28","KJ Hamler","Right Corner",14.2,66.7,"11.50","1.43","N","neutral"
"29","Jerry Jeudy","Slot Corner",13.8,84.6,"9.73","1.67","N","plus"
"30","Tim Patrick","Left Corner",NA,NA,"-","-","N","plus"
"31","Kenny Golladay","Right Corner",8.9,81.8,"16.00","2.67","Y","plus"
"32","Danny Amendola","Slot Corner",6.7,57.1,"9.50","1.11","N","minus"
"33","Marvin Jones","Left Corner",15.1,50,"11.89","1.09","N","minus"
"34","Davante Adams","Right Corner",15.9,60.9,"16.14","2.11","N","plus"
"35","Allen Lazard","Slot Corner",6,33.3,"5.00","0.50","N","minus"
"36","Marquez ValdesScantling","Left Corner",NA,NA,"-","-","N","plus"
"37","Will Fuller","Right Corner",17.2,70.6,"15.83","2.18","N","plus"
"38","Randall Cobb","Slot Corner",9.7,83.3,"14.20","3.02","N","plus"
