"","vs_cb_wr","vs_cb_pos","vs_cb_tar ","vs_cb_c ","vs_cb_ypr","vs_cb_fpt","vs_cb_shad","vs_cb_matchup"
"1","DeAndre Hopkins","Right Corner",11.7,42.1,10.75,0.87,"N","minus"
"2","Larry Fitzgerald","Slot Corner",14.6,64,14.38,1.56,"N","plus"
"3","Christian Kirk","Left Corner",12.1,46.9,16.93,1.64,"N","plus"
"4","Julio Jones","Right Corner",15.3,57.1,16.29,1.79,"N","plus"
"5","Russell Gage","Slot Corner",9.9,57.1,9.19,1.1,"N","minus"
"6","Christian Blake","Left Corner",9.4,72.7,11.88,1.59,"N","plus"
"7","Devin Duvernay","Right Corner",15.1,41.2,18,1.51,"N","neutral"
"8","Willie Snead","Slot Corner",11.6,50,15.14,1.47,"N","neutral"
"9","Marquise Brown","Left Corner",12.1,57.1,8.67,1.07,"N","minus"
"10","John Brown","Right Corner",14.6,48.4,14.93,1.79,"N","plus"
"11","Cole Beasley","Slot Corner",23.3,57.1,16,1.49,"N","neutral"
"12","Stefon Diggs","Left Corner",13.4,78.6,12.73,2,"N","plus"
"13","DJ Moore","Right Corner",7.7,30,7,0.51,"N","minus"
"14","Curtis Samuel","Slot Corner",14.2,43.3,13.46,1.42,"N","minus"
"15","Robby Anderson","Left Corner",11.7,60.9,13.29,2.2,"N","plus"
"16","Allen Robinson","Right Corner",19.9,58.9,12.48,1.54,"Y","neutral"
"17","Anthony Miller","Slot Corner",6.5,72.7,8.5,1.35,"N","minus"
"18","Darnell Mooney","Left Corner",21.3,90,10.11,3.01,"N","plus"
"19","Michael Gallup","Right Corner",10.2,64.3,13.67,2.16,"N","plus"
"20","CeeDee Lamb","Slot Corner",9.2,50,7.17,1.36,"N","minus"
"21","Amari Cooper","Left Corner",12.5,51.4,13.78,1.57,"N","plus"
"22","Jerry Jeudy","Right Corner",19.7,67.7,17.62,2.06,"N","plus"
"23","KJ Hamler","Slot Corner",12.3,62.2,17.04,2.17,"N","plus"
"24","Tim Patrick","Left Corner",10.5,72,15.78,2.34,"N","plus"
"25","Marvin Hall","Right Corner",10,100,11.67,2.17,"N","plus"
"26","Danny Amendola","Slot Corner",16.4,68.4,15.35,2.52,"N","plus"
"27","Marvin Jones","Left Corner",18,77.8,10.57,1.6,"N","plus"
"28","Davante Adams","Right Corner",10.1,60,9.67,1.18,"N","minus"
"29","Allen Lazard","Slot Corner",11.9,58.3,6.43,0.96,"N","minus"
"30","Marquez ValdesScantling","Left Corner",19.9,57.9,12.77,1.79,"N","plus"
"31","Will Fuller","Right Corner",11.9,66.7,19.13,2.44,"N","plus"
"32","Randall Cobb","Slot Corner",10.1,66.7,16.81,2.29,"N","plus"
"33","Brandin Cooks","Left Corner",19.8,63.9,11.35,1.7,"N","plus"
"34","Michael Pittman","Right Corner",8,33.3,6.83,0.56,"N","minus"
"35","Zach Pascal","Slot Corner",17.6,100,8,1.8,"N","plus"
"36","TY Hilton","Left Corner",11.6,48.6,13.06,1.46,"N","minus"
"37","DJ Chark","Right Corner",18.1,69.2,16.56,3.22,"N","plus"
"38","Keelan Cole","Slot Corner",8.4,71.4,15,2.36,"N","plus"
"39","Laviska Shenault","Left Corner",18.3,57.5,13.17,1.48,"N","neutral"
"40","Demarcus Robinson","Right Corner",10.5,54.2,11,1.14,"Y","minus"
"41","Tyreek Hill","Slot Corner",7.8,61.5,10.38,1.25,"N","minus"
"42","Mecole Hardman","Left Corner",14.1,62.5,11.13,1.82,"Y","plus"
"43","Mike Williams","Right Corner",12.3,68.2,12.93,2.11,"N","plus"
"44","Keenan Allen","Slot Corner",11.5,64,12.13,1.66,"N","plus"
"45","Jalen Guyton","Left Corner",10.1,61.5,12,1.82,"N","plus"
"46","Nelson Agholor","Right Corner",12.1,69.4,11.8,1.85,"N","plus"
"47","Hunter Renfrow","Slot Corner",7.1,100,7.33,1.73,"N","plus"
"48","Henry Ruggs","Left Corner",14.9,46.3,13.05,1.21,"N","minus"
"49","Preston Williams","Right Corner",14.9,79.4,10.67,1.99,"N","plus"
"50","Isaiah Ford","Slot Corner",15,33.3,1,2.37,"N","plus"
"51","DeVante Parker","Left Corner",10,48.4,15.53,1.62,"Y","plus"
"52","Justin Jefferson","Right Corner",15.1,48.7,14.58,1.2,"N","minus"
"53","Chad Beebe","Slot Corner",6.1,50,20,1.5,"N","neutral"
"54","Adam Thielen","Left Corner",15.6,71.4,13.4,2.53,"N","plus"
"55","Damiere Byrd","Right Corner",11.5,57.7,13.93,1.84,"N","plus"
"56","Jakobi Meyers","Slot Corner",11.5,66.7,9.65,1.31,"N","minus"
"57","NKeal Harry","Left Corner",15.3,70,12.86,2.05,"N","plus"
"58","Michael Thomas","Right Corner",14.1,48.8,8.8,1.21,"Y","minus"
"59","TreQuan Smith","Slot Corner",7.9,84.2,14.5,2.69,"N","plus"
"60","Emmanuel Sanders","Left Corner",13.8,54.8,11.94,1.4,"N","minus"
"61","Darius Slayton","Right Corner",12.5,29.4,8,0.53,"N","minus"
"62","Austin Mack","Slot Corner",10,62.5,9.4,1.21,"N","minus"
"63","Sterling Shepard","Left Corner",13.8,60,15.28,1.52,"N","neutral"
"64","Breshad Perriman","Right Corner",15.2,59.3,11.13,1.47,"N","neutral"
"65","Jamison Crowder","Slot Corner",21.3,50,12.9,1.3,"N","minus"
"66","Denzel Mims","Left Corner",12.8,56,14.5,1.61,"N","plus"
"67","Chase Claypool","Right Corner",19.5,55.6,16.73,1.93,"N","plus"
"68","JuJu SmithSchuster","Slot Corner",11.5,66.7,8.75,1.75,"N","plus"
"69","Diontae Johnson","Left Corner",9.9,76.9,10.9,1.61,"N","plus"
"70","DK Metcalf","Right Corner",7.8,55,12.73,1.85,"Y","plus"
"71","Tyler Lockett","Slot Corner",14.7,72.2,11.15,1.53,"N","plus"
"72","David Moore","Left Corner",15.6,58.3,10.86,1.47,"N","neutral"
"73","Richie James","Right Corner",12.9,41.9,10.46,1.05,"Y","minus"
"74","Trent Taylor","Slot Corner",8.6,50,12,1.1,"N","minus"
"75","Kevin White","Left Corner",10.7,61.5,13.75,1.92,"N","plus"
"76","Mike Evans","Right Corner",13,64.5,15.7,2.24,"Y","plus"
"77","Chris Godwin","Slot Corner",11.2,70.4,9.79,1.61,"N","plus"
"78","Antonio Brown","Left Corner",10.7,52.4,14.55,1.57,"N","plus"
"79","AJ Brown","Right Corner",12.9,46.5,17.2,1.54,"N","neutral"
"80","Adam Humphries","Slot Corner",14.5,67.6,9.4,1.47,"N","neutral"
"81","Corey Davis","Left Corner",12.6,50,12.1,1.25,"N","minus"
"82","Terry McLaurin","Right Corner",13.3,55.6,12.1,1.56,"Y","minus"
"83","Isaiah Wright","Slot Corner",8.9,59.1,8.38,1.36,"N","minus"
"84","Cam Sims","Left Corner",14.8,77.8,13.14,2.47,"N","plus"
