"proj_week","proj_player","proj_pos","proj_tm","proj_opp","proj_afpa","proj_afpa_rk","proj_ffpts","proj_comp","proj_pass_att","proj_pass_yds","proj_pass_td","proj_int","proj_rush_att","proj_rush_yds","proj_rush_td","proj_rec","proj_rec_yds","proj_rec_td","proj_field","prev_wk_field","prev_wk_opp","prev_wk_g#","prev_wk_fantasy_fantpt","prev_wk_fantasy_ppr","prev_wk_fantasy_dkpt","prev_wk_fantasy_fdpt","def_tot_g","def_tot_pf","def_tot_yds","def_tot_yds_per_play","def_tot_to","def_tot_first_dn","def_penalties_pen","def_tot_sc_per","def_tot_to_per","def_tot_exp","def_third_d_per","def_fourth_d_per","def_red_zone_att","def_red_zone_td","def_red_zone_pct","def_rush_td","def_rush_yds_per_att","def_rush_yds_per_gm","def_rush_exp","def_pass_comp_per","def_pass_yds","def_pass_td","def_pass_td_per","def_pass_int","def_pass_defended","def_pass_int_per","def_pass_yds_per_att","def_pass_ayds_per_att","def_pass_yds_per_catch","def_pass_yds_per_gm","def_pass_qb_rating_allowed","def_pass_sacks","def_pass_net_yds_per_att","def_pass_adj_net_yds_per_att","def_pass_exp","def_adv_dadot","def_adv_air","def_adv_yac","def_adv_bltz","def_adv_bltz_per","def_adv_hrry","def_adv_hrry_per","def_adv_qbkd","def_adv_qbkd_per","def_adv_sk","def_adv_prss","def_adv_prss_per","def_adv_mtkl","def_num_dr","def_plays","def_sc_per","def_to_per","def_avg_drive_plays","def_avg_drive_yds","def_avg_drive_start","def_avg_drive_time","def_avg_drive_pts","pts_vs_g","pts_vs_fantasy_per_game_fdpt","prev_wk_rec_tgt","prev_wk_rec_rec","prev_wk_rec_yds","prev_wk_rec_yds_per_rec","prev_wk_rec_td","prev_wk_rec_ctch_per","prev_wk_rec_yds_per_tgt","ytd_rec_g","ytd_rec_target","ytd_rec_rec","ytd_rec_ctch_per","ytd_rec_yds","ytd_rec_yds_per_rec","ytd_rec_td","ytd_rec_1d","ytd_rec_yds_per_target","ytd_rec_rec_per_gm","ytd_rec_yds_per_gm","ytd_rec_fmb","receiving_twenty_tgt","receiving_twenty_rec","receiving_twenty_yds","receiving_twenty_td","receiving_twenty_per_tgt","receiving_ten_tgt","receiving_ten_rec","receiving_ten_yds","receiving_ten_td","receiving_ten_per_tgt","pts_vs_rec_tgt","pts_vs_rec_rec","pts_vs_rec_yds","pts_vs_rec_td","prev_wk_rush_att","prev_wk_rush_yds","prev_wk_rush_yds_per_att","prev_wk_rush_td","pts_vs_rush_att","pts_vs_rush_yds","pts_vs_rush_td","prev_wk_pass_comp","prev_wk_pass_att","prev_wk_pass_comp_per","prev_wk_pass_yds","prev_wk_pass_td","prev_wk_pass_int","prev_wk_pass_rate","prev_wk_pass_sk","prev_wk_pass_yds.1","prev_wk_pass_yds_per_att","prev_wk_pass_ayds_per_att","ytd_pass_g","ytd_pass_comp_per","ytd_pass_td","ytd_pass_td_per","ytd_pass_int","ytd_pass_int_per","ytd_pass_1d","ytd_pass_yds_per_att","ytd_pass_avg_yds_per_att","ytd_pass_yds_per_completion","ytd_pass_yds_per_gm","ytd_pass_rate","ytd_pass_qbr","ytd_pass_net_yds_per_att","ytd_pass_avg_net_yds_per_att","passing_twenty_comp","passing_twenty_att","passing_twenty_comp_per","passing_twenty_yds","passing_twenty_td","passing_twenty_int","passing_ten_comp","passing_ten_att","passing_ten_comp_per","passing_ten_yds","passing_ten_td","passing_ten_int","pts_vs_passing_cmp","pts_vs_passing_att","pts_vs_passing_yds","pts_vs_passing_td","pts_vs_passing_int","pts_vs_2pp","pts_vs_sk","ytd_rush_g","ytd_rush_att","ytd_rush_yds","ytd_rush_td","ytd_rush_1d","ytd_rush_yds_per_att","ytd_rush_yds_per_gm","ytd_rush_fmb","ytd_rec_tm","ytd_rec_pos","rushing_twenty_att","rushing_twenty_yds","rushing_twenty_td","rushing_twenty_per_rush","rushing_ten_att","rushing_ten_yds","rushing_ten_td","rushing_ten_per_rush","rushing_five_att","rushing_five_yds","rushing_five_td","rushing_five_per_rush","total_touches","high_value_touches","high_value_touches_per","vs_cb_pos","vs_cb_tar ","vs_cb_c ","vs_cb_ypr","vs_cb_fpt","vs_cb_shad","vs_cb_matchup","home_or_away","line","total","favorite","implied_total","def_total_dvoa_rk","def_total_dvoa","def_total_dave_rk","def_total_dave","def_dvoa_rk","def_dvoa","def_dave_rk","def_dave","def_pass_dvoa_rk","def_pass_dvoa","def_rush_dvoa_rk","def_rush_dvoa","def_non_adj_voa","def_non_adj_pass_voa","def_non_adj_rush_voa","def_var_rk","def_var","def_sched_rk","def_sched","def_dline_adjusted_line_yards","def_dline_running_back_yards","def_dline_power_success_rate_rk","def_dline_power_success_rate","def_dline_open_field_yards_rk","def_dline_open_field_yards","def_dline_second_level_yards_rk","def_dline_second_level_yards","def_dline_stuffed_rate_rk","def_dline_stuffed_rate","def_dline_adjusted_sack_rate_rk","def_dline_sacks","off_total_dvoa_rk","off_total_dvoa","off_total_dave_rk","off_total_dave","off_dvoa_rk","off_dvoa","off_dave_rk","off_dave","off_pass_dvoa_rk","off_pass_dvoa","off_rush_dvoa_rk","off_rush_dvoa","off_non_adj_voa","off_non_adj_pass_voa","off_non_adj_rush_voa","off_var_rk","off_var","off_sched_rk","off_sched","off_oline_adjusted_line_yards","off_oline_running_back_yards","off_oline_power_success_rate_rk","off_oline_power_success_rate","off_oline_open_field_yards_rk","off_oline_open_field_yards","off_oline_second_level_yards_rk","off_oline_second_level_yards","off_oline_stuffed_rate_rk","off_oline_stuffed_rate","off_oline_adjusted_sack_rate_rk","off_oline_sacks"
11,"Aaron Jones","RB","GNB","IND",14.5,5,14.9,0,0,0,0,0,14.7,61.7,0.6,3.7,25.3,0.2,2,1,"JAX",9,9.5,14.5,14.5,12,9,177,2614,4.8,13,168,47,31.5,14.1,-4.42,40.5,57.1,"25",16,64,7,3.5,91.8,14.22,62.2,1788,11,3.8,11,49,3.8,6.8,5.8,10.9,198.7,78.9,21,5.8,4.9,-18.11,8.2,1142,866,63,"19.4%",36,"11.1%",21,"7.3%",21,78,"24.0%",35,92,555,31.5,14.1,6,28.4,-24.4,289,1.73,"9","17.1",6,5,49,9.8,0,83.3,8.17,7,5.57,4,71.8,33,8.3,0.29,11,5.9,4,33,2,9,4,13,2,20.9,5,3,14,2,18.5,"48","40","255","3",13,46,3.54,0,"188","643","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,14.71,70.43,0.71,22,4.8,70.4,2,"GNB","RB",18,47,4,47.4,12,19,3,48,7,6,2,53.8,20.28,7.28,0.36,NA,NA,NA,NA,NA,NA,NA,"away",1.5,51,0,24.75,5,23.1,5,18.1,4,-18.8,5,-12.5,4,-10.1,4,-29.9,-20.6,-13.4,-29.7,25,6.9,25,-4,-0.53,3.46,10,63,3,0.29,6,1.04,10,20.1,15,21,7,16,9,9.5,2,21.1,3,14.9,3,44.2,13,-7.3,20,43.6,-9,29,11.8,12,-1.3,0.26,4.52,30,55,12,0.78,15,1.22,12,16.8,3,11
11,"Aaron Rodgers","QB","GNB","IND",15.3,3,18.1,23.1,35.2,266.4,1.7,0.3,2.8,10.3,0.1,0,0,0,2,1,"JAX",9,25.4,25.4,29.4,26.4,9,177,2614,4.8,13,168,47,31.5,14.1,-4.42,40.5,57.1,"25",16,64,7,3.5,91.8,14.22,62.2,1788,11,3.8,11,49,3.8,6.8,5.8,10.9,198.7,78.9,21,5.8,4.9,-18.11,8.2,1142,866,63,"19.4%",36,"11.1%",21,"7.3%",21,78,"24.0%",35,92,555,31.5,14.1,6,28.4,-24.4,289,1.73,"9","14.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,1.33,1,"33","134","2",24,34,70.59,325,2,1,108.1,1,10,9.56,9.41,9,67.8,2.89,8.3,0.33,1,126,8.2,9.4,12.1,286.4,116.4,84.7,7.65,8.84,31,47,65.96,152,19,0,23,28,82.14,78,16,0,"177","285","1916","11","11","","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"away",1.5,51,0,24.75,5,23.1,5,18.1,4,-18.8,5,-12.5,4,-10.1,4,-29.9,-20.6,-13.4,-29.7,25,6.9,25,-4,-0.53,3.46,10,63,3,0.29,6,1.04,10,20.1,15,21,7,16,9,9.5,2,21.1,3,14.9,3,44.2,13,-7.3,20,43.6,-9,29,11.8,12,-1.3,0.26,4.52,30,55,12,0.78,15,1.22,12,16.8,3,11
11,"Adam Shaheen","TE","MIA","DEN",5.4,6,1.9,0,0,0,0,0,0,0,0,0.7,7.5,0.1,2,NA,NA,NA,NA,NA,NA,NA,9,254,3240,5.3,9,183,56,42.6,8.3,-37.69,38.1,44.4,"34",17,50,10,4.4,128.8,8,66.5,2081,14,4.3,6,36,1.9,6.9,6.9,10.4,231.2,93,22,6,6.1,-51.49,7.9,1307,1011,104,"29.0%",45,"12.5%",26,"8.1%",22,93,"25.9%",53,108,632,42.6,8.3,5.9,29.8,-33.8,277,2.17,"9","8.6",NA,NA,NA,NA,NA,NA,NA,9,1.11,0.67,60,8.56,12.8,0.22,4,7.7,0.7,8.6,0,4,2,7,2,11.1,4,2,7,2,15.4,"60","47","455","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"away",-3.5,45,1,24.25,31,-29.6,31,-22.5,11,-3.4,11,-2.9,12,0.5,17,-8.7,-0.8,6.4,-10.8,14,3.7,6,5.1,0,4.25,21,70,21,0.79,5,1.02,21,15.1,9,22,10,12.1,13,3.5,19,-0.2,23,-4.9,14,22.9,27,-22,2.1,28.1,-23.2,19,6.9,30,4.5,-0.44,3.48,23,59,31,0.32,31,0.98,31,21.1,13,14
11,"Adam Thielen","WR","MIN","DAL",29.4,30,13.6,0,0,0,0,0,0.5,2,0,4.8,60.5,0.8,1,2,"CHI",9,16.3,20.3,20.3,18.3,9,290,3434,5.8,7,202,49,46.6,6.8,-98.67,48.3,45.5,"33",22,66.7,11,5,157,-32.56,61.9,2021,21,7.1,3,25,1,7.2,8.1,11.6,224.6,103.1,17,6.5,7.4,-72.32,8.6,1137,938,83,"25.4%",32,"9.8%",22,"7.5%",17,71,"21.7%",64,103,614,46.6,6.8,6,33.3,-32.4,286,2.64,"9","37.0",7,4,43,10.75,2,57.1,6.14,9,7.22,4.56,63.1,58.11,12.8,1,29,8,4.6,58.1,0,11,10,95,8,47.8,6,5,26,5,50,"179","115","1576","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Left Corner",13,65.2,"10.87","1.62","N","plus","home",-7,48,1,27.5,28,-21,29,-18.5,20,6.4,23,5.1,18,10.9,28,0.9,5.4,7,3.4,17,4.1,21,-1.8,0.59,4.81,18,67,22,0.81,25,1.35,30,12.2,20,17,13,4.3,14,2.4,10,8.1,10,6,18,17.7,3,4.9,8.1,17.2,5.4,28,11.5,20,1.2,0.74,5.19,22,60,4,1.09,2,1.48,2,13.8,23,17
11,"Adam Trautman","TE","NOR","ATL",13.6,32,1.5,0,0,0,0,0,0,0,0,0.7,8.7,0.1,1,NA,NA,NA,NA,NA,NA,NA,9,251,3690,6.5,10,206,49,44.4,10.1,-96.97,38.7,33.3,"29",22,75.9,8,4.3,99.7,23.07,67.8,2793,22,6.3,7,33,2,8.3,8.6,12.2,310.3,105.6,14,7.7,8,-126.64,9,1694,1275,114,"29.8%",41,"10.7%",40,"11.4%",14,95,"24.9%",58,99,588,44.4,10.1,5.9,37.3,-27.6,274,2.55,"9","15.0",NA,NA,NA,NA,NA,NA,NA,8,0.88,0.75,85.7,9.12,12.2,0.12,4,10.4,0.8,9.1,0,1,1,7,1,2,1,1,7,1,5.9,"66","55","597","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"home",-3.5,50,1,26.75,20,-8.6,20,-2.9,22,7,22,4,28,22.8,7,-21.4,5.9,21,-21.3,16,4,16,0.2,-0.56,3.6,1,47,6,0.33,22,1.29,4,23.9,29,14,1,36.1,1,30.1,6,13.5,5,12.7,8,27.6,6,-0.9,11,24.5,-2.5,10,3.1,4,-3.7,0.25,4.28,9,72,14,0.71,16,1.19,5,15.6,4,13
11,"Adrian Peterson","RB","DET","CAR",22.7,28,6.6,0,0,0,0,0,7.2,32,0.3,1.6,10.3,0,2,NA,NA,NA,NA,NA,NA,NA,10,272,3800,5.9,13,241,57,54.7,13.7,-122.49,55.3,100,"41",24,58.5,14,4.8,124.5,-17.68,69.1,2555,16,4.3,5,37,1.3,7.1,7.3,10.2,255.5,97.8,11,6.7,6.9,-109.36,7.5,1625,1280,79,"20.0%",38,"9.6%",27,"7.3%",11,76,"19.2%",85,95,667,54.7,13.7,7,39.7,-31.7,367,2.91,"10","25.4",NA,NA,NA,NA,NA,NA,NA,9,1.67,1.22,73.3,8.67,7.1,0,3,5.2,1.2,8.7,0,1,0,0,0,2.1,1,0,0,0,4.3,"80","66","445","2",NA,NA,NA,NA,"223","1088","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10.78,41.22,0.22,20,3.8,41.2,0,"DET","RB",19,43,2,50,7,11,2,36.8,3,-3,1,33.3,12.45,2.45,0.2,NA,NA,NA,NA,NA,NA,NA,"away",-2,47,1,24.5,17,2,19,-1.3,27,9.8,30,9.9,24,17.2,25,-0.2,11.5,22,-2.6,1,0.9,4,5.8,0.42,4.88,25,73,30,1.19,23,1.31,18,17.5,25,11,19,-3,18,-1.1,14,5.8,12,4.2,16,20.2,16,-8.7,0.1,14.1,-13.9,5,2.3,3,-5.8,-0.23,4.15,8,74,13,0.75,18,1.16,27,20,22,22
11,"AJ Brown","WR","TEN","BAL",18.8,3,13.2,0,0,0,0,0,0,0,0,5.3,74.1,0.5,2,1,"IND",9,2.1,3.1,3.1,2.6,9,165,2907,5.1,14,186,38,27,14,6.14,33.6,40,"21",16,76.2,7,4.5,109.7,15.6,64.1,1920,12,3.7,4,32,1.2,6.5,6.7,10.1,213.3,89.6,25,5.5,5.6,-21.2,8,1151,1016,160,"44.0%",35,"9.6%",31,"9.5%",25,91,"25.0%",66,100,581,27,14,5.8,29.1,-25.5,274,1.61,"9","24.9",4,1,21,21,0,25,5.25,7,7.43,4.57,61.5,68.29,14.9,0.86,24,9.2,4.6,68.3,0,7,5,54,4,18.9,5,3,22,3,26.3,"174","113","1287","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Right Corner",7.7,33.3,"7.14","0.57","N","minus","away",5.5,49.5,0,22,6,17.2,6,14.6,6,-12.7,6,-8.4,10,-1.4,3,-30,-14.9,-4.9,-30.2,32,10.5,24,-3.6,-0.27,4.4,2,48,25,0.91,12,1.14,19,17,8,25,16,2.2,12,3.7,3,20.8,2,15.8,2,49.6,5,-0.1,18.4,45.3,-0.5,9,2.9,5,-3.2,0.54,4.84,7,74,6,0.97,5,1.36,10,16.7,6,13
11,"AJ Green","WR","CIN","WAS",18.8,4,6.7,0,0,0,0,0,0,0,0,3.3,34,0.3,2,NA,NA,NA,NA,NA,NA,NA,9,218,2886,5.2,9,169,53,39.6,8.9,-28.05,40.3,50,"25",14,56,9,4.3,126,-0.35,65.2,1752,14,5.3,8,21,3,7.4,7.1,11.3,194.7,92.1,28,6,5.7,-25.97,9.4,1135,877,87,"28.7%",30,"9.9%",14,"5.3%",28,72,"23.8%",80,101,571,39.6,8.9,5.7,28.5,-30.1,283,2.1,"9","22.2",NA,NA,NA,NA,NA,NA,NA,9,7.56,3.44,45.6,35.11,10.2,0,21,4.6,3.4,35.1,0,3,0,0,0,6.1,2,0,0,0,8.7,"143","92","1213","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Right Corner",12.4,46.2,"13.75","1.56","N","neutral","away",1.5,47,0,22.75,24,-13.9,27,-15,7,-10.4,8,-5.6,5,-8.8,14,-12.2,-8.2,-9.9,-6.3,30,8.6,26,-4.4,-0.24,4.14,27,75,15,0.61,17,1.21,13,19.6,2,28,30,-26,30,-22,26,-15.6,27,-12,24,-1.3,24,-18.4,-16.5,-0.2,-22.2,23,8,9,-1.8,-0.49,3.7,24,59,28,0.4,25,1.09,21,18.3,27,32
11,"Alec Ingold","RB","LVR","KAN",21.1,23,2.2,0,0,0,0,0,0.4,1.2,0,1,11,0.1,1,NA,NA,NA,NA,NA,NA,NA,9,183,3187,5.4,14,195,53,35.1,14.9,-28.09,39.3,68.8,"24",18,75,9,4.8,138.4,-38.79,62.3,1941,11,3.6,9,33,2.9,6.6,6,10.7,215.7,81.4,19,5.9,5.4,0.54,8.2,945,1102,130,"37.2%",40,"11.5%",33,"10.7%",19,92,"26.4%",77,94,607,35.1,14.9,6.5,33.8,-25.6,298,1.9,"9","22.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","52","439","1",NA,NA,NA,NA,"213","977","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,23.7,3,23.8,14,-0.6,15,-0.8,7,-5.1,30,4.5,-2.4,-7.2,3.2,15,3.8,23,-3.1,0.36,4.52,30,79,17,0.62,20,1.24,31,11.3,19,19,14,2.5,17,0.8,9,8.6,13,4.1,7,28.6,12,-7,6.3,22.5,-5.2,12,3.5,15,-0.5,0.25,4.41,20,61,18,0.63,6,1.35,7,16,9,14
11,"Alex Smith","QB","WAS","CIN",21.9,29,16.3,22.6,35.7,270.3,1.7,0.8,1.7,5.8,0,0,0,0,1,2,"DET",9,16,16,19,16,9,250,3584,6.2,9,206,59,44.6,8.9,-103.64,46.9,42.9,"34",25,73.5,7,5,133.1,-15.96,62.6,2386,21,6.4,8,42,2.5,7.5,7.7,11.9,265.1,96.6,11,7.1,7.3,-92.52,9,1444,997,107,"30.6%",28,"8.0%",23,"7.1%",11,62,"17.7%",64,101,598,44.6,8.9,5.9,35.5,-28.8,271,2.45,"9","21.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,0,"30","114","1",38,55,69.09,390,0,0,89.2,2,15,7.09,7.09,3,68.3,0.33,1,1,2.9,36,7.2,6.1,10.6,250.7,80.3,48.2,6,4.99,4,6,66.67,37,0,1,1,1,100,8,0,0,"203","325","2417","21","8","","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"home",-1.5,47,1,24.25,30,-26,30,-22,30,11.4,31,10.7,29,23,21,-5,11.6,22.2,-3.3,20,4.9,18,0,0.61,5.21,4,52,29,1.03,31,1.58,24,13.5,30,11,24,-13.9,27,-15,30,-21.7,30,-19.2,31,-22.7,20,-13.4,-18.6,-19.3,-10.6,17,5.7,23,1.7,-0.17,3.75,11,69,29,0.33,24,1.11,4,15.6,26,30
