"proj_week","proj_player","proj_pos","proj_tm","proj_opp","proj_afpa","proj_afpa_rk","proj_ffpts","proj_comp","proj_pass_att","proj_pass_yds","proj_pass_td","proj_int","proj_rush_att","proj_rush_yds","proj_rush_td","proj_rec","proj_rec_yds","proj_rec_td","proj_field","prev_wk_field","prev_wk_opp","prev_wk_g#","prev_wk_fantasy_fantpt","prev_wk_fantasy_ppr","prev_wk_fantasy_dkpt","prev_wk_fantasy_fdpt","def_tot_g","def_tot_pf","def_tot_yds","def_tot_yds_per_play","def_tot_to","def_tot_first_dn","def_penalties_pen","def_tot_sc_per","def_tot_to_per","def_tot_exp","def_third_d_per","def_fourth_d_per","def_red_zone_att","def_red_zone_td","def_red_zone_pct","def_rush_td","def_rush_yds_per_att","def_rush_yds_per_gm","def_rush_exp","def_pass_comp_per","def_pass_yds","def_pass_td","def_pass_td_per","def_pass_int","def_pass_defended","def_pass_int_per","def_pass_yds_per_att","def_pass_ayds_per_att","def_pass_yds_per_catch","def_pass_yds_per_gm","def_pass_qb_rating_allowed","def_pass_sacks","def_pass_net_yds_per_att","def_pass_adj_net_yds_per_att","def_pass_exp","def_adv_dadot","def_adv_air","def_adv_yac","def_adv_bltz","def_adv_bltz_per","def_adv_hrry","def_adv_hrry_per","def_adv_qbkd","def_adv_qbkd_per","def_adv_sk","def_adv_prss","def_adv_prss_per","def_adv_mtkl","def_num_dr","def_plays","def_sc_per","def_to_per","def_avg_drive_plays","def_avg_drive_yds","def_avg_drive_start","def_avg_drive_time","def_avg_drive_pts","pts_vs_g","pts_vs_fantasy_per_game_fdpt","prev_wk_rec_tgt","prev_wk_rec_rec","prev_wk_rec_yds","prev_wk_rec_yds_per_rec","prev_wk_rec_td","prev_wk_rec_ctch_per","prev_wk_rec_yds_per_tgt","ytd_rec_g","ytd_rec_target","ytd_rec_rec","ytd_rec_ctch_per","ytd_rec_yds","ytd_rec_yds_per_rec","ytd_rec_td","ytd_rec_1d","ytd_rec_yds_per_target","ytd_rec_rec_per_gm","ytd_rec_yds_per_gm","ytd_rec_fmb","receiving_twenty_tgt","receiving_twenty_rec","receiving_twenty_yds","receiving_twenty_td","receiving_twenty_per_tgt","receiving_ten_tgt","receiving_ten_rec","receiving_ten_yds","receiving_ten_td","receiving_ten_per_tgt","pts_vs_rec_tgt","pts_vs_rec_rec","pts_vs_rec_yds","pts_vs_rec_td","prev_wk_rush_att","prev_wk_rush_yds","prev_wk_rush_yds_per_att","prev_wk_rush_td","pts_vs_rush_att","pts_vs_rush_yds","pts_vs_rush_td","prev_wk_pass_comp","prev_wk_pass_att","prev_wk_pass_comp_per","prev_wk_pass_yds","prev_wk_pass_td","prev_wk_pass_int","prev_wk_pass_rate","prev_wk_pass_sk","prev_wk_pass_yds.1","prev_wk_pass_yds_per_att","prev_wk_pass_ayds_per_att","ytd_pass_g","ytd_pass_comp_per","ytd_pass_td","ytd_pass_td_per","ytd_pass_int","ytd_pass_int_per","ytd_pass_1d","ytd_pass_yds_per_att","ytd_pass_avg_yds_per_att","ytd_pass_yds_per_completion","ytd_pass_yds_per_gm","ytd_pass_rate","ytd_pass_qbr","ytd_pass_net_yds_per_att","ytd_pass_avg_net_yds_per_att","passing_twenty_comp","passing_twenty_att","passing_twenty_comp_per","passing_twenty_yds","passing_twenty_td","passing_twenty_int","passing_ten_comp","passing_ten_att","passing_ten_comp_per","passing_ten_yds","passing_ten_td","passing_ten_int","pts_vs_passing_cmp","pts_vs_passing_att","pts_vs_passing_yds","pts_vs_passing_td","pts_vs_passing_int","pts_vs_2pp","pts_vs_sk","ytd_rush_g","ytd_rush_att","ytd_rush_yds","ytd_rush_td","ytd_rush_1d","ytd_rush_yds_per_att","ytd_rush_yds_per_gm","ytd_rush_fmb","ytd_rec_tm","ytd_rec_pos","rushing_twenty_att","rushing_twenty_yds","rushing_twenty_td","rushing_twenty_per_rush","rushing_ten_att","rushing_ten_yds","rushing_ten_td","rushing_ten_per_rush","rushing_five_att","rushing_five_yds","rushing_five_td","rushing_five_per_rush","total_touches","high_value_touches","high_value_touches_per","vs_cb_pos","vs_cb_tar ","vs_cb_c ","vs_cb_ypr","vs_cb_fpt","vs_cb_shad","vs_cb_matchup","home_or_away","line","total","favorite","implied_total","def_total_dvoa_rk","def_total_dvoa","def_total_dave_rk","def_total_dave","def_dvoa_rk","def_dvoa","def_dave_rk","def_dave","def_pass_dvoa_rk","def_pass_dvoa","def_rush_dvoa_rk","def_rush_dvoa","def_non_adj_voa","def_non_adj_pass_voa","def_non_adj_rush_voa","def_var_rk","def_var","def_sched_rk","def_sched","def_dline_adjusted_line_yards","def_dline_running_back_yards","def_dline_power_success_rate_rk","def_dline_power_success_rate","def_dline_open_field_yards_rk","def_dline_open_field_yards","def_dline_second_level_yards_rk","def_dline_second_level_yards","def_dline_stuffed_rate_rk","def_dline_stuffed_rate","def_dline_adjusted_sack_rate_rk","def_dline_adjusted_sack_rate","def_dline_sacks","off_total_dvoa_rk","off_total_dvoa","off_total_dave_rk","off_total_dave","off_dvoa_rk","off_dvoa","off_dave_rk","off_dave","off_pass_dvoa_rk","off_pass_dvoa","off_rush_dvoa_rk","off_rush_dvoa","off_non_adj_voa","off_non_adj_pass_voa","off_non_adj_rush_voa","off_var_rk","off_var","off_sched_rk","off_sched","off_oline_adjusted_line_yards","off_oline_running_back_yards","off_oline_power_success_rate_rk","off_oline_power_success_rate","off_oline_open_field_yards_rk","off_oline_open_field_yards","off_oline_second_level_yards_rk","off_oline_second_level_yards","off_oline_stuffed_rate_rk","off_oline_stuffed_rate","off_oline_adjusted_sack_rate_rk","off_oline_adjusted_sack_rate","off_oline_sacks","prev_wk_dvoa_def_total_dvoa_rk","prev_wk_dvoa_def_total_dvoa","prev_wk_dvoa_def_total_dave_rk","prev_wk_dvoa_def_total_dave","prev_wk_dvoa_def_dvoa_rk","prev_wk_dvoa_def_dvoa","prev_wk_dvoa_def_dave_rk","prev_wk_dvoa_def_dave","prev_wk_dvoa_def_pass_dvoa_rk","prev_wk_dvoa_def_pass_dvoa","prev_wk_dvoa_def_rush_dvoa_rk","prev_wk_dvoa_def_rush_dvoa","prev_wk_dvoa_def_non_adj_voa","prev_wk_dvoa_def_non_adj_pass_voa","prev_wk_dvoa_def_non_adj_rush_voa","prev_wk_dvoa_def_var_rk","prev_wk_dvoa_def_var","prev_wk_dvoa_def_sched_rk","prev_wk_dvoa_def_sched","prev_wk_dvoa_def_dline_adjusted_line_yards","prev_wk_dvoa_def_dline_running_back_yards","prev_wk_dvoa_def_dline_power_success_rate_rk","prev_wk_dvoa_def_dline_power_success_rate","prev_wk_dvoa_def_dline_open_field_yards_rk","prev_wk_dvoa_def_dline_open_field_yards","prev_wk_dvoa_def_dline_second_level_yards_rk","prev_wk_dvoa_def_dline_second_level_yards","prev_wk_dvoa_def_dline_stuffed_rate_rk","prev_wk_dvoa_def_dline_stuffed_rate","prev_wk_dvoa_def_dline_adjusted_sack_rate_rk","prev_wk_dvoa_def_dline_adjusted_sack_rate","prev_wk_dvoa_def_dline_sacks"
13,"Aaron Jones","RB","GNB","PHI",16.3,11,14.3,0,0,0,0,0,15.4,68.8,0.5,3.2,23,0.2,1,1,"CHI",11,9,10,10,9.5,11,277,3728,5,11,236,80,36.5,7.3,-27.46,36.9,35.7,"36",23,63.9,16,4.1,128.2,10.49,66.6,2318,14,3.9,3,29,0.8,7.1,7.5,10.7,210.7,96.8,36,5.9,6.2,-38.89,7.8,1500,1176,94,"23.0%",33,"8.1%",34,"9.5%",36,103,"25.2%",74,137,763,36.5,7.3,5.6,27.1,-32.1,274,1.97,"11","18.7",2,1,0,0,0,50,0,9,5,3.67,73.3,29,7.9,0.22,12,5.8,3.7,29,2,9,4,13,2,17,5,3,14,2,15.6,"49","39","321","0",17,90,5.29,0,"264","901","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,14.44,69.33,0.67,32,4.8,69.3,2,"GNB","RB",23,64,5,46,14,28,4,51.9,8,8,3,57.1,19.44,6.56,0.34,NA,NA,NA,NA,NA,NA,NA,"home",-8.5,50,1,29.25,27,-18.5,25,-13.3,13,-1.9,12,-3.7,20,13.1,11,-18.4,-6.1,4.8,-17.9,18,5.1,27,-4.6,-0.78,3.35,1,51,12,0.57,4,0.96,1,27.6,4,8.7,36,5,18.4,6,14.8,2,27.1,2,23,3,51.3,7,-2.5,23.2,48.1,-7.1,30,12.1,5,-3.7,0.31,4.5,22,63,14,0.74,11,1.24,7,15.2,4,4,12,19,-4.5,18,-3.4,4,-12.6,5,-12.2,8,-3.8,5,-23.8,-6.9,3.2,-19.8,13,3.9,1,7.4,-0.15,4.14,11,64,18,0.69,22,1.23,14,18.6,13,6.4,21
13,"Aaron Rodgers","QB","GNB","PHI",19,21,21.8,23,34.7,288.1,2.4,0.2,3,12.1,0.1,0,0,0,1,1,"CHI",11,25.64,25.6,25.6,25.6,11,277,3728,5,11,236,80,36.5,7.3,-27.46,36.9,35.7,"36",23,63.9,16,4.1,128.2,10.49,66.6,2318,14,3.9,3,29,0.8,7.1,7.5,10.7,210.7,96.8,36,5.9,6.2,-38.89,7.8,1500,1176,94,"23.0%",33,"8.1%",34,"9.5%",36,103,"25.2%",74,137,763,36.5,7.3,5.6,27.1,-32.1,274,1.97,"11","17.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,12,6,0,"56","334","2",21,29,72.41,211,4,0,132.3,0,0,7.28,10.03,11,68.5,3,8.7,0.36,1,152,8.1,9.4,11.9,281.8,117.6,85.1,7.63,8.86,39,58,67.24,210,24,0,27,33,81.82,94,20,0,"239","359","2565","14","3","","36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"home",-8.5,50,1,29.25,27,-18.5,25,-13.3,13,-1.9,12,-3.7,20,13.1,11,-18.4,-6.1,4.8,-17.9,18,5.1,27,-4.6,-0.78,3.35,1,51,12,0.57,4,0.96,1,27.6,4,8.7,36,5,18.4,6,14.8,2,27.1,2,23,3,51.3,7,-2.5,23.2,48.1,-7.1,30,12.1,5,-3.7,0.31,4.5,22,63,14,0.74,11,1.24,7,15.2,4,4,12,19,-4.5,18,-3.4,4,-12.6,5,-12.2,8,-3.8,5,-23.8,-6.9,3.2,-19.8,13,3.9,1,7.4,-0.15,4.14,11,64,18,0.69,22,1.23,14,18.6,13,6.4,21
13,"Adam Humphries","WR","TEN","CLE",24.6,19,7.5,0,0,0,0,0,0,0,0,4.3,44,0.2,1,NA,NA,NA,NA,NA,NA,NA,11,286,3904,5.4,17,252,60,42.9,15.2,-83.91,44.9,88.9,"44",26,59.1,10,4.1,108.2,-19.24,65.4,2714,22,5.4,9,53,2.2,7.1,7.2,10.8,246.7,94.8,27,6.2,6.3,-70.96,8.2,1649,1349,107,"23.6%",40,"8.8%",17,"4.1%",27,84,"18.5%",66,112,743,42.9,15.2,6.6,34.7,-30.2,296,2.43,"11","32.4",NA,NA,NA,NA,NA,NA,NA,6,5.17,3.67,71,36.5,10,0.33,11,7.1,3.7,36.5,0,4,3,33,1,9.3,0,0,0,0,0,"243","153","1870","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Slot Corner",12.4,82.4,"9.29","1.94","N","plus","home",-4,54,1,29,22,-9.7,22,-8.6,19,6.8,20,5.6,23,15.1,20,-4.7,-0.4,5.4,-8.3,22,6.2,31,-8.3,0.27,4.09,20,69,5,0.39,13,1.18,25,13.8,19,5.9,27,12,7.6,12,7.4,3,23.7,3,21.8,2,51.7,3,5.8,21,46.6,5.4,7,3.3,3,-4.3,0.68,4.95,4,77,4,0.98,3,1.42,6,15.1,6,4.9,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"Adam Shaheen","TE","MIA","CIN",10.6,31,1.6,0,0,0,0,0,0,0,0,0.7,6.9,0.1,1,2,"NYJ",11,6.7,7.7,7.7,7.2,11,289,4292,6,11,245,70,43.2,8.8,-100.48,44.9,60,"41",28,68.3,9,4.8,136.5,-18.57,62.5,2791,22,5.7,9,54,2.3,7.3,7.4,11.7,253.7,93.8,13,6.9,7,-88.35,8.7,1693,1158,130,"31.0%",32,"7.6%",29,"7.5%",13,74,"17.6%",73,125,746,43.2,8.8,6,34.3,-29.5,274,2.29,"11","12.6",2,1,7,7,1,50,3.5,11,1.09,0.64,58.3,7.64,12,0.27,5,7,0.6,7.6,0,5,3,14,3,11.6,5,3,14,3,17.9,"90","56","718","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"home",-10,43,1,26.5,31,-25.3,31,-22.8,29,9.9,30,9.9,26,20.5,21,-4,9.4,17.8,-1.6,15,4.1,23,-2.6,0.6,5.07,5,56,27,0.94,31,1.53,28,12.7,32,3.5,13,10,10.2,11,8,18,-1.3,21,-3.9,14,18.6,25,-21,0.2,24.3,-25,16,5.8,27,3.3,-0.32,3.55,24,62,32,0.32,31,0.97,30,19.6,23,7.3,24,32,-38.8,32,-35.8,27,9,26,8,32,30.9,8,-19.3,10.9,38,-24.1,2,2,18,-0.5,-0.76,4.18,15,67,31,1.05,7,1.07,6,21.4,25,5.3,18
13,"Adam Thielen","WR","MIN","JAX",25.8,24,13.9,0,0,0,0,0,0.3,1.3,0,5.4,67.6,0.7,1,NA,NA,NA,NA,NA,NA,NA,11,325,4572,6.4,11,262,56,49.2,9,-155.42,42.4,66.7,"41",25,61,14,4.5,136.2,-4.37,69.8,3074,23,6.1,8,42,2.1,8.3,8.6,11.9,279.5,106.3,11,7.9,8.2,-155.13,8.3,1613,1575,128,"31.2%",32,"7.8%",34,"9.0%",11,77,"18.8%",78,122,747,49.2,9,6.1,37.4,-30.3,294,2.69,"11","33.2",NA,NA,NA,NA,NA,NA,NA,10,7.6,4.9,64.5,64.6,13.2,1.1,35,8.5,4.9,64.6,0,14,13,108,10,41.2,9,8,39,7,45,"219","150","2042","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Left Corner",17.1,57.1,"12.00","2.11","N","plus","home",-10,51.5,1,30.75,29,-20.7,29,-19.7,32,15.3,31,12.6,31,27.3,26,0.2,17.4,36,-6.1,8,3.2,8,4.4,-0.08,4.42,10,63,28,0.94,21,1.23,9,19.9,30,4.1,11,15,3.5,15,1.8,9,7.3,8,6.2,9,22.9,6,-0.4,7.6,22,1.2,24,9.6,29,3.8,0.72,5,28,56,5,0.96,2,1.43,2,13.9,20,7,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"Adam Trautman","TE","NOR","ATL",10.3,30,1.4,0,0,0,0,0,0,0,0,0.6,8.6,0,2,NA,NA,NA,NA,NA,NA,NA,11,281,4309,6.2,16,243,65,41,13.1,-75.28,37.2,38.9,"35",25,71.4,11,4.3,100.3,28.53,68,3206,22,5.3,8,40,1.9,8.2,8.4,12,291.5,102.5,22,7.4,7.6,-110.4,8.6,1947,1524,139,"30.4%",52,"11.4%",44,"10.7%",22,118,"25.8%",66,122,712,41,13.1,5.8,35.3,-27.9,274,2.31,"11","13.0",NA,NA,NA,NA,NA,NA,NA,10,0.9,0.8,88.9,10,12.5,0.1,6,11.1,0.8,10,0,2,2,15,1,3.4,2,2,15,1,8.7,"75","61","645","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"away",0,46,1,23,20,-6.9,17,-3.1,15,0.3,15,-2.3,19,12.5,6,-21,-1,10.6,-21.1,31,10.1,11,1.4,-0.48,3.57,3,52,3,0.31,20,1.23,3,24.5,21,5.6,22,1,38.4,1,38.6,5,12.7,5,12.9,13,19.5,2,9.1,12,20.7,6.5,10,3.7,12,-1.5,0.4,4.39,3,78,15,0.7,13,1.23,8,15.6,13,6,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"Adrian Peterson","RB","DET","CHI",13.2,5,9.1,0,0,0,0,0,11.5,50.1,0.5,1,6.2,0,2,1,"HOU",11,17.5,17.5,17.5,17.5,11,250,3794,5.2,11,233,67,38.3,8.6,-39.59,34.8,73.3,"39",19,48.7,7,4.1,121.2,14.46,62,2461,16,4.2,6,48,1.6,6.8,7,11,223.7,89.8,21,6.2,6.3,-55.47,8.5,1546,1186,96,"22.9%",30,"7.2%",28,"7.4%",21,79,"18.9%",71,128,758,38.3,8.6,5.9,29.6,-30,281,1.87,"11","18.8",0,0,0,NA,0,0,NA,11,1.45,1,68.8,7.09,7.1,0,3,4.9,1,7.1,0,1,0,0,0,1.9,1,0,0,0,4.3,"66","47","323","0",15,55,3.67,2,"274","1135","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,10.82,40.36,0.36,25,3.7,40.4,0,"DET","RB",23,50,4,53.5,11,18,4,47.8,6,0,3,50,12.27,2.45,0.2,NA,NA,NA,NA,NA,NA,NA,"away",3,44,0,20.5,19,-4.5,18,-3.4,4,-12.6,5,-12.2,8,-3.8,5,-23.8,-6.9,3.2,-19.8,13,3.9,1,7.4,-0.15,4.14,11,64,18,0.69,22,1.23,14,18.6,13,6.4,21,24,-13.5,26,-13.7,20,-2.3,20,-3.4,20,11.1,23,-17,-5.5,8.6,-21.3,17,6.7,7,-2.6,-0.19,4.03,14,69,17,0.67,23,1.08,25,19.1,26,7.7,31,17,-3.1,19,-3.8,25,8.3,25,7.8,22,15,27,0.4,11.3,18.9,2.4,3,2.2,4,6,0.59,5.23,6,59,32,1.25,28,1.38,21,15.1,9,7.4,25
13,"AJ Brown","WR","TEN","CLE",24.6,19,16.6,0,0,0,0,0,0,0,0,5.4,85.1,0.9,1,2,"IND",11,21.8,25.8,25.8,23.8,11,286,3904,5.4,17,252,60,42.9,15.2,-83.91,44.9,88.9,"44",26,59.1,10,4.1,108.2,-19.24,65.4,2714,22,5.4,9,53,2.2,7.1,7.2,10.8,246.7,94.8,27,6.2,6.3,-70.96,8.2,1649,1349,107,"23.6%",40,"8.8%",17,"4.1%",27,84,"18.5%",66,112,743,42.9,15.2,6.6,34.7,-30.2,296,2.43,"11","32.4",6,4,98,24.5,1,66.7,16.33,9,7.22,4.44,61.5,70.89,16,0.89,30,9.8,4.4,70.9,0,9,6,68,5,20.9,6,3,22,3,26.1,"243","153","1870","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Right Corner",13,54.2,"13.56","1.38","N","minus","home",-4,54,1,29,22,-9.7,22,-8.6,19,6.8,20,5.6,23,15.1,20,-4.7,-0.4,5.4,-8.3,22,6.2,31,-8.3,0.27,4.09,20,69,5,0.39,13,1.18,25,13.8,19,5.9,27,12,7.6,12,7.4,3,23.7,3,21.8,2,51.7,3,5.8,21,46.6,5.4,7,3.3,3,-4.3,0.68,4.95,4,77,4,0.98,3,1.42,6,15.1,6,4.9,16,7,15.6,7,14.3,8,-11.4,7,-9.4,6,-5,9,-19.2,-10.3,-4.5,-17.3,21,6.1,16,0.4,-0.21,3.84,23,71,4,0.38,12,1.17,17,16.9,16,6.2,23
13,"AJ Green","WR","CIN","MIA",20.9,9,5.3,0,0,0,0,0,0,0,0,2.9,30.4,0.1,2,NA,NA,NA,NA,NA,NA,NA,11,205,4066,5.7,19,237,62,27.6,15.4,-9.95,32.8,40,"35",21,60,13,4.8,129.9,-27.78,62.3,2637,13,3.4,11,57,2.9,7.4,6.8,11.9,239.7,84.3,25,6.4,5.9,15.21,9,1552,1330,177,"41.5%",39,"9.2%",36,"9.4%",25,100,"23.5%",69,123,723,27.6,15.4,5.9,33,-25.6,279,1.67,"11","30.1",NA,NA,NA,NA,NA,NA,NA,11,7.27,3.18,43.8,32.45,10.2,0.09,24,4.5,3.2,32.5,0,5,1,5,1,9.3,4,1,5,1,15.4,"247","146","2027","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Right Corner",12.5,56.8,"13.05","1.47","N","minus","away",10,43,0,16.5,10,10.2,11,8,14,-1.2,14,-2.4,10,-1.9,25,-0.4,-5.8,-10.5,0.3,27,7.8,25,-4.2,0.29,4.53,19,69,16,0.68,24,1.27,23,14.5,14,6.4,25,31,-25.3,31,-22.8,29,-19.2,29,-16.8,24,-6.4,27,-22.5,-20.7,-8.7,-23,23,8.7,15,-0.9,-0.53,3.61,23,62,30,0.38,26,1.08,26,19.2,25,7.5,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"Alec Ingold","RB","LVR","NYJ",17.7,15,2.1,0,0,0,0,0,0.5,1.2,0,0.9,10.6,0.1,2,NA,NA,NA,NA,NA,NA,NA,11,322,4345,5.8,13,267,75,46.7,10.8,-127.23,46,55.6,"43",23,53.5,12,3.8,111,24.55,71.8,3124,21,5.1,7,46,1.7,7.9,8.1,11,284,104.8,18,7.3,7.6,-158.76,7.5,1817,1426,169,"38.8%",39,"8.9%",32,"7.8%",18,89,"20.4%",104,120,772,46.7,10.8,6.4,36.2,-30.4,364,2.5,"11","21.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"91","73","459","1",NA,NA,NA,NA,"252","1052","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"away",0,48.5,1,24.25,32,-38.8,32,-35.8,27,9,26,8,32,30.9,8,-19.3,10.9,38,-24.1,2,2,18,-0.5,-0.76,4.18,15,67,31,1.05,7,1.07,6,21.4,25,5.3,18,18,-3.5,20,-4,14,2.5,17,-0.9,11,20.7,19,-12.3,-0.2,14.8,-11.4,29,11.6,18,0,0.19,4.25,26,58,19,0.59,10,1.27,14,17.3,9,5.7,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
