"proj_week","proj_player","proj_pos","proj_tm","proj_opp","proj_afpa","proj_afpa_rk","proj_ffpts","proj_comp","proj_pass_att","proj_pass_yds","proj_pass_td","proj_int","proj_rush_att","proj_rush_yds","proj_rush_td","proj_rec","proj_rec_yds","proj_rec_td","proj_field","prev_wk_field","prev_wk_opp","prev_wk_g#","prev_wk_fantasy_fantpt","prev_wk_fantasy_ppr","prev_wk_fantasy_dkpt","prev_wk_fantasy_fdpt","def_tot_g","def_tot_pf","def_tot_yds","def_tot_yds_per_play","def_tot_to","def_tot_first_dn","def_penalties_pen","def_tot_sc_per","def_tot_to_per","def_tot_exp","def_third_d_per","def_fourth_d_per","def_red_zone_att","def_red_zone_td","def_red_zone_pct","def_rush_td","def_rush_yds_per_att","def_rush_yds_per_gm","def_rush_exp","def_pass_comp_per","def_pass_yds","def_pass_td","def_pass_td_per","def_pass_int","def_pass_defended","def_pass_int_per","def_pass_yds_per_att","def_pass_ayds_per_att","def_pass_yds_per_catch","def_pass_yds_per_gm","def_pass_qb_rating_allowed","def_pass_sacks","def_pass_net_yds_per_att","def_pass_adj_net_yds_per_att","def_pass_exp","def_adv_dadot","def_adv_air","def_adv_yac","def_adv_bltz","def_adv_bltz_per","def_adv_hrry","def_adv_hrry_per","def_adv_qbkd","def_adv_qbkd_per","def_adv_sk","def_adv_prss","def_adv_prss_per","def_adv_mtkl","def_num_dr","def_plays","def_sc_per","def_to_per","def_avg_drive_plays","def_avg_drive_yds","def_avg_drive_start","def_avg_drive_time","def_avg_drive_pts","pts_vs_g","pts_vs_fantasy_per_game_fdpt","prev_wk_rec_tgt","prev_wk_rec_rec","prev_wk_rec_yds","prev_wk_rec_yds_per_rec","prev_wk_rec_td","prev_wk_rec_ctch_per","prev_wk_rec_yds_per_tgt","ytd_rec_g","ytd_rec_target","ytd_rec_rec","ytd_rec_ctch_per","ytd_rec_yds","ytd_rec_yds_per_rec","ytd_rec_td","ytd_rec_1d","ytd_rec_yds_per_target","ytd_rec_rec_per_gm","ytd_rec_yds_per_gm","ytd_rec_fmb","receiving_twenty_tgt","receiving_twenty_rec","receiving_twenty_yds","receiving_twenty_td","receiving_twenty_per_tgt","receiving_ten_tgt","receiving_ten_rec","receiving_ten_yds","receiving_ten_td","receiving_ten_per_tgt","pts_vs_rec_tgt","pts_vs_rec_rec","pts_vs_rec_yds","pts_vs_rec_td","prev_wk_rush_att","prev_wk_rush_yds","prev_wk_rush_yds_per_att","prev_wk_rush_td","pts_vs_rush_att","pts_vs_rush_yds","pts_vs_rush_td","prev_wk_pass_comp","prev_wk_pass_att","prev_wk_pass_comp_per","prev_wk_pass_yds","prev_wk_pass_td","prev_wk_pass_int","prev_wk_pass_rate","prev_wk_pass_sk","prev_wk_pass_yds.1","prev_wk_pass_yds_per_att","prev_wk_pass_ayds_per_att","ytd_pass_g","ytd_pass_comp_per","ytd_pass_td","ytd_pass_td_per","ytd_pass_int","ytd_pass_int_per","ytd_pass_1d","ytd_pass_yds_per_att","ytd_pass_avg_yds_per_att","ytd_pass_yds_per_completion","ytd_pass_yds_per_gm","ytd_pass_rate","ytd_pass_qbr","ytd_pass_net_yds_per_att","ytd_pass_avg_net_yds_per_att","passing_twenty_comp","passing_twenty_att","passing_twenty_comp_per","passing_twenty_yds","passing_twenty_td","passing_twenty_int","passing_ten_comp","passing_ten_att","passing_ten_comp_per","passing_ten_yds","passing_ten_td","passing_ten_int","pts_vs_passing_cmp","pts_vs_passing_att","pts_vs_passing_yds","pts_vs_passing_td","pts_vs_passing_int","pts_vs_2pp","pts_vs_sk","ytd_rush_g","ytd_rush_att","ytd_rush_yds","ytd_rush_td","ytd_rush_1d","ytd_rush_yds_per_att","ytd_rush_yds_per_gm","ytd_rush_fmb","ytd_rec_tm","ytd_rec_pos","rushing_twenty_att","rushing_twenty_yds","rushing_twenty_td","rushing_twenty_per_rush","rushing_ten_att","rushing_ten_yds","rushing_ten_td","rushing_ten_per_rush","rushing_five_att","rushing_five_yds","rushing_five_td","rushing_five_per_rush","total_touches","high_value_touches","high_value_touches_per","vs_cb_pos","vs_cb_tar ","vs_cb_c ","vs_cb_ypr","vs_cb_fpt","vs_cb_shad","vs_cb_matchup","home_or_away","line","total","favorite","implied_total","def_total_dvoa_rk","def_total_dvoa","def_total_dave_rk","def_total_dave","def_dvoa_rk","def_dvoa","def_dave_rk","def_dave","def_pass_dvoa_rk","def_pass_dvoa","def_rush_dvoa_rk","def_rush_dvoa","def_non_adj_voa","def_non_adj_pass_voa","def_non_adj_rush_voa","def_var_rk","def_var","def_sched_rk","def_sched","def_dline_adjusted_line_yards","def_dline_running_back_yards","def_dline_power_success_rate_rk","def_dline_power_success_rate","def_dline_open_field_yards_rk","def_dline_open_field_yards","def_dline_second_level_yards_rk","def_dline_second_level_yards","def_dline_stuffed_rate_rk","def_dline_stuffed_rate","def_dline_adjusted_sack_rate_rk","def_dline_adjusted_sack_rate","def_dline_sacks","off_total_dvoa_rk","off_total_dvoa","off_total_dave_rk","off_total_dave","off_dvoa_rk","off_dvoa","off_dave_rk","off_dave","off_pass_dvoa_rk","off_pass_dvoa","off_rush_dvoa_rk","off_rush_dvoa","off_non_adj_voa","off_non_adj_pass_voa","off_non_adj_rush_voa","off_var_rk","off_var","off_sched_rk","off_sched","off_oline_adjusted_line_yards","off_oline_running_back_yards","off_oline_power_success_rate_rk","off_oline_power_success_rate","off_oline_open_field_yards_rk","off_oline_open_field_yards","off_oline_second_level_yards_rk","off_oline_second_level_yards","off_oline_stuffed_rate_rk","off_oline_stuffed_rate","off_oline_adjusted_sack_rate_rk","off_oline_adjusted_sack_rate","off_oline_sacks","prev_wk_dvoa_def_total_dvoa_rk","prev_wk_dvoa_def_total_dvoa","prev_wk_dvoa_def_total_dave_rk","prev_wk_dvoa_def_total_dave","prev_wk_dvoa_def_dvoa_rk","prev_wk_dvoa_def_dvoa","prev_wk_dvoa_def_dave_rk","prev_wk_dvoa_def_dave","prev_wk_dvoa_def_pass_dvoa_rk","prev_wk_dvoa_def_pass_dvoa","prev_wk_dvoa_def_rush_dvoa_rk","prev_wk_dvoa_def_rush_dvoa","prev_wk_dvoa_def_non_adj_voa","prev_wk_dvoa_def_non_adj_pass_voa","prev_wk_dvoa_def_non_adj_rush_voa","prev_wk_dvoa_def_var_rk","prev_wk_dvoa_def_var","prev_wk_dvoa_def_sched_rk","prev_wk_dvoa_def_sched","prev_wk_dvoa_def_dline_adjusted_line_yards","prev_wk_dvoa_def_dline_running_back_yards","prev_wk_dvoa_def_dline_power_success_rate_rk","prev_wk_dvoa_def_dline_power_success_rate","prev_wk_dvoa_def_dline_open_field_yards_rk","prev_wk_dvoa_def_dline_open_field_yards","prev_wk_dvoa_def_dline_second_level_yards_rk","prev_wk_dvoa_def_dline_second_level_yards","prev_wk_dvoa_def_dline_stuffed_rate_rk","prev_wk_dvoa_def_dline_stuffed_rate","prev_wk_dvoa_def_dline_adjusted_sack_rate_rk","prev_wk_dvoa_def_dline_adjusted_sack_rate","prev_wk_dvoa_def_dline_sacks","fd_sal","projected_own","cash_odds","gpp_odds","implied_own","fd_lev","pricing_open","pricing_current","pricing_season_change","pricing_week_change"
17,"Aaron Jones","RB","GNB","CHI",12.7,3,15.2,0,0,0,0,0,15.6,72.4,0.5,3.2,25.8,0.2,2,1,"TEN",15,10.8,12.8,12.8,11.8,15,335,5203,5.3,17,314,91,36.6,9.3,-55.49,37.4,59.1,"49",25,51,10,4.1,115.7,18.44,63.3,3468,24,4.6,10,69,1.9,7.1,7.1,11.2,231.2,91.6,34,6.2,6.3,-77.43,8.7,2304,1610,126,"21.5%",51,"8.7%",41,"7.8%",34,126,"21.5%",86,172,1011,36.6,9.3,5.9,30.2,-28.9,279,1.89,"15","18.6",3,2,14,7,0,66.7,4.67,13,4.46,3.31,74.1,24,7.3,0.15,13,5.4,3.3,24,2,10,5,21,2,14.3,5,3,14,2,11.6,"88","64","451","0",10,94,9.4,0,"354","1474","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,14.62,81.69,0.62,50,5.6,81.7,2,"GNB","RB",35,105,6,49.3,18,43,5,48.6,8,8,3,57.1,19.08,5.84,0.31,NA,NA,NA,NA,NA,NA,NA,"away",-4.5,49,1,26.75,15,-0.1,14,2.8,7,-9.4,9,-8.1,9,0.1,4,-22.4,-6.2,4.2,-20.4,13,4,4,4.7,-0.24,4.15,6,60,12,0.65,17,1.21,15,18,14,6.6,34,3,24.1,4,27.6,1,26.9,1,27.2,2,48.1,5,2.7,28.2,51,1.9,25,9.1,25,1.8,0.48,5.07,15,66,2,1.08,4,1.38,2,13.6,5,5,20,13,3.5,12,5,29,11.1,29,12.3,30,26.7,15,-10.9,9.1,24.5,-12.5,5,3.2,18,-1.3,-0.07,4.54,7,61,28,0.98,18,1.22,20,17,32,3.7,15,8000,12.5,46,9,10,0.83,7800,8000,200,-600
17,"Aaron Rodgers","QB","GNB","CHI",18.9,16,20.4,23.3,34.4,271.2,2.3,0.3,2.3,8.3,0.1,0,0,0,2,1,"TEN",15,25.14,25.1,26.1,26.1,15,335,5203,5.3,17,314,91,36.6,9.3,-55.49,37.4,59.1,"49",25,51,10,4.1,115.7,18.44,63.3,3468,24,4.6,10,69,1.9,7.1,7.1,11.2,231.2,91.6,34,6.2,6.3,-77.43,8.7,2304,1610,126,"21.5%",51,"8.7%",41,"7.8%",34,126,"21.5%",86,172,1011,36.6,9.3,5.9,30.2,-28.9,279,1.89,"15","17.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,19,6.33,0,"55","204","0",21,25,84,231,4,1,128.1,1,17,9.24,10.64,15,70.3,2.93,8.8,0.33,1,203,8.1,9.4,11.5,270.6,119.4,83.9,7.45,8.7,54,77,70.13,299,32,0,37,46,80.43,144,27,0,"331","523","3699","24","10","","34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"away",-4.5,49,1,26.75,15,-0.1,14,2.8,7,-9.4,9,-8.1,9,0.1,4,-22.4,-6.2,4.2,-20.4,13,4,4,4.7,-0.24,4.15,6,60,12,0.65,17,1.21,15,18,14,6.6,34,3,24.1,4,27.6,1,26.9,1,27.2,2,48.1,5,2.7,28.2,51,1.9,25,9.1,25,1.8,0.48,5.07,15,66,2,1.08,4,1.38,2,13.6,5,5,20,13,3.5,12,5,29,11.1,29,12.3,30,26.7,15,-10.9,9.1,24.5,-12.5,5,3.2,18,-1.3,-0.07,4.54,7,61,28,0.98,18,1.22,20,17,32,3.7,15,8500,12.5,51,21,5,0.44,7600,8500,900,-500
17,"Adam Shaheen","TE","MIA","BUF",7.9,18,1.7,0,0,0,0,0,0,0,0,0.7,8.5,0.1,2,NA,NA,NA,NA,NA,NA,NA,15,349,5186,5.5,22,324,84,40,14.2,-96.82,41.2,58.8,"55",36,65.5,19,4.7,122.9,-34.65,64.8,3342,22,4.3,12,65,2.3,6.9,6.7,10.7,222.8,89.4,37,6.1,5.9,-66.94,6.9,1983,1572,215,"37.0%",48,"8.3%",44,"8.6%",37,129,"22.2%",123,155,968,40,14.2,6.2,33.4,-26.8,282,2.26,"15","11.8",NA,NA,NA,NA,NA,NA,NA,15,1.27,0.73,57.9,8.53,11.6,0.2,8,6.7,0.7,8.5,0,6,3,14,3,10,6,3,14,3,14.6,"118","83","901","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"away",-1,42,1,21.5,5,20.7,3,27.7,13,-1,12,-4.9,15,4.6,17,-8.1,-2.2,1.9,-7.5,8,3.5,20,-1.6,0.14,4.54,4,59,17,0.72,32,1.5,9,19.3,11,7.3,37,11,9.9,10,12.8,16,0.7,14,0,13,18.3,22,-17.5,2.6,21.8,-17.7,8,4.1,27,2.3,-0.18,3.96,17,66,27,0.5,23,1.09,19,18,23,7.5,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4400,0.5,10,0,0,0.3,4000,4400,400,-200
17,"Adam Thielen","WR","MIN","DET",28.8,30,15.3,0,0,0,0,0,0.3,1.3,0,5.5,66.3,1,2,2,"NOR",15,15.7,23.7,23.7,19.7,15,482,6208,6.2,12,384,99,47.5,7.6,-255.89,48.3,56.3,"59",44,74.6,25,4.5,135.5,-41.02,68.7,4175,35,6.8,7,46,1.4,8.4,9.2,12.2,278.3,111.3,21,7.8,8.5,-221.67,8.9,2587,1965,126,"22.7%",44,"7.9%",29,"5.6%",21,94,"16.9%",110,158,1012,47.5,7.6,6.4,39.4,-27.5,362,2.94,"15","36.4",9,8,97,12.13,1,88.9,10.78,14,7.36,5,68,62,12.4,1,49,8.4,5,62,0,18,16,115,13,34.6,12,11,46,10,37.5,"315","224","3057","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Left Corner",13.7,53.5,"17.82","1.74","N","plus","away",-3.5,53.5,1,28.5,26,-18.1,30,-24.4,32,18.1,32,21.9,32,32.8,26,0,21,35.3,3.5,15,4.5,5,3.5,0.57,4.62,21,69,13,0.66,23,1.34,29,12.3,28,4.8,21,19,-4.2,22,-9.2,9,6.8,9,5.5,11,19.1,6,1.5,5.4,18.7,-0.9,23,7.8,20,0.7,0.68,4.89,27,57,12,0.83,1,1.46,5,14.3,24,7.6,36,1,32.3,1,33.8,3,-17,3,-19.7,4,-10.3,2,-27.3,-14.1,-4.6,-28.8,32,11,11,2.3,-0.67,3.85,9,62,14,0.68,4,0.98,7,21,3,8.5,42,7900,17.5,52,15,12,0.71,6800,7900,1100,400
17,"Adam Trautman","TE","NOR","CAR",8.7,22,5.3,0,0,0,0,0,0,0,0,2.6,28.2,0.2,2,1,"MIN",15,4.5,6.5,6.5,5.5,15,369,5414,5.7,22,340,81,45.6,13.4,-114.83,49.7,55.6,"52",32,61.5,16,4.7,118.7,-21.49,68,3634,25,4.5,7,56,1.3,6.9,7.2,10.2,242.3,97.3,27,6.3,6.6,-101.58,7.5,2265,1888,141,"23.4%",60,"10.0%",38,"6.9%",27,125,"20.7%",116,149,987,45.6,13.4,6.6,36.1,-29.5,294,2.47,"15","11.3",2,2,45,22.5,0,100,22.5,14,1.07,1,93.3,11.86,11.9,0.07,9,11.1,1,11.9,0,3,3,19,1,4.3,2,2,15,1,7.7,"122","85","852","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"away",-6,46.5,1,26.25,18,-3.2,19,-4.7,25,8,24,6.4,23,16.2,21,-4,6.7,14.9,-5.3,4,3.1,10,2.5,0.34,4.87,18,68,29,1.06,24,1.34,19,17,21,5.7,27,1,32.3,1,33.8,7,11.9,6,11,14,17.5,1,10.7,11.6,17,10.8,10,4.8,10,-0.7,0.53,4.63,4,77,14,0.77,11,1.27,1,13.5,14,5.9,27,19,-4.2,22,-9.2,18,2,21,3.7,13,3.5,27,0.2,5.6,9.7,0.8,12,4,3,4.9,0.77,4.62,30,74,8,0.56,21,1.31,31,10.6,27,4.9,22,4200,0.5,32,4,2,4.38,4000,4200,200,0
17,"Adrian Peterson","RB","DET","MIN",24.2,30,4,0,0,0,0,0,4.6,20.2,0.2,0.7,4.1,0,1,NA,NA,NA,NA,NA,NA,NA,15,440,5875,6,20,345,76,49.1,10.7,-162.13,38.9,69.6,"56",32,57.1,17,4.5,134.8,-32.03,66.3,3853,27,5.3,14,49,2.7,7.8,7.6,11.8,256.9,96,22,7.2,7.1,-136.78,8.6,2375,1717,149,"26.7%",45,"8.1%",37,"7.3%",22,104,"18.6%",122,159,1015,49.1,10.7,6.4,36.7,-33.2,294,2.58,"15","24.0",NA,NA,NA,NA,NA,NA,NA,15,1.2,0.8,66.7,6.73,8.4,0,4,5.6,0.8,6.7,0,1,0,0,0,1.5,1,0,0,0,3.3,"102","76","492","1",NA,NA,NA,NA,"368","1701","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,9.93,36.07,0.4,31,3.6,36.1,0,"DET","RB",32,78,6,50.8,18,31,6,47.4,11,6,4,52.4,11.13,2.4,0.22,NA,NA,NA,NA,NA,NA,NA,"home",3.5,53.5,0,25,19,-4.2,22,-9.2,18,2,21,3.7,13,3.5,27,0.2,5.6,9.7,0.8,12,4,3,4.9,0.77,4.62,30,74,8,0.56,21,1.31,31,10.6,27,4.9,22,26,-18.1,30,-24.4,18,-2.1,18,-5.3,19,13.4,23,-17.5,-6.1,11.1,-24.3,26,9.6,8,-2.3,-0.15,3.95,20,62,23,0.55,29,1.05,21,18,20,7.3,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4900,0.5,12,0,0,0.31,5100,4900,-200,-300
17,"AJ Brown","WR","TEN","HOU",27.8,29,16.1,0,0,0,0,0,0,0,0,5.6,87.8,0.8,2,2,"GNB",15,4.3,8.3,8.3,6.3,15,423,6176,6.2,8,362,70,45.9,5.1,-217.41,46.4,55,"58",36,62.1,20,5,151.7,-43.28,69.8,3900,29,5.6,3,48,0.6,8,8.9,11.4,260,110,32,7.1,8,-180.4,7.5,2073,2225,196,"35.0%",45,"8.0%",34,"6.6%",32,111,"19.8%",115,157,1027,45.9,5.1,6.5,39.3,-27.1,369,2.62,"15","33.1",8,4,43,10.75,0,50,5.38,13,7.31,4.62,63.2,71.08,15.4,0.77,48,9.7,4.6,71.1,2,11,8,86,6,18,7,4,24,4,24.1,"288","204","2557","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Right Corner",14.8,65.3,"13.73","1.79","N","plus","away",-7,54.5,1,30.75,24,-13.8,25,-17.1,30,15.3,31,17.8,29,26.2,30,2.1,14.8,25.1,2.4,6,3.4,13,1.2,0.47,5.39,5,59,32,1.39,31,1.44,21,15.5,13,6.9,32,13,3.5,12,5,3,19,3,19.9,4,39.9,3,6.7,21.8,43.3,9,12,5.4,26,1.8,0.61,5,9,72,6,0.99,3,1.42,8,15,11,5.4,23,3,24.1,4,27.6,15,0.4,13,-4,14,4.2,19,-4.9,0.1,5.1,-6.7,14,4.3,14,1.2,0.3,4.5,28,72,18,0.73,12,1.15,28,12.8,9,7.7,40,8400,12.5,53,16,13,1.06,6700,8400,1700,200
17,"AJ Dillon","RB","GNB","CHI",12.7,3,1.5,0,0,0,0,0,3.1,10.7,0.1,0,0,0,2,1,"TEN",15,24.9,25.9,28.9,25.4,15,335,5203,5.3,17,314,91,36.6,9.3,-55.49,37.4,59.1,"49",25,51,10,4.1,115.7,18.44,63.3,3468,24,4.6,10,69,1.9,7.1,7.1,11.2,231.2,91.6,34,6.2,6.3,-77.43,8.7,2304,1610,126,"21.5%",51,"8.7%",41,"7.8%",34,126,"21.5%",86,172,1011,36.6,9.3,5.9,30.2,-28.9,279,1.89,"15","18.6",1,1,5,5,0,100,5,10,0.2,0.2,100,2.1,10.5,0,1,10.5,0.2,2.1,0,1,1,5,0,1.4,0,0,0,0,0,"88","64","451","0",21,124,5.9,2,"354","1474","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,4.5,23.9,0.2,11,5.3,23.9,0,"GNB","",4,16,1,5.6,2,9,1,5.4,0,0,0,0,4.7,0.4,0.09,NA,NA,NA,NA,NA,NA,NA,"away",-4.5,49,1,26.75,15,-0.1,14,2.8,7,-9.4,9,-8.1,9,0.1,4,-22.4,-6.2,4.2,-20.4,13,4,4,4.7,-0.24,4.15,6,60,12,0.65,17,1.21,15,18,14,6.6,34,3,24.1,4,27.6,1,26.9,1,27.2,2,48.1,5,2.7,28.2,51,1.9,25,9.1,25,1.8,0.48,5.07,15,66,2,1.08,4,1.38,2,13.6,5,5,20,13,3.5,12,5,29,11.1,29,12.3,30,26.7,15,-10.9,9.1,24.5,-12.5,5,3.2,18,-1.3,-0.07,4.54,7,61,28,0.98,18,1.22,20,17,32,3.7,15,5500,0.5,3,0,0,0.01,4700,5500,800,500
17,"AJ Green","WR","CIN","BAL",22.1,14,5.8,0,0,0,0,0,0,0,0,3.1,34.4,0.1,1,2,"HOU",15,6.4,10.4,10.4,8.4,15,300,5081,5.2,20,337,74,31.4,11.9,-38.49,35.2,45.7,"44",28,63.6,12,4.4,106.2,8.16,65,3488,22,3.8,8,59,1.4,6.5,6.7,10.1,232.5,90.5,39,5.7,5.8,-65.39,7.9,2063,1754,280,"44.0%",58,"9.1%",57,"9.9%",39,154,"24.2%",131,159,1000,31.4,11.9,6.3,31.7,-25.3,286,1.82,"15","28.3",7,4,64,16,0,57.1,9.14,15,6.53,3.13,48,34.87,11.1,0.13,34,5.3,3.1,34.9,0,8,3,20,2,11.8,6,2,10,2,18.8,"328","213","2352","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Right Corner",15.4,74.3,"11.73","1.79","N","plus","home",13.5,45,0,15.75,9,16,11,10.3,9,-5,15,0.5,16,4.7,8,-20.6,-5.5,4.1,-21.1,23,6.4,25,-3.2,-0.2,4.3,2,53,22,0.76,14,1.16,22,15.3,12,7,39,29,-22.8,27,-20.2,28,-16.4,27,-15.4,25,-1.5,28,-24.5,-18,-2.9,-26.4,28,10.3,15,-0.4,-0.48,3.7,22,60,30,0.4,24,1.09,28,19,25,7.7,48,24,-13.8,25,-17.1,30,15.3,31,17.8,29,26.2,30,2.1,14.8,25.1,2.4,6,3.4,13,1.2,0.47,5.39,5,59,32,1.39,31,1.44,21,15.5,13,6.9,32,5300,0.5,21,1,1,1.95,6200,5300,-900,-200
17,"Alec Ingold","RB","LVR","DEN",24.4,31,2,0,0,0,0,0,0.4,1.2,0,1,9.7,0.1,2,NA,NA,NA,NA,NA,NA,NA,15,414,5422,5.5,12,311,92,45.3,6.5,-88.37,40.3,41.7,"59",28,47.5,20,4.8,131.6,-26.37,66.2,3448,19,3.6,8,58,1.5,7,7.1,10.6,229.9,92.2,39,6.1,6.1,-69.6,8,2118,1691,172,"28.9%",71,"11.9%",38,"7.2%",39,148,"24.8%",89,170,1020,45.3,6.5,6,31.8,-32.3,286,2.28,"15","21.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,1,4.8,3,2,3,1,7.7,"96","72","471","2",NA,NA,NA,NA,"334","1510","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"away",-2.5,50.5,1,26.5,30,-22.9,29,-23.8,14,0.1,17,1.8,11,0.7,25,-0.9,4.9,9.5,-1.7,16,4.6,2,5.2,0.16,4.52,29,72,25,0.88,9,1.11,23,14.4,7,7.9,39,20,-6.2,21,-8.1,15,1.7,16,-3.2,9,21.6,25,-18.2,-0.6,15.2,-15.4,22,7.8,13,-0.6,-0.05,4.03,21,62,24,0.55,19,1.18,20,18,10,5.4,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4500,0.5,6,0,0,0.03,4500,4500,0,0
