"proj_week","proj_player","proj_pos","proj_tm","proj_opp","proj_afpa","proj_afpa_rk","proj_ffpts","proj_comp","proj_pass_att","proj_pass_yds","proj_pass_td","proj_int","proj_rush_att","proj_rush_yds","proj_rush_td","proj_rec","proj_rec_yds","proj_rec_td","proj_field","prev_wk_field","prev_wk_opp","prev_wk_g#","prev_wk_rush_att","prev_wk_rush_yds","prev_wk_rush_yds_per_att","prev_wk_rush_td","prev_wk_rec_tgt","prev_wk_rec_rec","prev_wk_rec_yds","prev_wk_rec_yds_per_rec","prev_wk_rec_td","prev_wk_rec_ctch_per","prev_wk_rec_yds_per_tgt","prev_wk_fantasy_fantpt","prev_wk_fantasy_ppr","prev_wk_fantasy_dkpt","prev_wk_fantasy_fdpt","ytd_rush_g","ytd_rush_att","ytd_rush_yds","ytd_rush_td","ytd_rush_1d","ytd_rush_yds_per_att","ytd_rush_yds_per_gm","ytd_rush_fmb","ytd_rec_tm","ytd_rec_pos","ytd_rec_g","ytd_rec_target","ytd_rec_rec","ytd_rec_ctch_per","ytd_rec_yds","ytd_rec_yds_per_rec","ytd_rec_td","ytd_rec_1d","ytd_rec_yds_per_target","ytd_rec_rec_per_gm","ytd_rec_yds_per_gm","ytd_rec_fmb","rushing_twenty_att","rushing_twenty_yds","rushing_twenty_td","rushing_twenty_per_rush","rushing_ten_att","rushing_ten_yds","rushing_ten_td","rushing_ten_per_rush","rushing_five_att","rushing_five_yds","rushing_five_td","rushing_five_per_rush","receiving_twenty_tgt","receiving_twenty_rec","receiving_twenty_yds","receiving_twenty_td","receiving_twenty_per_tgt","receiving_ten_tgt","receiving_ten_rec","receiving_ten_yds","receiving_ten_td","receiving_ten_per_tgt","def_tot_g","def_tot_pf","def_tot_yds","def_tot_yds_per_play","def_tot_to","def_tot_first_dn","def_penalties_pen","def_tot_sc_per","def_tot_to_per","def_tot_exp","def_third_d_per","def_fourth_d_per","def_red_zone_att","def_red_zone_td","def_red_zone_pct","def_rush_td","def_rush_yds_per_att","def_rush_yds_per_gm","def_rush_exp","def_pass_comp_per","def_pass_yds","def_pass_td","def_pass_td_per","def_pass_int","def_pass_defended","def_pass_int_per","def_pass_yds_per_att","def_pass_ayds_per_att","def_pass_yds_per_catch","def_pass_yds_per_gm","def_pass_qb_rating_allowed","def_pass_sacks","def_pass_net_yds_per_att","def_pass_adj_net_yds_per_att","def_pass_exp","def_adv_dadot","def_adv_air","def_adv_yac","def_adv_bltz","def_adv_bltz_per","def_adv_hrry","def_adv_hrry_per","def_adv_qbkd","def_adv_qbkd_per","def_adv_sk","def_adv_prss","def_adv_prss_per","def_adv_mtkl","def_num_dr","def_plays","def_sc_per","def_to_per","def_avg_drive_plays","def_avg_drive_yds","def_avg_drive_start","def_avg_drive_time","def_avg_drive_pts","pts_vs_g","pts_vs_rush_att","pts_vs_rush_yds","pts_vs_rush_td","pts_vs_rec_tgt","pts_vs_rec_rec","pts_vs_rec_yds","pts_vs_rec_td","pts_vs_fantasy_per_game_fdpt","total_touches","high_value_touches","high_value_touches_per"
14,"Derrick Henry","RB","TEN","JAX",23.5,30,20.5,0,0,0,0,0,23.8,119.8,1.1,1.4,10,0.1,2,1,"CLE",12,15,60,4,0,1,1,9,9,0,100,9,4.9,5.9,6.9,5.4,12,22.58,109.75,1,67,4.9,109.8,1,"TEN","RB",12,2.25,1.25,55.6,8.5,6.8,0,4,3.8,1.3,8.5,1,50,144,10,73.5,28,59,8,77.8,14,16,6,82.4,1,1,5,0,2,1,1,5,0,4.2,12,352,4992,6.2,13,292,62,47.1,9.4,-153.06,42.6,66.7,"45",27,60,14,4.4,136.9,-0.45,69.3,3349,26,6.2,9,49,2.1,8.2,8.4,11.8,279.1,105.6,15,7.7,8,-157.61,8.2,1771,1722,147,"32.1%",34,"7.4%",43,"10.2%",15,92,"20.1%",88,138,835,47.1,9.4,6.1,36.1,-30.5,291,2.57,"12","301","1310","10","89","73","562","3","25.0",24.83,4.58,0.18
14,"Aaron Jones","RB","GNB","DET",29.2,32,18.2,0,0,0,0,0,15.8,84.2,0.8,3.4,25.1,0.2,2,1,"PHI",12,15,130,8.67,1,3,3,18,6,0,100,6,20.8,23.8,26.8,22.3,10,14.5,75.4,0.7,37,5.2,75.4,2,"GNB","RB",10,4.8,3.6,75,27.9,7.8,0.2,13,5.8,3.6,27.9,2,26,75,5,49.1,14,28,4,51.9,8,8,3,57.1,10,5,21,2,16.9,5,3,14,2,13.5,12,358,4747,6,12,300,76,44.1,9.4,-161.18,44.6,57.1,"48",33,68.8,20,4.5,133.9,-28.22,66.7,3140,23,5.5,7,39,1.7,7.9,8.3,11.9,261.7,102.2,18,7.3,7.6,-138.6,8.8,1991,1499,99,"22.2%",40,"9.0%",27,"6.5%",18,85,"19.1%",98,127,809,44.1,9.4,6.4,37.5,-27.3,299,2.68,"12","294","1351","16","82","59","582","7","30.2",19.3,6.2,0.32
14,"James Robinson","RB","JAX","TEN",21.3,26,17.2,0,0,0,0,0,19,77,0.7,3.5,27.8,0.2,1,2,"MIN",12,18,78,4.33,1,6,6,30,5,0,100,5,16.8,22.8,22.8,19.8,12,17.67,80.67,0.58,50,4.6,80.7,3,"JAX","RB",12,4.42,3.5,79.2,25.83,7.4,0.17,14,5.8,3.5,25.8,3,29,119,7,80.6,12,32,5,80,5,11,5,83.3,4,4,30,2,8.7,3,3,16,1,15,12,326,4683,5.7,17,291,84,43.7,12.7,-121.68,53.6,63.2,"48",35,72.9,13,4.2,115.8,-8.84,66.6,3294,27,5.7,11,70,2.3,7.2,7.3,10.8,274.5,96.9,14,6.8,6.9,-132.48,7.8,1863,1539,144,"28.5%",33,"6.5%",40,"8.5%",14,87,"17.2%",83,126,834,43.7,12.7,6.6,37,-27.3,362,2.58,"12","270","1133","10","78","57","477","5","23.0",22.09,5.42,0.25
14,"Dalvin Cook","RB","MIN","TAM",11.3,3,17.2,0,0,0,0,0,20.3,81.4,0.5,3.9,36.1,0.2,2,1,"JAX",12,32,120,3.75,0,9,6,59,9.83,0,66.7,6.56,17.9,23.9,26.9,20.9,11,22.82,113.64,1.18,69,5,113.6,4,"MIN","RB",11,3.91,3.18,81.4,28.55,9,0.09,16,7.3,3.2,28.5,4,44,159,10,62,27,54,10,60,17,19,6,73.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,280,3959,5.2,20,232,72,34.8,14.5,-12.67,41.7,50,"38",24,63.2,8,3.3,74.2,36.4,69.7,3069,23,5,14,52,3.1,7.3,6.9,10.4,255.8,94.5,34,6.3,5.9,-45.68,7.8,2078,1549,199,"39.3%",51,"10.1%",45,"9.9%",34,130,"25.6%",74,138,780,34.8,14.5,5.7,28.7,-29.4,282,1.94,"12","210","646","7","89","73","454","3","17.0",26.73,6.36,0.24
14,"Ronald Jones","RB","TAM","MIN",16.8,14,17,0,0,0,0,0,22.3,94.5,0.8,2.3,13.6,0.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,13.5,68.33,0.42,40,5.1,68.3,2,"TAM","RB",12,3.33,2.25,67.5,13.42,6,0.08,2,4,2.3,13.4,2,25,69,4,53.2,16,30,4,50,6,5,3,42.9,4,1,9,0,6.6,2,0,0,0,4.9,12,329,4592,5.8,17,269,63,45,10.9,-94.43,36.4,68.2,"41",21,51.2,7,4.3,121,-4.64,65.5,3140,24,5.5,11,39,2.5,7.4,7.4,11.3,261.7,95.5,21,6.8,6.8,-96.08,8.6,1923,1375,128,"26.6%",41,"8.5%",32,"7.3%",21,94,"19.5%",92,129,822,45,10.9,6.4,35.3,-33,292,2.31,"12","277","1209","7","88","66","424","1","20.4",16.83,4.66,0.28
14,"David Montgomery","RB","CHI","HOU",24.1,31,14.9,0,0,0,0,0,15,62.4,0.5,3.4,33.6,0.1,1,1,"DET",12,17,72,4.24,2,4,4,39,9.75,0,100,9.75,23.1,27.1,27.1,25.1,11,14.45,58.82,0.27,35,4.1,58.8,1,"CHI","RB",11,4.64,3.55,76.5,26.45,7.5,0.18,17,5.7,3.5,26.5,1,24,63,3,66.7,12,7,2,66.7,7,5,2,77.8,7,4,27,1,11.1,3,2,9,1,9.4,12,323,4876,6,8,292,54,42.5,6.3,-159.2,46.8,52.9,"46",28,60.9,16,4.9,150.9,-27.6,68.6,3065,22,5.3,3,38,0.7,7.8,8.6,11.4,255.4,106.6,28,6.9,7.6,-136.17,7.6,1589,1647,163,"36.0%",41,"9.1%",27,"6.5%",28,96,"21.2%",84,127,836,42.5,6.3,6.6,38.4,-27,369,2.47,"12","322","1677","15","82","60","550","1","28.6",19.09,5.73,0.3
14,"Chris Carson","RB","SEA","NYJ",16.3,11,14.8,0,0,0,0,0,13.3,54.4,0.5,3.5,28.1,0.4,1,1,"NYG",12,13,65,5,0,6,3,45,15,1,50,7.5,17,20,20,18.5,8,10.88,53.62,0.5,28,4.9,53.6,1,"SEA","RB",8,4.12,3.38,81.8,26.25,7.8,0.5,11,6.4,3.4,26.3,1,13,52,3,32.5,8,13,2,34.8,6,4,2,37.5,5,4,45,3,8.1,3,2,8,1,8.6,12,353,4785,5.8,15,291,78,46.2,11.4,-137.09,45.8,50,"46",25,54.3,13,3.8,107.8,26.9,70.5,3492,24,5.3,8,50,1.8,7.9,8.2,11.2,291,104.1,20,7.4,7.6,-170.97,7.9,2066,1604,197,"40.5%",44,"9.0%",35,"7.7%",20,99,"20.3%",105,132,847,46.2,11.4,6.4,36.2,-30.8,361,2.51,"12","275","1119","8","96","77","471","1","20.6",15,5.12,0.34
14,"Nick Chubb","RB","CLE","BAL",16.4,12,14.8,0,0,0,0,0,17.5,87.5,0.6,1.2,14.5,0.1,1,2,"TEN",12,18,80,4.44,1,1,1,26,26,0,100,26,16.6,17.6,17.6,17.1,8,16.62,99.88,0.88,40,6,99.9,1,"CLE","RB",8,1,0.88,87.5,9.38,10.7,0,4,9.4,0.9,9.4,1,21,71,6,32.3,12,21,4,37.5,8,6,3,44.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,231,4052,5.2,18,263,54,30,13.1,-20.25,35.8,44.4,"34",21,61.8,8,4.4,111.6,16.47,65.4,2713,17,3.7,7,45,1.5,6.4,6.5,9.8,226.1,89.3,28,5.6,5.6,-49.45,7.5,1570,1414,211,"42.2%",44,"8.8%",45,"9.8%",28,117,"23.4%",100,130,806,30,13.1,6.2,31,-25.8,284,1.7,"12","250","1076","4","88","64","444","3","18.2",17.62,2.5,0.14
14,"Austin Ekeler","RB","LAC","ATL",10,2,14.7,0,0,0,0,0,12.9,54.1,0.2,5.3,47.1,0.2,1,1,"NWE",12,8,36,4.5,0,9,4,32,8,0,44.4,3.56,6.8,10.8,10.8,8.8,6,11.83,54.67,0.17,17,4.6,54.7,0,"LAC","RB",6,7,5.33,76.2,43.5,8.2,0,12,6.2,5.3,43.5,0,8,51,1,14.8,3,6,0,9.7,1,1,0,9.1,2,1,9,0,4,2,1,9,0,9.1,12,302,4733,6.2,17,266,75,39.8,12.8,-83.65,38.4,42.9,"40",28,70,12,4.5,109.2,24.74,68.4,3423,24,5.3,8,42,1.8,8,8.3,11.7,285.3,102.9,24,7.2,7.5,-116.04,8.6,2129,1574,157,"31.4%",53,"10.6%",46,"10.2%",24,123,"24.6%",72,133,788,39.8,12.8,5.9,35.6,-27.9,277,2.28,"12","216","805","5","81","63","431","4","17.1",18.83,7.5,0.4
14,"Alvin Kamara","RB","NOR","PHI",16.8,15,14.4,0,0,0,0,0,15.4,71.5,0.7,2.4,17.3,0.1,2,2,"ATL",12,15,88,5.87,1,3,2,9,4.5,0,66.7,3,15.7,17.7,17.7,16.7,12,11.92,56.08,0.75,44,4.7,56.1,1,"NOR","RB",12,7.17,5.83,81.4,54.58,9.4,0.33,29,7.6,5.8,54.6,1,29,85,9,34.5,20,44,8,40.8,10,16,7,47.6,11,8,65,3,17.7,2,2,1,1,8.3,12,307,4165,5.2,11,256,85,37.4,6.8,-47.04,37.3,40,"38",25,65.8,17,4.2,129.9,8.19,67.2,2606,17,4.3,3,31,0.8,7.3,7.8,10.8,217.2,99.6,38,6,6.5,-56.85,8,1670,1313,101,"22.7%",36,"8.1%",37,"9.4%",38,111,"25.0%",82,147,825,37.4,6.8,5.6,28.2,-31.2,276,2.05,"12","284","1057","12","54","44","349","0","19.4",19.09,8.84,0.46
