"proj_week","proj_player","proj_pos","proj_tm","proj_opp","proj_afpa","proj_afpa_rk","proj_ffpts","proj_comp","proj_pass_att","proj_pass_yds","proj_pass_td","proj_int","proj_rush_att","proj_rush_yds","proj_rush_td","proj_rec","proj_rec_yds","proj_rec_td","proj_field","prev_wk_field","prev_wk_opp","prev_wk_g#","prev_wk_rec_tgt","prev_wk_rec_rec","prev_wk_rec_yds","prev_wk_rec_yds_per_rec","prev_wk_rec_td","prev_wk_rec_ctch_per","prev_wk_rec_yds_per_tgt","prev_wk_fantasy_fantpt","prev_wk_fantasy_ppr","prev_wk_fantasy_dkpt","prev_wk_fantasy_fdpt","ytd_rec_g","ytd_rec_target","ytd_rec_rec","ytd_rec_ctch_per","ytd_rec_yds","ytd_rec_yds_per_rec","ytd_rec_td","ytd_rec_1d","ytd_rec_yds_per_target","ytd_rec_rec_per_gm","ytd_rec_yds_per_gm","ytd_rec_fmb","receiving_twenty_tgt","receiving_twenty_rec","receiving_twenty_yds","receiving_twenty_td","receiving_twenty_per_tgt","receiving_ten_tgt","receiving_ten_rec","receiving_ten_yds","receiving_ten_td","receiving_ten_per_tgt","def_tot_g","def_tot_pf","def_tot_yds","def_tot_yds_per_play","def_tot_to","def_tot_first_dn","def_penalties_pen","def_tot_sc_per","def_tot_to_per","def_tot_exp","def_third_d_per","def_fourth_d_per","def_red_zone_att","def_red_zone_td","def_red_zone_pct","def_rush_td","def_rush_yds_per_att","def_rush_yds_per_gm","def_rush_exp","def_pass_comp_per","def_pass_yds","def_pass_td","def_pass_td_per","def_pass_int","def_pass_defended","def_pass_int_per","def_pass_yds_per_att","def_pass_ayds_per_att","def_pass_yds_per_catch","def_pass_yds_per_gm","def_pass_qb_rating_allowed","def_pass_sacks","def_pass_net_yds_per_att","def_pass_adj_net_yds_per_att","def_pass_exp","def_adv_dadot","def_adv_air","def_adv_yac","def_adv_bltz","def_adv_bltz_per","def_adv_hrry","def_adv_hrry_per","def_adv_qbkd","def_adv_qbkd_per","def_adv_sk","def_adv_prss","def_adv_prss_per","def_adv_mtkl","def_num_dr","def_plays","def_sc_per","def_to_per","def_avg_drive_plays","def_avg_drive_yds","def_avg_drive_start","def_avg_drive_time","def_avg_drive_pts","pts_vs_g","pts_vs_rec_tgt","pts_vs_rec_rec","pts_vs_rec_yds","pts_vs_rec_td","pts_vs_fantasy_per_game_fdpt"
12,"Travis Kelce","TE","KAN","TAM",8.2,21,16.2,0,0,0,0,0,0,0,0,6.7,93.3,0.6,2,2,"LVR",10,10,8,127,15.88,1,80,12.7,18.86,26.9,29.9,22.9,10,9,6.6,73.3,89.6,13.6,0.7,49,10,6.6,89.6,1,14,9,62,6,27.5,8,5,28,4,25.8,11,253,3416,5,19,206,62,33.9,15,7.75,41,50,"35",24,68.6,8,3.2,73,34,69.2,2613,20,4.9,14,50,3.4,7,6.5,10.1,237.5,91.1,32,6,5.4,-23.4,7.4,1650,1351,190,"41.9%",43,"9.5%",41,"10.1%",32,116,"25.6%",63,127,706,33.9,15,5.6,26.9,-30,279,1.9,"11","80","53","539","6","10.5"
12,"Darren Waller","TE","LVR","ATL",12.7,32,13.6,0,0,0,0,0,0,0,0,6.7,61.9,0.7,2,1,"KAN",10,7,7,88,12.57,1,100,12.57,14.8,21.8,21.8,18.3,10,8.3,6,72.3,51.9,8.7,0.5,36,6.3,6,51.9,1,15,13,73,5,35.7,8,7,24,5,32,10,275,4066,6.4,11,230,54,44,10.1,-109.46,38.5,37.5,"33",25,75.8,11,4.4,106.3,18.52,68.4,3003,22,5.9,7,35,1.9,8.4,8.7,12.3,300.3,105.9,17,7.7,8,-133.91,8.8,1848,1383,122,"29.7%",44,"10.7%",42,"11.2%",17,103,"25.1%",61,109,652,44,10.1,6,37.3,-27.9,278,2.53,"10","68","57","622","8","13.9"
12,"TJ Hockenson","TE","DET","HOU",7.9,19,11.8,0,0,0,0,0,0,0,0,5.2,57.6,0.6,1,2,"CAR",10,7,4,68,17,0,57.1,9.71,6.8,10.8,10.8,8.8,11,6.18,4.09,66.2,48.18,11.8,0.45,29,7.8,4.1,48.2,0,11,6,28,5,21.2,8,4,8,4,34.8,11,297,4505,6,8,267,47,43.5,7,-150.61,48.3,53.3,"44",27,61.4,15,4.9,154.7,-31.27,67.8,2803,20,5.3,3,35,0.8,7.8,8.5,11.5,254.8,105.4,25,6.9,7.6,-122.57,7.7,1362,1361,129,"31.2%",37,"8.9%",20,"5.3%",25,82,"19.8%",71,115,768,43.5,7,6.7,39.2,-26.9,372,2.52,"11","75","53","646","4","10.5"
12,"Hunter Henry","TE","LAC","BUF",10.1,29,9.2,0,0,0,0,0,0,0,0,4.2,46.1,0.4,2,1,"NYJ",10,7,4,48,12,1,57.1,6.86,10.8,14.8,14.8,12.8,10,6.6,4.1,62.1,43.5,10.6,0.3,24,6.6,4.1,43.5,0,9,3,7,3,20,6,3,7,3,35.3,10,265,3737,5.8,16,232,58,48,16,-102.96,46.5,54.5,"40",25,62.5,15,4.8,135,-37.85,67.9,2387,15,4.5,7,39,2.1,7.6,7.5,11.2,238.7,96.5,27,6.6,6.6,-70.7,7.2,1463,1063,140,"36.5%",22,"5.7%",27,"8.1%",27,76,"19.8%",79,100,659,48,16,6.6,37.2,-27.6,296,2.64,"10","78","59","642","6","12.6"
12,"Dallas Goedert","TE","PHI","SEA",7.1,10,9.1,0,0,0,0,0,0,0,0,4.5,50.5,0.3,1,2,"CLE",10,6,5,77,15.4,1,83.3,12.83,13.7,18.7,18.7,16.2,6,5.17,3.83,74.2,43.83,11.4,0.33,13,8.5,3.8,43.8,0,3,3,26,1,7.3,1,1,4,1,6.7,10,287,4349,6,15,270,59,47.3,12.7,-116.82,49.6,56.3,"40",28,70,15,3.6,91.2,-1.45,69.7,3437,18,4,9,49,2,8,7.9,11.5,343.7,98.4,25,7.3,7.2,-130.19,8.2,2167,1423,168,"34.2%",47,"9.6%",34,"7.6%",25,106,"21.6%",65,110,743,47.3,12.7,6.8,39.6,-26,288,2.62,"10","54","31","457","3","7.9"
12,"Evan Engram","TE","NYG","CIN",10.1,28,8.3,0,0,0,0,0,0,0,0,3.8,37.8,0.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,6.7,3.8,56.7,34.7,9.1,0.1,21,5.2,3.8,34.7,0,10,5,39,1,21.7,2,1,0,0,11.1,10,270,3909,6.1,10,226,65,43.4,8.8,-102.71,45.2,42.9,"38",27,71.1,8,5,136.2,-17.95,63,2547,22,6.3,9,47,2.6,7.4,7.5,11.8,254.7,95.6,13,7,7.1,-89.88,8.7,1513,1094,116,"30.8%",29,"7.7%",26,"7.4%",13,68,"18.0%",69,113,662,43.4,8.8,5.9,34.6,-29.4,271,2.36,"10","81","50","589","6","12.4"
12,"Rob Gronkowski","TE","TAM","KAN",8.3,22,8.3,0,0,0,0,0,0,0,0,3.2,46.1,0.4,1,1,"LAR",11,6,2,25,12.5,0,33.3,4.17,2.5,4.5,4.5,3.5,11,5,2.82,56.4,36.27,12.9,0.36,19,7.3,2.8,36.3,1,9,5,33,4,15.8,7,4,21,3,18.9,10,214,3551,5.5,15,220,61,36.9,14.6,-48.04,41.3,68.8,"29",22,75.9,10,4.6,133.5,-37.76,63.4,2216,14,4.1,10,35,2.9,6.8,6.3,10.8,221.6,84.9,19,6.2,5.7,-21.35,8.2,1065,1257,140,"36.6%",43,"11.3%",34,"10.0%",19,96,"25.1%",84,103,665,36.9,14.6,6.5,34.3,-25.7,299,2.04,"10","65","45","466","5","9.7"
12,"Kyle Rudolph","TE","MIN","CAR",7.6,16,8.2,0,0,0,0,0,0,0,0,3.1,34.7,0.5,1,1,"DAL",10,3,3,28,9.33,0,100,9.33,2.8,5.8,5.8,4.3,10,2.7,2.1,77.8,26.6,12.7,0.1,13,9.9,2.1,26.6,1,4,2,9,1,14.8,2,1,3,1,13.3,11,272,3985,5.7,14,251,61,49.1,13.2,-103.86,51.8,60,"41",24,58.5,14,4.6,116.8,-9.22,67.9,2700,16,4,5,43,1.2,6.9,7.2,10.2,245.5,95.5,16,6.4,6.6,-99.19,7.4,1745,1373,92,"21.2%",41,"9.4%",30,"7.4%",16,87,"20.0%",87,106,723,49.1,13.2,6.8,37.3,-31.1,361,2.6,"11","87","58","619","5","11.0"
12,"Hayden Hurst","TE","ATL","LVR",7.5,12,8.1,0,0,0,0,0,0,0,0,4.3,38.3,0.4,1,2,"NOR",10,2,0,0,NA,0,0,0,NA,NA,NA,NA,10,5.6,3.7,66.1,41.1,11.1,0.3,23,7.3,3.7,41.1,0,6,2,9,1,14.3,3,1,1,1,15.8,10,276,3858,6,11,240,65,49,10.2,-127.01,48,84.6,"41",27,65.9,16,4.4,112.2,-30.08,63.4,2736,16,4.2,8,48,2.1,7.3,7.2,11.6,273.6,90.6,11,7,6.9,-104.35,7.8,1695,1286,79,"19.2%",49,"11.9%",28,"7.3%",11,88,"21.4%",87,98,666,49,10.2,6.8,39.4,-27.4,292,2.78,"10","78","47","523","4","9.8"
12,"Austin Hooper","TE","CLE","JAX",9.8,26,8.1,0,0,0,0,0,0,0,0,4.1,42.4,0.3,2,1,"PHI",10,5,3,33,11,0,60,6.6,3.3,6.3,6.3,4.8,8,5,3.25,65,31.12,9.6,0.12,14,6.2,3.3,31.1,0,3,1,1,1,10.7,3,1,1,1,17.6,10,298,4113,6.3,10,237,50,48.7,8.8,-140.25,42.2,70,"37",22,59.5,13,4.3,129.1,-1.55,70.1,2822,21,6,8,41,2.3,8.2,8.4,11.8,282.2,105.4,9,7.9,8.1,-143.69,8.3,1472,1458,118,"31.2%",30,"7.9%",34,"9.8%",9,73,"19.3%",69,113,681,48.7,8.8,6,36.4,-31,291,2.66,"10","63","41","557","8","12.4"
