"proj_week","proj_player","proj_pos","proj_tm","proj_opp","proj_afpa","proj_afpa_rk","proj_ffpts","proj_comp","proj_pass_att","proj_pass_yds","proj_pass_td","proj_int","proj_rush_att","proj_rush_yds","proj_rush_td","proj_rec","proj_rec_yds","proj_rec_td","proj_field","prev_wk_field","prev_wk_opp","prev_wk_g#","prev_wk_rec_tgt","prev_wk_rec_rec","prev_wk_rec_yds","prev_wk_rec_yds_per_rec","prev_wk_rec_td","prev_wk_rec_ctch_per","prev_wk_rec_yds_per_tgt","prev_wk_fantasy_fantpt","prev_wk_fantasy_ppr","prev_wk_fantasy_dkpt","prev_wk_fantasy_fdpt","ytd_rec_g","ytd_rec_target","ytd_rec_rec","ytd_rec_ctch_per","ytd_rec_yds","ytd_rec_yds_per_rec","ytd_rec_td","ytd_rec_1d","ytd_rec_yds_per_target","ytd_rec_rec_per_gm","ytd_rec_yds_per_gm","ytd_rec_fmb","receiving_twenty_tgt","receiving_twenty_rec","receiving_twenty_yds","receiving_twenty_td","receiving_twenty_per_tgt","receiving_ten_tgt","receiving_ten_rec","receiving_ten_yds","receiving_ten_td","receiving_ten_per_tgt","def_tot_g","def_tot_pf","def_tot_yds","def_tot_yds_per_play","def_tot_to","def_tot_first_dn","def_penalties_pen","def_tot_sc_per","def_tot_to_per","def_tot_exp","def_third_d_per","def_fourth_d_per","def_red_zone_att","def_red_zone_td","def_red_zone_pct","def_rush_td","def_rush_yds_per_att","def_rush_yds_per_gm","def_rush_exp","def_pass_comp_per","def_pass_yds","def_pass_td","def_pass_td_per","def_pass_int","def_pass_defended","def_pass_int_per","def_pass_yds_per_att","def_pass_ayds_per_att","def_pass_yds_per_catch","def_pass_yds_per_gm","def_pass_qb_rating_allowed","def_pass_sacks","def_pass_net_yds_per_att","def_pass_adj_net_yds_per_att","def_pass_exp","def_adv_dadot","def_adv_air","def_adv_yac","def_adv_bltz","def_adv_bltz_per","def_adv_hrry","def_adv_hrry_per","def_adv_qbkd","def_adv_qbkd_per","def_adv_sk","def_adv_prss","def_adv_prss_per","def_adv_mtkl","def_num_dr","def_plays","def_sc_per","def_to_per","def_avg_drive_plays","def_avg_drive_yds","def_avg_drive_start","def_avg_drive_time","def_avg_drive_pts","pts_vs_g","pts_vs_rec_tgt","pts_vs_rec_rec","pts_vs_rec_yds","pts_vs_rec_td","pts_vs_fantasy_per_game_fdpt","vs_cb_pos","vs_cb_tar ","vs_cb_c ","vs_cb_ypr","vs_cb_fpt","vs_cb_shad","vs_cb_matchup"
12,"Davante Adams","WR","GNB","CHI",18,2,17.2,0,0,0,0,0,0,0,0,7.7,89.8,0.7,1,2,"IND",10,9,7,106,15.14,1,77.8,11.78,16.6,23.6,26.6,20.1,8,11.25,8.5,75.6,105.88,12.5,1.25,44,9.4,8.5,105.9,1,16,13,65,7,33.3,12,10,43,7,40,10,209,3401,5.2,11,205,64,37,9.2,-12.02,33.3,66.7,"34",15,44.1,6,4,115.1,21.14,61.1,2250,12,3.4,6,45,1.7,6.8,6.7,11.1,225,85.7,21,6.1,6,-34.58,8.5,1457,1064,83,"21.4%",28,"7.2%",28,"8.0%",21,77,"19.8%",60,119,690,37,9.2,5.8,28.6,-29.9,275,1.71,"10","188","109","1466","5","23.4","Right Corner",13.5,47.2,"17.72","1.53","N","neutral"
12,"Tyreek Hill","WR","KAN","TAM",24.8,19,16.3,0,0,0,0,0,1.1,5.6,0.1,5.2,75.6,0.8,2,2,"LVR",10,14,11,102,9.27,1,78.6,7.29,16,27,30,21.5,10,8.6,5.5,64,75.2,13.7,1,36,8.7,5.5,75.2,1,13,9,53,5,25.5,9,7,30,5,29,11,253,3416,5,19,206,62,33.9,15,7.75,41,50,"35",24,68.6,8,3.2,73,34,69.2,2613,20,4.9,14,50,3.4,7,6.5,10.1,237.5,91.1,32,6,5.4,-23.4,7.4,1650,1351,190,"41.9%",43,"9.5%",41,"10.1%",32,116,"25.6%",63,127,706,33.9,15,5.6,26.9,-30,279,1.9,"11","225","155","1795","11","29.7","Slot Corner",8.9,77.4,"14.08","2.45","N","plus"
12,"Keenan Allen","WR","LAC","BUF",20.5,7,15.7,0,0,0,0,0,0,0,0,7.6,86.7,0.6,2,1,"NYJ",10,19,16,145,9.06,1,84.2,7.63,18.5,34.5,38.5,26.5,10,11.2,8.1,72.3,83.5,10.3,0.6,50,7.5,8.1,83.5,3,11,8,95,5,24.4,2,1,9,1,11.8,10,265,3737,5.8,16,232,58,48,16,-102.96,46.5,54.5,"40",25,62.5,15,4.8,135,-37.85,67.9,2387,15,4.5,7,39,2.1,7.6,7.5,11.2,238.7,96.5,27,6.6,6.6,-70.7,7.2,1463,1063,140,"36.5%",22,"5.7%",27,"8.1%",27,76,"19.8%",79,100,659,48,16,6.6,37.2,-27.6,296,2.64,"10","192","127","1538","9","27.7","Slot Corner",13.4,70.7,"12.41","1.73","N","plus"
12,"DK Metcalf","WR","SEA","PHI",25.2,22,15.3,0,0,0,0,0,0,0,0,4.6,86.9,0.7,2,1,"ARI",10,5,3,46,15.33,1,60,9.2,10.6,13.6,13.6,12.1,10,7.7,4.8,62.3,86.2,18,0.9,37,11.2,4.8,86.2,1,10,6,37,4,18.2,7,3,15,3,21.9,10,254,3427,5.1,11,216,72,36,8,-26.89,38.1,41.7,"32",21,65.6,15,4.2,133.4,7.67,66.2,2093,13,4,3,29,0.9,7.1,7.5,10.8,209.3,96.3,34,5.8,6.1,-34.81,7.7,1327,1077,90,"24.1%",31,"8.3%",29,"8.8%",34,94,"25.2%",69,125,697,36,8,5.6,27.3,-31.6,273,1.98,"10","191","125","1471","7","28.4","Right Corner",13.7,67.4,"12.58","1.65","Y","plus"
12,"Stefon Diggs","WR","BUF","LAC",23,12,15,0,0,0,0,0,0,0,0,7.1,86.4,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10.1,7.3,72.3,90.6,12.4,0.4,39,9,7.3,90.6,0,7,5,33,2,15.2,3,2,8,2,12.5,10,273,3440,5.6,9,192,61,43.8,7.1,-36.9,40,42.9,"33",20,60.6,10,4.6,115.3,6.5,62.1,2287,20,5.7,5,35,1.4,6.8,7.3,10.9,228.7,95.2,17,6.2,6.7,-52.1,9.1,1700,956,61,"15.7%",43,"11.1%",30,"8.5%",17,90,"23.2%",68,112,638,43.8,7.1,5.7,30.7,-32.6,273,2.38,"10","180","109","1514","9","26.3","Left Corner",16.3,45.6,"17.92","1.59","N","plus"
12,"Calvin Ridley","WR","ATL","LVR",23,11,15,0,0,0,0,0,0,0,0,5.4,81.9,0.7,1,2,"NOR",10,9,5,90,18,0,55.6,10,9,14,14,11.5,9,8.56,5.33,62.3,83,15.6,0.67,37,9.7,5.3,83,0,12,7,59,5,28.6,7,4,22,4,36.8,10,276,3858,6,11,240,65,49,10.2,-127.01,48,84.6,"41",27,65.9,16,4.4,112.2,-30.08,63.4,2736,16,4.2,8,48,2.1,7.3,7.2,11.6,273.6,90.6,11,7,6.9,-104.35,7.8,1695,1286,79,"19.2%",49,"11.9%",28,"7.3%",11,88,"21.4%",87,98,666,49,10.2,6.8,39.4,-27.4,292,2.78,"10","200","132","1753","10","31.0","Left Corner",11.2,61,"13.24","1.71","N","plus"
12,"DeAndre Hopkins","WR","ARI","NWE",25.5,23,14.9,0,0,0,0,0,0,0,0,6.9,86.1,0.5,2,2,"SEA",10,8,5,51,10.2,0,62.5,6.38,5.1,10.1,10.1,7.6,10,9.6,7.2,75,91.2,12.7,0.4,47,9.5,7.2,91.2,1,6,3,11,1,18.2,5,2,1,1,25,10,238,3579,6.2,15,204,53,45.8,15.6,-81.24,42.5,33.3,"32",20,62.5,9,4.3,121.8,-9.17,69.1,2361,16,5.7,11,34,3.9,8.7,8.1,12.6,236.1,98.6,13,8,7.4,-74.92,9.5,1259,1147,86,"26.5%",49,"15.1%",22,"7.8%",13,84,"25.9%",58,96,596,45.8,15.6,6.2,37,-26.2,364,2.42,"10","163","108","1577","12","28.3","Right Corner",11.6,59.3,"13.75","1.63","Y","plus"
12,"Tyler Lockett","WR","SEA","PHI",25.2,22,14.9,0,0,0,0,0,0,0,0,6.6,78.2,0.7,2,1,"ARI",10,9,9,67,7.44,1,100,7.44,12.7,21.7,21.7,17.2,10,8.8,6.7,76.1,74.8,11.2,0.8,38,8.5,6.7,74.8,0,11,9,46,6,20,7,6,16,5,21.9,10,254,3427,5.1,11,216,72,36,8,-26.89,38.1,41.7,"32",21,65.6,15,4.2,133.4,7.67,66.2,2093,13,4,3,29,0.9,7.1,7.5,10.8,209.3,96.3,34,5.8,6.1,-34.81,7.7,1327,1077,90,"24.1%",31,"8.3%",29,"8.8%",34,94,"25.2%",69,125,697,36,8,5.6,27.3,-31.6,273,1.98,"10","191","125","1471","7","28.4","Slot Corner",8.6,75,"13.20","2.04","N","plus"
12,"Terry McLaurin","WR","WAS","DAL",32.6,32,14.8,0,0,0,0,0,0.2,2.2,0,5.7,89.9,0.5,2,1,"CIN",10,7,5,84,16.8,0,71.4,12,8.4,13.4,13.4,10.9,11,9.27,6.27,67.6,87.55,14,0.27,43,9.4,6.3,87.5,1,9,4,21,0,25.7,1,1,1,0,8.3,11,359,4202,5.8,10,248,62,46.8,8.1,-116.05,49.7,46.2,"40",27,67.5,15,4.9,156.4,-47.21,63.8,2482,25,7.1,4,28,1.1,7.4,8.3,11.6,225.6,105.1,22,6.7,7.5,-78.53,8.6,1315,1074,95,"24.4%",37,"9.5%",28,"8.0%",22,87,"22.3%",70,124,743,46.8,8.1,6,33.9,-32.4,290,2.69,"11","207","136","1909","19","35.9",NA,NA,NA,NA,NA,NA,NA
12,"Justin Jefferson","WR","MIN","CAR",18.1,3,14.6,0,0,0,0,0,0,0,0,5.5,90.7,0.5,1,1,"DAL",10,5,3,86,28.67,1,60,17.2,14.6,17.6,17.6,16.1,10,5.9,4.5,76.3,84.8,18.8,0.4,32,14.4,4.5,84.8,0,2,2,16,1,7.4,1,1,5,0,6.7,11,272,3985,5.7,14,251,61,49.1,13.2,-103.86,51.8,60,"41",24,58.5,14,4.6,116.8,-9.22,67.9,2700,16,4,5,43,1.2,6.9,7.2,10.2,245.5,95.5,16,6.4,6.6,-99.19,7.4,1745,1373,92,"21.2%",41,"9.4%",30,"7.4%",16,87,"20.0%",87,106,723,49.1,13.2,6.8,37.3,-31.1,361,2.6,"11","208","142","1661","8","25.7","Right Corner",15.3,62.9,"11.23","1.85","N","plus"
