"team","home_or_away","line","total","favorite","implied_total"
"LAC","home",0,47,1,23.5
"NYJ","home",6.5,44.5,0,19
"HOU","home",-7.5,45,1,26.25
"PIT","home",0,42.5,0,21.25
"JAX","home",8,47,0,19.5
"WAS","home",1,42,0,20.5
"BAL","home",-10,44,1,27
"KAN","home",-10.5,53,1,31.75
"SEA","home",-1,47.5,1,24.25
"DAL","home",3,50,0,23.5
"DEN","away",0,47,0,23.5
"CLE","away",-6.5,44.5,1,25.5
"CIN","away",7.5,45,0,18.75
"IND","away",0,42.5,0,21.25
"CHI","away",-8,47,1,27.5
"CAR","away",-1,42,1,21.5
"NYG","away",10,44,0,17
"ATL","away",10.5,53,0,21.25
"LAR","away",1,47.5,0,23.25
"PHI","away",-3,50,1,26.5
