"","vs_cb_wr","vs_cb_pos","vs_cb_tar ","vs_cb_c ","vs_cb_ypr","vs_cb_fpt","vs_cb_shad","vs_cb_matchup"
"1","DeAndre Hopkins","Right Corner",13.7,44.7,"14.14","1.46","N","neutral"
"2","Larry Fitzgerald","Slot Corner",10,62.9,"11.09","1.33","N","minus"
"3","Christian Kirk","Left Corner",9.5,59.2,"9.38","1.27","N","minus"
"4","Julio Jones","Right Corner",15.6,51.9,"12.86","1.41","N","neutral"
"5","Russell Gage","Slot Corner",8.6,71.4,"8.90","1.78","N","plus"
"6","Calvin Ridley","Left Corner",13.1,52.7,"12.10","1.41","N","neutral"
"7","Miles Boykin","Right Corner",13,62,"15.00","1.55","N","plus"
"8","Willie Snead","Slot Corner",13.3,43.3,"10.08","0.87","N","minus"
"9","Marquise Brown","Left Corner",16.9,44.3,"14.94","1.19","Y","minus"
"10","John Brown","Right Corner",10.2,54.2,"12.31","1.46","N","neutral"
"11","Cole Beasley","Slot Corner",10.8,50,"9.68","1.10","N","minus"
"12","Stefon Diggs","Left Corner",14.1,60,"16.25","1.98","N","plus"
"13","DJ Moore","Right Corner",NA,NA,"-","-","N","plus"
"14","Curtis Samuel","Slot Corner",11.2,63,"10.59","1.69","N","plus"
"15","Robby Anderson","Left Corner",14.8,50.9,"13.86","1.42","N","neutral"
"16","Allen Robinson","Right Corner",NA,NA,"-","-","N","plus"
"17","Anthony Miller","Slot Corner",15.1,59.3,"13.73","1.76","N","plus"
"18","Ted Ginn","Left Corner",10.9,61.3,"16.84","2.42","N","plus"
"19","AJ Green","Right Corner",8.7,59.1,"11.42","1.81","Y","plus"
"20","Tyler Boyd","Slot Corner",9.7,63.8,"17.05","2.14","N","plus"
"21","John Ross","Left Corner",12.2,54.8,"13.09","1.26","N","minus"
"22","Odell Beckham","Right Corner",16.9,50,"11.59","1.22","N","minus"
"23","Jarvis Landry","Slot Corner",14.3,48.7,"10.26","1.22","N","minus"
"24","Rashard Higgins","Left Corner",13.7,53.2,"13.48","1.55","N","plus"
"25","Michael Gallup","Right Corner",16.2,40,"13.15","1.17","N","minus"
"26","CeeDee Lamb","Slot Corner",14.7,64.7,"14.82","1.96","N","plus"
"27","Amari Cooper","Left Corner",12.7,62.1,"13.33","1.55","N","plus"
"28","Courtland Sutton","Right Corner",11.4,55,"14.41","1.79","N","plus"
"29","Jerry Jeudy","Slot Corner",NA,NA,"-","-","N","plus"
"30","Tim Patrick","Left Corner",11.3,58.5,"12.42","1.46","Y","neutral"
"31","Kenny Golladay","Right Corner",NA,NA,"-","-","N","plus"
"32","Danny Amendola","Slot Corner",12.6,60.3,"10.26","1.64","N","plus"
"33","Marvin Jones","Left Corner",13.4,62.7,"14.08","1.73","N","plus"
"34","Davante Adams","Right Corner",8.3,62.5,"13.00","1.44","Y","neutral"
"35","Allen Lazard","Slot Corner",19.8,57.8,"12.49","1.58","N","plus"
"36","Marquez ValdesScantling","Left Corner",NA,NA,"-","-","N","plus"
"37","Brandin Cooks","Right Corner",12.7,43.8,"15.71","1.20","N","minus"
"38","Randall Cobb","Slot Corner",8.9,53.8,"9.86","1.30","N","minus"
"39","Will Fuller","Left Corner",12.4,40,"11.50","1.26","N","minus"
"40","TY Hilton","Right Corner",NA,NA,"-","-","Y","plus"
"41","Parris Campbell","Slot Corner",8,44.8,"9.85","0.89","N","minus"
"42","Michael Pittman","Left Corner",13.8,47.8,"17.24","1.56","Y","plus"
"43","Chris Conley","Right Corner",9.6,68,"15.59","1.98","N","plus"
"44","Dede Westbrook","Slot Corner",12.3,66.7,"11.21","1.56","N","plus"
"45","DJ Chark","Left Corner",13,77,"12.74","2.15","N","plus"
"46","Sammy Watkins","Right Corner",14.4,60.9,"14.32","2.00","N","plus"
"47","Mecole Hardman","Slot Corner",16.2,66.7,"10.00","1.33","N","minus"
"48","Tyreek Hill","Left Corner",14,55.2,"13.75","1.52","N","neutral"
"49","Joe Reed","Right Corner",11.8,45.1,"14.74","1.23","N","minus"
"50","Keenan Allen","Slot Corner",11.4,59.5,"10.08","1.48","N","neutral"
"51","Jalen Guyton","Left Corner",16.4,33.3,"27.00","2.23","N","plus"
"52","Van Jefferson","Right Corner",NA,NA,"-","-","N","plus"
"53","Cooper Kupp","Slot Corner",11,56.1,"16.43","1.63","N","plus"
"54","Robert Woods","Left Corner",14.2,58.1,"13.88","1.60","N","plus"
"55","Bryan Edwards","Right Corner",13.4,56.6,"18.47","2.18","N","plus"
"56","Hunter Renfrow","Slot Corner",NA,NA,"-","-","N","plus"
"57","Henry Ruggs","Left Corner",13.9,44.2,"19.74","1.89","N","plus"
"58","DeVante Parker","Right Corner",14.9,45.3,"14.05","1.16","Y","minus"
"59","Jakeem Grant","Slot Corner",15,55.6,"12.83","1.74","Y","plus"
"60","Preston Williams","Left Corner",13.4,43.1,"9.20","0.83","Y","minus"
"61","Olabisi Johnson","Right Corner",14.9,54.8,"17.93","1.78","N","plus"
"62","Justin Jefferson","Slot Corner",9.1,28.6,"12.33","0.64","N","minus"
"63","Adam Thielen","Left Corner",16,48.5,"14.87","1.51","Y","neutral"
"64","NKeal Harry","Right Corner",10.1,53.7,"11.34","1.48","N","neutral"
"65","Julian Edelman","Slot Corner",NA,NA,"-","-","N","plus"
"66","Damiere Byrd","Left Corner",15.8,56.5,"12.46","1.79","N","plus"
"67","Michael Thomas","Right Corner",16.5,47.5,"12.81","1.44","N","neutral"
"68","TreQuan Smith","Slot Corner",11.9,66,"11.77","1.89","N","plus"
"69","Emmanuel Sanders","Left Corner",16.2,44.2,"13.79","1.47","N","neutral"
"70","Darius Slayton","Right Corner",11.5,46.8,"14.17","1.13","N","minus"
"71","Golden Tate","Slot Corner",12.9,60.9,"14.25","1.87","N","plus"
"72","Sterling Shepard","Left Corner",13.4,51.3,"11.03","1.47","N","neutral"
"73","Chris Hogan","Right Corner",12.8,65,"17.08","2.66","N","plus"
"74","Jamison Crowder","Slot Corner",9.7,51.6,"11.69","1.31","N","minus"
"75","Breshad Perriman","Left Corner",13.8,51.3,"11.43","1.10","N","minus"
"76","JJ ArcegaWhiteside","Right Corner",17.8,60.3,"17.91","2.20","N","plus"
"77","Greg Ward","Slot Corner",7.4,73.9,"12.12","2.42","N","plus"
"78","DeSean Jackson","Left Corner",10.7,73.2,"12.67","2.10","N","plus"
"79","Diontae Johnson","Right Corner",19.4,68.6,"14.63","2.37","N","plus"
"80","JuJu SmithSchuster","Slot Corner",13.2,58.5,"13.67","1.82","N","plus"
"81","James Washington","Left Corner",13.1,54.7,"12.68","1.32","N","minus"
"82","Kendrick Bourne","Right Corner",15.3,64,"12.56","1.92","N","plus"
"83","Trent Taylor","Slot Corner",14.2,65.6,"10.48","1.92","N","plus"
"84","Brandon Aiyuk","Left Corner",13.7,56.9,"13.91","1.77","N","plus"
"85","DK Metcalf","Right Corner",14.9,60.5,"15.73","1.85","N","plus"
"86","Tyler Lockett","Slot Corner",10.5,41.4,"10.50","1.06","N","minus"
"87","Phillip Dorsett","Left Corner",NA,NA,"-","-","N","plus"
"88","Mike Evans","Right Corner",15.9,48.8,"15.13","1.52","Y","neutral"
"89","Chris Godwin","Slot Corner",7.9,60.7,"10.24","1.44","N","neutral"
"90","Scott Miller","Left Corner",12.4,50,"14.24","1.48","N","neutral"
"91","AJ Brown","Right Corner",15.9,66.3,"14.65","1.85","N","plus"
"92","Adam Humphries","Slot Corner",NA,NA,"-","-","N","plus"
"93","Corey Davis","Left Corner",NA,NA,"-","-","N","plus"
"94","Terry McLaurin","Right Corner",15.5,52.6,"14.88","1.55","N","plus"
"95","Steven Sims","Slot Corner",8.5,52.4,"12.50","1.32","N","minus"
"96","Antonio GandyGolden","Left Corner",14,53.8,"12.75","1.34","Y","minus"
