"Day","Tm","WR","Pos","Opp","CB","M/U","Tar %","C %","YPR","YPT","FP/T","Shad","( /-)"
"Sun","ARI","KeeSean Johnson","LWR","SF","Ahkello Witherspoon","1","14.7%","31.3%","23.40","7.31","1.42","N","N"
"Sun","ARI","Larry Fitzgerald","SWR","SF","K'Waun Williams","1","13.3%","68.2%","10.60","7.23","1.40","N","N"
"Sun","ARI","Christian Kirk","RWR","SF","Richard Sherman","1","12.7%","60.0%","9.17","5.50","1.35","N","-"
"Sun","ATL","Julio Jones","LWR","CAR","James Bradberry","16","13.8%","52.3%","12.70","6.64","1.19","Y","-"
"Sun","ATL","Russell Gage","SWR","CAR","Ross Cockrell","16","14.0%","43.9%","16.28","7.15","1.30","N","-"
"Sun","ATL","Calvin Ridley","RWR","CAR","Donte Jackson","16","14.9%","48.4%","13.27","6.42","1.51","N","N"
"Sun","BAL","Miles Boykin","LWR","HOU","Gareon Conley","30","14.5%","60.0%","19.29","11.58","2.66","N"," "
"Sun","BAL","Willie Snead","SWR","HOU","Bradley Roby","30","14.6%","51.4%","14.22","7.31","1.42","N","N"
"Sun","BAL","Marquise Brown","RWR","HOU","Johnathan Joseph","30","17.8%","68.2%","12.87","8.77","1.83","N"," "
"Sun","BUF","John Brown","LWR","MIA","Ryan Lewis","28","14.0%","57.1%","15.25","8.71","1.87","N"," "
"Sun","BUF","Cole Beasley","SWR","MIA","Chris Lammons","28","18.7%","57.1%","19.00","10.86","2.09","N"," "
"Sun","BUF","Isaiah McKenzie","RWR","MIA","Nik Needham","28","18.1%","48.0%","11.83","5.68","1.29","N","-"
"Sun","CAR","D.J. Moore","LWR","ATL","Isaiah Oliver","29","17.4%","70.0%","13.74","9.62","2.14","N"," "
"Sun","CAR","Jarius Wright","SWR","ATL","Kendall Sheffield","29","13.2%","63.6%","12.43","7.91","1.43","N","-"
"Sun","CAR","Curtis Samuel","RWR","ATL","Desmond Trufant","29","11.7%","55.6%","18.20","10.11","2.90","N"," "
"Sun","CHI","Allen Robinson","LWR","LAR","Jalen Ramsey","15","15.6%","65.8%","12.80","8.42","1.66","Y"," "
"Sun","CHI","Anthony Miller","SWR","LAR","Nickell Robey-Coleman","8","9.3%","53.8%","12.50","6.73","1.44","N","N"
"Sun","CHI","Taylor Gabriel","RWR","LAR","Troy Hill","8","16.0%","44.0%","12.09","5.32","1.21","N","-"
"Sun","CIN","Auden Tate","LWR","OAK","Daryl Worley","31","15.8%","46.9%","15.52","7.29","1.57","N","N"
"Sun","CIN","Tyler Boyd","SWR","OAK","Nevin Lawson","31","12.9%","50.0%","12.00","6.00","1.10","N","-"
"Sun","CIN","Alex Erickson","RWR","OAK","Trayvon Mullen","31","13.1%","60.0%","16.08","9.65","1.87","N"," "
"Thu","CLE","Odell Beckham","LWR","PIT","Steven Nelson","20","11.6%","54.3%","12.63","6.86","1.23","N","-"
"Thu","CLE","Rashard Higgins","SWR","PIT","Mike Hilton","20","13.0%","64.0%","11.75","7.52","1.87","N"," "
"Thu","CLE","Jarvis Landry","RWR","PIT","Joe Haden","20","12.4%","58.5%","11.83","6.93","1.42","N","N"
"Sun","DAL","Michael Gallup","LWR","DET","Rashaan Melvin","27","15.4%","57.7%","15.93","9.19","1.73","N"," "
"Sun","DAL","Randall Cobb","SWR","DET","Justin Coleman","27","17.5%","62.1%","12.58","7.81","1.82","N"," "
"Sun","DAL","Amari Cooper","RWR","DET","Darius Slay","27","11.0%","50.0%","16.17","8.08","1.56","N","N"
"Sun","DEN","Courtland Sutton","LWR","MIN","Xavier Rhodes","24","14.4%","78.0%","10.05","7.84","1.92","N"," "
"Sun","DEN","DaeSean Hamilton","SWR","MIN","Mike Hughes","24","18.9%","56.4%","12.27","6.92","1.56","N","N"
"Sun","DEN","Diontae Spencer","RWR","MIN","Trae Waynes","24","18.2%","66.1%","11.62","7.68","1.86","N"," "
"Sun","DET","Kenny Golladay","LWR","DAL","Byron Jones","9","12.4%","57.1%","12.10","6.91","1.43","N","-"
"Sun","DET","Danny Amendola","SWR","DAL","Jourdan Lewis","9","5.9%","44.4%","16.25","7.22","1.17","N","-"
"Sun","DET","Marvin Jones","RWR","DAL","Chidobe Awuzie","9","16.2%","55.6%","15.63","8.69","1.65","N"," "
"Sun","HOU","DeAndre Hopkins","LWR","BAL","Jimmy Smith","19","13.0%","66.7%","9.33","6.22","1.96","N"," "
"Sun","HOU","Kenny Stills","SWR","BAL","Marlon Humphrey","19","15.0%","47.9%","14.96","7.17","1.45","N","N"
"Sun","HOU","Will Fuller","RWR","BAL","Marcus Peters","19","13.0%","55.8%","14.33","8.00","1.64","N"," "
"Sun","IND","Marcus Johnson","LWR","JAX","Tre Herndon","15","17.5%","48.9%","15.82","7.73","1.53","N","N"
"Sun","IND","Chester Rogers","SWR","JAX","D.J. Hayden","15","9.0%","52.6%","8.90","4.68","0.99","N","-"
"Sun","IND","Zach Pascahl","RWR","JAX","A.J. Bouye","15","16.3%","64.0%","13.28","8.50","1.61","Y"," "
"Sun","JAX","Chris Conley","LWR","IND","Rock Ya-Sin","13","11.4%","66.7%","17.36","11.58","2.19","N"," "
"Sun","JAX","Dede Westbrook","SWR","IND","Kenny Moore II","13","13.8%","61.8%","10.05","6.21","1.24","N","-"
"Sun","JAX","D.J. Chark","RWR","IND","Pierre Desir","13","15.6%","57.1%","17.00","9.71","1.76","N"," "
