"","vs_cb_wr","vs_cb_pos","vs_cb_tar ","vs_cb_c ","vs_cb_ypr","vs_cb_fpt","vs_cb_shad","vs_cb_matchup"
"1","DeAndre Hopkins","Right Corner",8.6,56.1,11.17,1.33,"Y","minus"
"2","Larry Fitzgerald","Slot Corner",8.4,74.1,11.85,1.84,"N","plus"
"3","Christian Kirk","Left Corner",19,25,11,0.53,"N","minus"
"4","Christian Blake","Right Corner",14.9,55.6,12.87,1.64,"Y","plus"
"5","Russell Gage","Slot Corner",8.3,73,13.59,2.21,"N","plus"
"6","Calvin Ridley","Left Corner",12.6,55.6,11.56,1.86,"N","plus"
"7","Dez Bryant","Right Corner",18.5,60,10.67,2.44,"N","plus"
"8","Willie Snead","Slot Corner",16.7,8.3,15,2.08,"N","plus"
"9","Devin Duvernay","Left Corner",18.2,71.4,14.4,2.6,"N","plus"
"10","Gabriel Davis","Right Corner",14.6,58.3,15.94,1.81,"N","plus"
"11","Cole Beasley","Slot Corner",5.9,66.7,10.25,1.35,"N","minus"
"12","Stefon Diggs","Left Corner",13.9,56.3,9.67,1.11,"N","minus"
"13","DJ Moore","Right Corner",13.1,41.8,11.39,1.11,"Y","minus"
"14","Curtis Samuel","Slot Corner",10.1,54.1,11.8,1.34,"N","minus"
"15","Robby Anderson","Left Corner",10.8,51.6,14.06,1.63,"Y","plus"
"16","Allen Robinson","Right Corner",18.9,55.6,12.47,1.69,"N","plus"
"17","Anthony Miller","Slot Corner",14.7,64.1,12.78,2.02,"N","plus"
"18","Darnell Mooney","Left Corner",12.6,66.7,10.83,2.06,"N","plus"
"19","AJ Green","Right Corner",13.4,53.2,12.91,1.8,"N","plus"
"20","Tyler Boyd","Slot Corner",11.1,60,11.53,1.53,"N","neutral"
"21","Tee Higgins","Left Corner",14.5,44.6,12.9,1.21,"N","minus"
"22","Rashard Higgins","Right Corner",2.5,77.8,8.57,2.11,"N","plus"
"23","Jarvis Landry","Slot Corner",12.9,50,4,0.7,"N","minus"
"24","Khadarel Hodge","Left Corner",10.3,57.6,14.95,2.16,"N","plus"
"25","Michael Gallup","Right Corner",11.3,69,10.48,1.56,"N","neutral"
"26","CeeDee Lamb","Slot Corner",17.5,56.3,13.89,1.84,"N","plus"
"27","Amari Cooper","Left Corner",9.8,56.3,13,2.04,"N","plus"
"28","Jerry Jeudy","Right Corner",10.6,52,13.27,1.57,"N","neutral"
"29","KJ Hamler","Slot Corner",13.2,64.8,12.46,1.57,"N","neutral"
"30","Tim Patrick","Left Corner",14.7,56.5,13.85,1.74,"N","plus"
"31","Mohamed Sanu","Right Corner",15.1,71.4,10.4,2.31,"N","plus"
"32","Danny Amendola","Slot Corner",7.3,64.3,10.83,1.55,"N","neutral"
"33","Marvin Jones","Left Corner",15.9,59.8,11.15,1.47,"Y","neutral"
"34","Marquez ValdesScantling","Right Corner",14.7,59.5,11.23,1.75,"N","plus"
"35","Allen Lazard","Slot Corner",9.3,65.4,11.88,1.66,"N","plus"
"36","Davante Adams","Left Corner",14,60.3,13.26,2.02,"N","plus"
"37","Chad Hansen","Right Corner",13.5,40,16.09,1.37,"N","minus"
"38","Keke Coutee","Slot Corner",11.9,52.9,12.52,1.31,"N","minus"
"39","Brandin Cooks","Left Corner",12.6,63.4,12.81,1.59,"N","neutral"
"40","Michael Pittman Jr","Right Corner",15.3,62.7,13.93,1.77,"N","plus"
"41","Zach Pascal","Slot Corner",8.6,70,13,2.21,"N","plus"
"42","TY Hilton","Left Corner",18.7,62.1,15,2.59,"N","plus"
"43","DJ Chark","Right Corner",9.8,75,4.33,2.58,"N","plus"
"44","Keelan Cole","Slot Corner",15.8,63.8,9.14,1.31,"N","minus"
"45","Laviska Shenault","Left Corner",11.6,58.6,13.38,1.68,"N","plus"
"46","Demarcus Robinson","Right Corner",14.7,60.7,15.03,2.06,"N","plus"
"47","Tyreek Hill","Slot Corner",12.9,52.7,11.34,1.23,"N","minus"
"48","Sammy Watkins","Left Corner",13.3,49,13.54,1.28,"N","minus"
"49","Tyron Johnson","Right Corner",11.5,73.7,17.07,2.31,"N","plus"
"50","Keenan Allen","Slot Corner",12.9,65.1,11.32,1.53,"N","neutral"
"51","Jalen Guyton","Left Corner",11.2,54.9,13.68,1.54,"N","neutral"
"52","Josh Reynolds","Right Corner",13.3,61.5,11,1.6,"N","plus"
"53","Cooper Kupp","Slot Corner",8.8,80,9.5,1.56,"N","neutral"
"54","Robert Woods","Left Corner",16.1,65.6,11.19,1.77,"N","plus"
"55","Nelson Agholor","Right Corner",14,58.5,11.47,1.44,"N","neutral"
"56","Hunter Renfrow","Slot Corner",10.1,60,19.58,2.98,"N","plus"
"57","Zay Jones","Left Corner",15.8,48.4,17.45,1.61,"N","plus"
"58","DeVante Parker","Right Corner",11.4,59,12.96,1.51,"Y","neutral"
"59","Lynn Bowden","Slot Corner",18.1,58.3,10.63,1.6,"N","plus"
"60","Mack Hollins","Left Corner",13.7,50.9,14.11,1.57,"N","neutral"
"61","Justin Jefferson","Right Corner",12.9,50,15.69,1.75,"N","plus"
"62","Chad Beebe","Slot Corner",14.6,75,11.41,2.07,"N","plus"
"63","Adam Thielen","Left Corner",12.3,52.4,12.03,1.44,"N","neutral"
"64","Damiere Byrd","Right Corner",11.1,56.1,13.35,1.46,"N","neutral"
"65","Jakobi Meyers","Slot Corner",13.3,59.1,13.23,1.37,"N","minus"
"66","NKeal Harry","Left Corner",14.3,43.1,15.96,1.49,"N","neutral"
"67","Deonte Harris","Right Corner",11.7,50,12.6,1.73,"N","plus"
"68","TreQuan Smith","Slot Corner",15.4,55.6,10,1.11,"N","minus"
"69","Emmanuel Sanders","Left Corner",10.9,57.1,12.83,1.88,"N","plus"
"70","Darius Slayton","Right Corner",13.1,55.2,11.76,1.38,"N","minus"
"71","Golden Tate","Slot Corner",9.7,66.7,10.83,1.61,"N","plus"
"72","Sterling Shepard","Left Corner",14.1,50,11.21,1.49,"N","neutral"
"73","Denzel Mims","Right Corner",10.8,48.1,10.04,1.31,"Y","minus"
"74","Jamison Crowder","Slot Corner",10.9,64.2,10.82,1.45,"N","neutral"
"75","Breshad Perriman","Left Corner",11.6,44.4,13.29,1.15,"N","minus"
"76","Alshon Jeffery","Right Corner",16.9,65.2,9.88,1.48,"N","neutral"
"77","Greg Ward","Slot Corner",14.1,57.7,11.77,1.37,"N","minus"
"78","Jalen Reagor","Left Corner",10.7,63.2,14.08,2.05,"N","plus"
"79","Diontae Johnson","Right Corner",13,46.7,14.89,1.36,"Y","minus"
