"","vs_cb_wr","vs_cb_tar ","vs_cb_c ","vs_cb_ypr","vs_cb_fpt","vs_cb_shad","vs_cb_matchup"
"1","Damiere Byrd",14.7,58.1,14.04,1.4,"N","minus"
"2","Larry Fitzgerald",12.4,69,11.9,1.8,"N","plus"
"3","Christian Kirk",18.4,46.6,15.22,1.28,"N","minus"
"4","Julio Jones",15.1,36.7,17.55,1.61,"N","plus"
"5","Russell Gage",10.9,66.7,11,1.4,"N","minus"
"6","Olamaide Zaccheaus",10.6,51.7,14.07,1.45,"N","minus"
"7","Seth Roberts",12.6,50,10.73,1.04,"N","minus"
"8","Willie Snead",12.6,54.2,9.38,1.18,"N","minus"
"9","Marquise Brown",12.2,58.8,9.2,1.13,"N","minus"
"10","John Brown",11.2,49,14.42,1.2,"N","minus"
"11","Cole Beasley",15.6,58.7,13.78,1.79,"N","plus"
"12","Isaiah McKenzie",14.1,50,11.24,1.33,"N","minus"
"13","DJ Moore",14.7,56.5,13.87,1.44,"N","neutral"
"14","Jarius Wright",10.3,77.8,17.71,2.16,"N","plus"
"15","Curtis Samuel",12.2,53.1,11.41,1.42,"N","minus"
"16","Allen Robinson",17.5,60.7,18.32,2.01,"N","plus"
"17","Anthony Miller",7.7,57.1,18.44,2.05,"N","plus"
"18","Javon Wims",17.6,44.4,15.17,1.41,"N","neutral"
"19","Alex Erickson",12.1,39.5,8.47,0.73,"N","minus"
"20","Tyler Boyd",15.4,49.1,13.63,1.6,"N","neutral"
"21","John Ross",15.7,45.7,12.06,1.01,"Y","minus"
"22","KhaDarel Hodge",13.2,71.4,11.67,1.55,"N","neutral"
"23","Jarvis Landry",15.7,65,9.94,1.97,"N","plus"
"24","Odell Beckham",15,69,13.17,2.17,"Y","plus"
"25","Michael Gallup",15.5,43.5,13.15,1.27,"N","minus"
"26","Randall Cobb",8.4,52.9,12.22,1.35,"N","minus"
"27","Amari Cooper",13.5,61.5,12.56,1.5,"Y","neutral"
"28","Courtland Sutton",12.2,48.3,15.36,1.33,"N","minus"
"29","DaeSean Hamilton",10.5,66,9.87,1.57,"N","neutral"
"30","Tim Patrick",12.2,45.1,17.17,1.81,"N","plus"
"31","Kenny Golladay",19.3,41.4,15.75,1.69,"N","plus"
"32","Danny Amendola",12.2,58.5,11.13,1.82,"N","plus"
"33","Chris Lacy",17.4,45.6,13.83,1.54,"N","neutral"
"34","Davante Adams",10.9,54,16.11,1.65,"N","plus"
"35","Geronimo Allison",11.7,55.6,10.08,1.38,"N","minus"
"36","Allen Lazard",13.9,60.6,14.09,1.71,"N","plus"
"37","DeAndre Hopkins",12.6,50,11.22,1.39,"N","minus"
"38","Kenny Stills",16.2,58.8,13.21,1.74,"N","plus"
"39","Will Fuller",12.7,61.4,12.44,1.51,"Y","neutral"
"40","Marcus Johnson",18.2,54.7,14.1,1.64,"Y","neutral"
"41","Ashton Dulin",14.1,62,13.65,2.07,"N","plus"
"42","Zach Pascal",11.3,55,15.3,1.59,"N","neutral"
"43","Chris Conley",14.6,47.6,18.5,1.74,"N","plus"
"44","Dede Westbrook",10.9,69.4,10.72,1.77,"N","plus"
"45","Keelan Cole",15.6,58.1,14.2,1.69,"N","plus"
"46","Demarcus Robinson",14.1,73.1,12.16,1.62,"N","plus"
"47","Sammy Watkins",8.1,47.4,14.11,1.46,"N","neutral"
"48","Tyreek Hill",9.7,57.8,18.92,2.07,"Y","plus"
"49","Mike Williams",14.6,76.2,12.46,2.09,"N","plus"
"50","Keenan Allen",12.5,53.1,9.47,1.41,"N","neutral"
"51","Andre Patton",18.9,65.8,11.22,1.79,"N","plus"
"52","Brandin Cooks",12.4,54.9,11.25,1.52,"N","neutral"
"53","Cooper Kupp",10.4,57.7,16.33,1.52,"N","neutral"
"54","Robert Woods",15.8,56.2,15.46,1.68,"N","plus"
"55","DeVante Parker",16.1,51.7,16.1,1.65,"N","plus"
"56","Albert Wilson",15.1,46,14.72,1.33,"N","minus"
"57","Allen Hurns",16.7,42.9,13,0.99,"N","minus"
"58","Stefon Diggs",12.9,53.1,11.71,1.34,"Y","minus"
"59","Olabasi Johnson",8.3,63,11.47,1.57,"N","neutral"
"60","Adam Thielen",10.4,56.1,11.22,1.63,"N","plus"
"61","Phillip Dorsett",12,52.4,15.59,1.48,"N","neutral"
"62","Julian Edelman",11.9,36.8,7.14,0.63,"N","minus"
"63","Jakobi Meyers",10.8,58.3,21.05,1.98,"N","plus"
"64","Michael Thomas",13.8,60,18.08,2.14,"Y","plus"
"65","TreQuan Smith",13.3,68.2,10.87,1.56,"N","neutral"
"66","Ted Ginn",11.1,64.3,15.52,1.93,"N","plus"
