Day,Tm,WR,Pos,Opp,CB,POS,M/U,Tar %,C %,YPR,YPT,FP/T,Shad,(+/-)
Mon,ARI,DeAndre Hopkins,LWR,DAL,Anthony Brown,Right Corner,29,10.20%,80.00%,9.25,7.4,1.54,N,N
Mon,ARI,Larry Fitzgerald,SWR,DAL,Jourdan Lewis,Slot Corner,29,11.80%,80.00%,10,8,2.4,N, 
Mon,ARI,Christian Kirk,RWR,DAL,Trevon Diggs**,Left Corner,29,#N/A,#N/A,#N/A,#N/A,#N/A,N, 
Sun,ATL,Julio Jones,LWR,MIN,Cameron Dantzler,Right Corner,28,16.20%,57.90%,14.55,8.42,2.37,N, 
Sun,ATL,Russell Gage,SWR,MIN,Jeff Gladney,Slot Corner,28,16.20%,58.30%,16.93,9.88,1.82,N, 
Sun,ATL,Calvin Ridley,RWR,MIN,Mike Hughes,Left Corner,28,12.50%,58.30%,13.29,7.75,1.86,N, 
Sun,BAL,Miles Boykin,LWR,PHI,Jalen Mills,Right Corner,27,8.90%,61.10%,9.73,5.94,1.54,N,N
Sun,BAL,Willie Snead,SWR,PHI,Nickell Robey-Coleman,Slot Corner,27,9.30%,90.90%,10.9,9.91,2.45,N, 
Sun,BAL,Marquise Brown,RWR,PHI,Darius Slay,Left Corner,27,14.60%,58.60%,10.88,6.38,1.22,Y,-
Mon,BUF,John Brown,LWR,KC,Bashaud Breeland,Right Corner,7,8.30%,50.00%,2,1,0.6,N,-
Mon,BUF,Cole Beasley,SWR,KC,Rashad Fenton,Slot Corner,7,15.60%,41.70%,13.7,5.71,1.49,N,N
Mon,BUF,Stefon Diggs,RWR,KC,Charvarius Ward,Left Corner,7,12.40%,66.70%,15.38,10.25,2.69,N, 
Sun,CAR,D.J. Moore,LWR,CHI,Jaylon Johnson**,Right Corner,3,#N/A,#N/A,#N/A,#N/A,#N/A,N,-
Sun,CAR,Curtis Samuel,SWR,CHI,Buster Skrine,Slot Corner,3,13.20%,61.90%,9.85,6.1,1.23,N,-
Sun,CAR,Robby Anderson,RWR,CHI,Kyle Fuller,Left Corner,3,15.10%,50.00%,12.19,6.09,1.3,N,-
Sun,CHI,Allen Robinson,LWR,CAR,Rasul Douglas,Right Corner,2,9.60%,61.10%,10.36,6.33,1.24,Y,-
Sun,CHI,Anthony Miller,SWR,CAR,Corn Elder,Slot Corner,2,8.50%,37.50%,9.67,3.63,0.74,N,-
Sun,CHI,Darnell Mooney,RWR,CAR,Troy Pride Jr.,Left Corner,2,6.20%,57.10%,14,8,3.09,N, 
Sun,CIN,A.J. Green,LWR,IND,Xavier Rhodes,Right Corner,4,12.80%,42.10%,17.5,7.37,1.47,N,N
Sun,CIN,Tyler Boyd,SWR,IND,Kenny Moore II,Slot Corner,4,10.20%,50.00%,14.88,7.44,1.24,N,-
Sun,CIN,Tee Higgins,RWR,IND,Rock Ya-Sin,Left Corner,4,9.30%,55.60%,10.2,5.67,1.12,N,-
Sun,CLE,Rashard Higgins,LWR,PIT,Steven Nelson,Right Corner,30,11.40%,55.00%,16.64,9.15,2.37,N, 
Sun,CLE,Jarvis Landry,SWR,PIT,Mike Hilton,Slot Corner,30,15.50%,61.10%,13.64,8.33,1.78,N, 
Sun,CLE,Odell Beckham,RWR,PIT,Joe Haden,Left Corner,30,10.20%,50.00%,18.33,9.17,1.75,N, 
Mon,DAL,Michael Gallup,LWR,ARI,Dre Kirkpatrick,Right Corner,16,11.70%,75.00%,10.75,8.06,1.56,N,N
Mon,DAL,CeeDee Lamb,SWR,ARI,Byron Murphy,Slot Corner,16,14.10%,40.00%,14.4,5.76,1.22,N,-
Mon,DAL,Amari Cooper,RWR,ARI,Patrick Peterson,Left Corner,16,10.40%,45.00%,13.67,6.15,1.37,Y,-
Sun,DEN,K.J. Hamler,LWR,NE,J.C. Jackson,Right Corner,20,12.10%,73.30%,9.64,7.07,1.84,N, 
Sun,DEN,Jerry Jeudy,SWR,NE,Jonathan Jones,Slot Corner,20,20.50%,53.80%,11.64,6.27,1.4,N,N
Sun,DEN,Tim Patrick,RWR,NE,Stephon Gilmore,Left Corner,20,13.20%,63.20%,15.5,9.79,1.93,N, 
Sun,DET,Kenny Golladay,LWR,JAX,Chris Claybrooks**,Right Corner,26,#N/A,#N/A,#N/A,#N/A,#N/A,N, 
Sun,DET,Danny Amendola,SWR,JAX,Tre Herndon,Slot Corner,26,11.00%,68.40%,13,8.89,1.89,N, 
Sun,DET,Marvin Jones,RWR,JAX,C.J. Henderson**,Left Corner,26,#N/A,#N/A,#N/A,#N/A,#N/A,N, 
Sun,GB,Davante Adams,LWR,TB,Carlton Davis,Right Corner,15,13.20%,59.30%,9.19,5.44,1.58,Y, 
Sun,GB,Darrius Shepherd,SWR,TB,Sean Murphy-Bunting,Slot Corner,15,7.20%,83.30%,17.5,14.58,3.29,N, 
Sun,GB,Marquez Valdes-Scantling,RWR,TB,Jamel Dean,Left Corner,15,14.10%,63.60%,10.29,6.55,1.56,N,N
Sun,HOU,Will Fuller,LWR,TEN,Malcolm Butler,Right Corner,17,20.00%,59.10%,14.77,8.73,1.46,N,N
Sun,HOU,Randall Cobb,SWR,TEN,Chris Jackson,Slot Corner,17,15.20%,57.10%,11.25,6.43,1.21,N,-
Sun,HOU,Brandin Cooks,RWR,TEN,Johnathan Joseph,Left Corner,17,12.50%,60.00%,21.5,12.9,3.09,N, 
Sun,IND,Marcus Johnson,LWR,CIN,William Jackson,Right Corner,21,14.00%,53.60%,10.53,5.64,1.53,N,N
Sun,IND,Zach Pascal,SWR,CIN,Mackensie Alexander,Slot Corner,21,12.60%,75.00%,15.11,11.33,2.38,N, 
Sun,IND,T.Y. Hilton,RWR,CIN,Darius Phillips,Left Corner,21,10.10%,44.40%,16.13,7.17,1.16,N,-
Sun,JAX,D.J. Chark,LWR,DET,Amani Oruwariye,Right Corner,25,13.00%,58.80%,14.9,8.76,1.46,N,N
Sun,JAX,Keelan Cole,SWR,DET,Darryl Roberts,Slot Corner,25,11.30%,45.50%,10.2,4.64,2.01,N, 
Sun,JAX,Laviska Shenault,RWR,DET,Jeff Okudah,Left Corner,25,19.50%,75.00%,18.17,13.63,2.11,N, 
Mon,KC,Mecole Hardman,LWR,BUF,Josh Norman,Right Corner,22,6.40%,100.00%,6.67,6.67,1.67,Y, 
Mon,KC,Tyreek Hill,SWR,BUF,Taron Johnson,Slot Corner,22,14.70%,66.70%,11.79,7.86,1.45,N,N
Mon,KC,Demarcus Robinson,RWR,BUF,Tre'Davious White,Left Corner,22,9.10%,53.30%,12.5,6.67,2,N, 
Sun,LAR,Josh Reynolds,LWR,SF,Ahkello Witherspoon,Right Corner,18,7.50%,100.00%,17.5,17.5,4.25,N, 
Sun,LAR,Cooper Kupp,SWR,SF,Jamar Taylor,Slot Corner,18,3.80%,100.00%,70,70,8,N, 
Sun,LAR,Robert Woods,RWR,SF,Jason Verrett,Left Corner,18,9.30%,44.40%,7.75,3.44,0.79,N,-
Sun,MIA,Preston Williams,LWR,NYJ,Blessuan Austin,Right Corner,23,13.50%,66.70%,11.5,7.67,1.43,N,N
Sun,MIA,Isaiah Ford,SWR,NYJ,Brian Poole,Slot Corner,23,12.80%,70.00%,9.5,6.65,1.37,N,-
Sun,MIA,DeVante Parker,RWR,NYJ,Pierre Desir,Left Corner,23,17.20%,78.30%,14.61,11.43,2.71,N, 
Sun,MIN,Justin Jefferson,LWR,ATL,Isaiah Oliver,Right Corner,8,12.70%,63.00%,19.35,12.19,2.51,N, 
Sun,MIN,Chad Beebe,SWR,ATL,Kendall Sheffield,Slot Corner,8,25.00%,55.60%,16.2,9,1.46,N,N
Sun,MIN,Adam Thielen,RWR,ATL,A.J. Terrell,Left Corner,8,7.10%,88.90%,14.75,13.11,2.87,N, 
Sun,NE,Damiere Byrd,LWR,DEN,Michael Ojemudia**,Right Corner,24,#N/A,#N/A,#N/A,#N/A,#N/A,N, 
Sun,NE,Julian Edelman,SWR,DEN,Essang Bassey,Slot Corner,24,9.00%,70.00%,11.71,8.2,1.52,N,N
Sun,NE,N'Keal Harry,RWR,DEN,Bryce Callahan,Left Corner,24,10.00%,72.20%,9.08,6.56,1.38,N,-
Sun,NYG,Darius Slayton,LWR,WAS,Kendall Fuller,Right Corner,6,9.50%,25.00%,12.5,3.13,0.56,N,-
Sun,NYG,Golden Tate,SWR,WAS,Kamren Curl,Slot Corner,6,21.50%,85.70%,12.58,10.79,1.94,N, 
Sun,NYG,Damion Ratley,RWR,WAS,Ronald Darby,Left Corner,6,12.60%,59.10%,15.54,9.18,1.51,N,N
Sun,NYJ,Jeff Smith,LWR,MIA,Byron Jones,Right Corner,10,10.20%,50.00%,8.67,4.33,0.93,N,-
Sun,NYJ,Jamison Crowder,SWR,MIA,Nik Needham,Slot Corner,10,11.90%,60.00%,19.17,11.5,1.75,N, 
Sun,NYJ,Breshad Perriman,RWR,MIA,Xavien Howard,Left Corner,10,11.40%,47.40%,19.78,9.37,1.73,N, 
Sun,PHI,John Hightower,LWR,BAL,Jimmy Smith,Right Corner,5,6.00%,44.40%,5.75,2.56,0.7,N,-
Sun,PHI,Greg Ward Jr.,SWR,BAL,Marlon Humphrey,Slot Corner,5,16.70%,61.80%,8.48,5.24,1.14,N,-
Sun,PHI,Travis Fulgham,RWR,BAL,Marcus Peters,Left Corner,5,9.20%,45.00%,14.11,6.35,1.39,N,-
Sun,PIT,Chase Claypool,LWR,CLE,Terrance Mitchell,Right Corner,31,14.50%,52.90%,12.17,6.44,1.17,N,-
Sun,PIT,JuJu Smith-Schuster,SWR,CLE,Kevin Johnson,Slot Corner,31,7.50%,100.00%,7,7,1.7,N, 
Sun,PIT,Diontae Johnson,RWR,CLE,Denzel Ward,Left Corner,31,12.70%,48.10%,11.54,5.56,1.7,N, 
Sun,SF,Brandon Aiyuk,LWR,LAR,Troy Hill,Right Corner,1,12.10%,78.30%,11.94,9.35,1.72,N, 
Sun,SF,Kendrick Bourne,SWR,LAR,Jalen Ramsey,Slot Corner,1,11.30%,47.80%,8.09,3.87,1.39,N,-
Sun,SF,Deebo Samuel,RWR,LAR,Darious Williams,Left Corner,1,9.60%,47.40%,14.11,6.68,1.14,N,-
Sun,TB,Mike Evans,LWR,GB,Jaire Alexander,Right Corner,19,14.50%,47.60%,9.3,4.43,1.2,N,-
Sun,TB,Chris Godwin,SWR,GB,Chandon Sullivan,Slot Corner,19,9.90%,55.60%,10.8,6,1.16,N,-
Sun,TB,Scotty Miller,RWR,GB,Kevin King,Left Corner,19,10.70%,61.50%,13.75,8.46,1.92,N, 
Sun,TEN,A.J. Brown,LWR,HOU,Bradley Roby,Right Corner,11,8.10%,60.00%,8.33,5,1.9,Y, 
Sun,TEN,Adam Humphries,SWR,HOU,Eric Murray,Slot Corner,11,7.60%,61.50%,18,11.08,1.72,N, 
Sun,TEN,Corey Davis,RWR,HOU,Vernon Hargreaves III,Left Corner,11,19.10%,55.60%,12.8,7.11,1.49,N,N
Sun,WAS,Terry McLaurin,LWR,NYG,James Bradberry,Right Corner,12,14.40%,56.00%,12.86,7.2,1.76,Y,-
Sun,WAS,Isaiah Wright,SWR,NYG,Darnay Holmes**,Slot Corner,12,#N/A,#N/A,#N/A,#N/A,#N/A,N,-
Sun,WAS,Dontrelle Inman,RWR,NYG,Ryan Lewis,Left Corner,12,13.40%,77.80%,13.86,10.78,1.86,N, 
